安阳航空运动学校,an'yang'hang'kong'yun'dong'xue'xiao
安阳航校,an'yang'hang'xiao
八人造型,ba'ren'zao'xing
八一跳伞队,ba'yi'tiao'san'dui
报警器,bao'jing'qi
备八型备份伞,bei'ba'xing'bei'fen'san
背带系统,bei'dai'xi'tong
备份伞,bei'fen'san
北京市航空运动学校,bei'jing'shi'hang'kong'yun'dong'xue'xiao
备六型备份伞,bei'liu'xing'bei'fen'san
踩点,cai'dian
踩伞,cai'san
踩伞造型,cai'san'zao'xing
曹彦,cao'yan
操纵棒,cao'zong'bang
陈恩富,chen'en'fu
陈宏,chen'hong
陈江波,chen'jiang'bo
陈军波,chen'jun'bo
陈书凯,chen'shu'kai
程彬,cheng'bin
出舱,chu'cang
初级翼伞,chu'ji'yi'san
垂直造型,chui'zhi'zao'xing
大姿势,da'zi'shi
低空跳伞,di'kong'tiao'san
地面观察镜,di'mian'guan'cha'jing
地面摄像,di'mian'she'xiang
电子靶,dian'zi'ba
吊架,diao'jia
叠备份伞,die'bei'fen'san
叠伞,die'san
定点电子靶系统,ding'dian'dian'zi'ba'xi'tong
定点伞,ding'dian'san
定点跳伞,ding'dian'tiao'san
定点鞋,ding'dian'xie
丁建平,ding'jian'ping
对正,dui'zheng
对正时间,dui'zheng'shi'jian
范军营,fan'jun'ying
飞机跳伞,fei'ji'tiao'san
飞伞,fei'san
冯峰,feng'feng
风镜,feng'jing
风向袋,feng'xiang'dai
风向筒,feng'xiang'tong
冯晓晔,feng'xiao'ye
冯学艳,feng'xue'yan
高度表,gao'du'biao
高淼,gao'miao
葛斌,ge'bin
耿斌,geng'bin
公分靶,gong'fen'ba
顾文渊,gu'wen'yuan
过点,guo'dian
郭福林,guo'fu'lin
国际航联,guo'ji'hang'lian
国际航联跳伞委员会,guo'ji'hang'lian'tiao'san'wei'yuan'hui
国家体育总局航管中心,guo'jia'ti'yu'zong'ju'hang'guan'zhong'xin
国家跳伞集训队,guo'jia'tiao'san'ji'xun'dui
韩秋立,han'qiu'li
韩兆方,han'zhao'fang
航电模中心,hang'dian'mo'zhong'xin
航管中心,hang'guan'zhong'xin
航空二部,hang'kong'er'bu
航空无线电模型运动,hang'kong'wu'xian'dian'mo'xing'yun'dong
何继怀,he'ji'huai
河南省航管中心,he'nan'sheng'hang'guan'zhong'xin
何珍国,he'zhen'guo
后操纵带,hou'cao'zong'dai
后缘,hou'yuan
湖北省航管中心,hu'bei'sheng'hang'guan'zhong'xin
胡刘,hu'liu
湖南省航管中心,hu'nan'sheng'hang'guan'zhong'xin
胡伟忠,hu'wei'zhong
花样跳伞,hua'yang'tiao'san
黄江,huang'jiang
黄静,huang'jing
黄鸣,huang'ming
黄祖珍,huang'zu'zhen
架次,jia'ci
建立航线,jian'li'hang'xian
江西省航管中心,jiang'xi'sheng'hang'guan'zhong'xin
筋斗,jin'dou
开伞,kai'san
亢丽平,kang'li'ping
空军跳伞队,kong'jun'tiao'san'dui
空军跳伞运动大队,kong'jun'tiao'san'yun'dong'da'dui
空中芭蕾,kong'zhong'ba'lei
空中货车,kong'zhong'huo'che
空中摄像,kong'zhong'she'xiang
拉高度差,la'gao'du'cha
拉飘,la'piao
莱芜国际航空节,lai'wu'guo'ji'hang'kong'jie
离机,li'ji
李蓉蓉,li'rong'rong
立式造型,li'shi'zao'xing
李小灵童,li'xiao'ling'tong
梁易文,liang'yi'wen
刘琴,liu'qin
刘亚非,liu'ya'fei
娄宇,lou'yu
骆雅莉,luo'ya'li
毛涛,mao'tao
苗梦怡,miao'meng'yi
盘旋,pan'xuan
偏差,pian'cha
平衡定向,ping'heng'ding'xiang
气室,qi'shi
前操纵带,qian'cao'zong'dai
前缘,qian'yuan
全国跳伞锦标赛,quan'guo'tiao'san'jin'biao'sai
全国跳伞优秀选手赛,quan'guo'tiao'san'you'xiu'xuan'shou'sai
塞斯纳,sai'si'na
伞刀,san'dao
三环脱离系统,san'huan'tuo'li'xi'tong
伞帽,san'mao
伞绳,san'sheng
伞衣,san'yi
伞衣飞行,san'yi'fei'xing
伞翼飞行,san'yi'fei'xing
沙盘,sha'pan
山西省航空运动学校,shan'xi'sheng'hang'kong'yun'dong'xue'xiao
上海市航空运动学校,shang'hai'shi'hang'kong'yun'dong'xue'xiao
试风标,shi'feng'biao
世界跳伞锦标赛,shi'jie'tiao'san'jin'biao'sai
石炜,shi'wei
收伞绳,shou'san'sheng
收小姿势,shou'xiao'zi'shi
双水獭,shuang'shui'ta
四川省航空运动学校,si'chuan'sheng'hang'kong'yun'dong'xue'xiao
四人造型,si'ren'zao'xing
四人组星,si'ren'zu'xing
四转弯,si'zhuan'wan
宋艳薇,song'yan'wei
苏秋实,su'qiu'shi
锁针,suo'zhen
特技定点,te'ji'ding'dian
特技服,te'ji'fu
特技录像设备,te'ji'lu'xiang'she'bei
特技伞,te'ji'san
特技跳伞,te'ji'tiao'san
特技跳伞服,te'ji'tiao'san'fu
跳伞,tiao'san
跳伞服,tiao'san'fu
跳伞世界杯,tiao'san'shi'jie'bei
跳伞运动,tiao'san'yun'dong
王金虎,wang'jin'hu
