阿德里安布劳迪,a'de'li'an'bu'lao'di
阿尔伯特芬尼,a'er'bo'te'fen'ni
阿丽西娅吉丝,a'li'xi'ya'ji'si
阿诺施瓦辛格,a'nuo'shi'wa'xin'ge
埃德哈里斯,ai'de'ha'li'si
艾伦艾尔达,ai'lun'ai'er'da
艾伦伯斯汀,ai'lun'bo'si'ting
艾美达斯丹顿,ai'mei'da'si'dan'dun
艾米纳姆,ai'mi'na'mu
安吉丽娜朱丽,an'ji'li'na'zhu'li
安妮班克罗夫特,an'ni'ban'ke'luo'fu'te
安妮特贝宁,an'ni'te'bei'ning
安室奈美惠,an'shi'nai'mei'hui
安在旭,an'zai'xu
奥黛丽赫本,ao'dai'li'he'ben
奥兰多布鲁姆,ao'lan'duo'bu'lu'mu
柏原崇,bai'yuan'chong
保罗纽曼,bao'luo'niu'man
贝克汉姆,bei'ke'han'mu
本艾弗莱克,ben'ai'fu'lai'ke
本金斯利,ben'jin'si'li
本尼西奥德尔托罗,ben'ni'xi'ao'de'er'tuo'luo
碧昂斯诺里斯,bi'ang'si'nuo'li'si
彼得杰克逊,bi'de'jie'ke'xun
彼威尔,bi'wei'er
滨崎步,bin'qi'bu
布拉德皮特,bu'la'de'pi'te
布兰妮斯皮尔斯,bu'lan'ni'si'pi'er'si
布鲁斯威利斯,bu'lu'si'wei'li'si
彩虹乐团,cai'hong'yue'tuan
查理兹塞隆,cha'li'zi'sai'long
常盘贵子,chang'pan'gui'zi
超级男孩,chao'ji'nan'hai
车仁表,che'ren'biao
车太铉,che'tai'xuan
陈美,chen'mei
池珍熙,chi'zhen'xi
崔真实,cui'zhen'shi
崔智友,cui'zhi'you
大卫林奇,da'wei'lin'qi
戴安莱恩,dai'an'lai'en
戴米摩尔,dai'mi'mo'er
丹尼尔戴路易斯,dan'ni'er'dai'lu'yi'si
丹泽尔华盛顿,dan'ze'er'hua'sheng'dun
东方神起,dong'fang'shen'qi
饭岛爱,fan'dao'ai
反町隆史,fan'ding'long'shi
菲丝希尔,fei'si'xi'er
弗兰西斯麦克多门,fu'lan'xi'si'mai'ke'duo'men
弗朗西斯福特科波拉,fu'lang'xi'si'fu'te'ke'bo'la
高耀太,gao'yao'tai
格利高里派克,ge'li'gao'li'pai'ke
格温妮丝帕特洛,ge'wen'ni'si'pa'te'luo
宫崎骏,gong'qi'jun
工藤静香,gong'teng'jing'xiang
宫泽理惠,gong'ze'li'hui
广末凉子,guang'mo'liang'zi
哈利贝瑞,ha'li'bei'rui
哈里森福特,ha'li'sen'fu'te
海伦亨特,hai'lun'heng'te
海伦米林,hai'lun'mi'lin
河莉秀,he'li'xiu
河智苑,he'zhi'yuan
黑木瞳,hei'mu'tong
惠特尼休斯顿,hui'te'ni'xiu'si'dun
吉姆布劳德本特,ji'mu'bu'lao'de'ben'te
吉姆凯瑞,ji'mu'kai'rui
基努里维斯,ji'nu'li'wei'si
贾斯汀汀布莱克,jia'si'ting'ting'bu'lai'ke
贾维尔巴尔登,jia'wei'er'ba'er'deng
江口洋介,jiang'kou'yang'jie
杰夫布里吉斯,jie'fu'bu'li'ji'si
杰弗里拉什,jie'fu'li'la'shi
杰克尼克尔逊,jie'ke'ni'ke'er'xun
杰米福克斯,jie'mi'fu'ke'si
杰米李柯蒂斯,jie'mi'li'ke'di'si
金贝辛格,jin'bei'xin'ge
金荷娜,jin'he'na
金来沅,jin'lai'yuan
金南珠,jin'nan'zhu
金善雅,jin'shan'ya
金素妍,jin'su'yan
金泰熙,jin'tai'xi
金喜善,jin'xi'shan
金贤珠,jin'xian'zhu
金载沅,jin'zai'yuan
酒井法子,jiu'jing'fa'zi
