安第斯集团,an'di'si'ji'tuan
安全理事会,an'quan'li'shi'hui
巴勒斯坦人民行使不可剥夺权利委员会,ba'le'si'tan'ren'min'xing'shi'bu'ke'bo'duo'quan'li'wei'yuan'hui
保护精神病患者工作小组,bao'hu'jing'shen'bing'huan'zhe'gong'zuo'xiao'zu
不结盟运动,bu'jie'meng'yun'dong
裁军事务咨询委员会,cai'jun'shi'wu'zi'xun'wei'yuan'hui
裁军谈判委员会,cai'jun'tan'pan'wei'yuan'hui
裁军问题研究咨询委员会,cai'jun'wen'ti'yan'jiu'zi'xun'wei'yuan'hui
阐述国际与沙漠化进行战斗公约政府间磋商委员会,chan'shu'guo'ji'yu'sha'mo'hua'jin'xing'zhan'dou'gong'yue'zheng'fu'jian'cuo'shang'wei'yuan'hui
常规军备委员会,chang'gui'jun'bei'wei'yuan'hui
常任理事国,chang'ren'li'shi'guo
创始会员国,chuang'shi'hui'yuan'guo
促进人权和自由工作小组,cu'jin'ren'quan'he'zi'you'gong'zuo'xiao'zu
达格哈马舍尔德图书馆,da'ge'ha'ma'she'er'de'tu'shu'guan
大会临时委员会,da'hui'lin'shi'wei'yuan'hui
大会主席,da'hui'zhu'xi
当代奴役形式问题工作小组,dang'dai'nu'yi'xing'shi'wen'ti'gong'zuo'xiao'zu
第二委员会经济和财政,di'er'wei'yuan'hui'jing'ji'he'cai'zheng
第六委员会法律,di'liu'wei'yuan'hui'fa'lv
第三委员会社会人道和文化,di'san'wei'yuan'hui'she'hui'ren'dao'he'wen'hua
第四委员会托管,di'si'wei'yuan'hui'tuo'guan
第五委员会行政和预算,di'wu'wei'yuan'hui'xing'zheng'he'yu'suan
第一委员会政治和安全,di'yi'wei'yuan'hui'zheng'zhi'he'an'quan
调查以色列侵害占领区居民人权的行为特别委员会,diao'cha'yi'se'lie'qin'hai'zhan'ling'qu'ju'min'ren'quan'de'xing'wei'te'bie'wei'yuan'hui
东道国关系委员会,dong'dao'guo'guan'xi'wei'yuan'hui
东非共同体,dong'fei'gong'tong'ti
东南非洲特惠贸易区,dong'nan'fei'zhou'te'hui'mao'yi'qu
东南亚国家联盟,dong'nan'ya'guo'jia'lian'meng
多国投资保证机构,duo'guo'tou'zi'bao'zheng'ji'gou
发达国家与发展中国家间税务条约专家小组,fa'da'guo'jia'yu'fa'zhan'zhong'guo'jia'jian'shui'wu'tiao'yue'zhuan'jia'xiao'zu
发展规划委员会,fa'zhan'gui'hua'wei'yuan'hui
发展权工作小组,fa'zhan'quan'gong'zuo'xiao'zu
反对酷刑委员会,fan'dui'ku'xing'wei'yuan'hui
反对体育领域种族隔离委员会,fan'dui'ti'yu'ling'yu'zhong'zu'ge'li'wei'yuan'hui
