八专,ba'zhuan
八字,ba'zi
八字金书,ba'zi'jin'shu
败财,bai'cai
白虎,bai'hu
白鑞金,bai'la'jin
白衣煞,bai'yi'sha
棒杖,bang'zhang
比肩,bi'jian
必见销熔,bi'jian'xiao'rong
比劫,bi'jie
壁上土,bi'shang'tu
必死,bi'si
必为砍折,bi'wei'kan'zhe
必为熄灭,bi'wei'xi'mie
必为淤塞,bi'wei'yu'se
必遭倾陷,bi'zao'qing'xian
病败,bing'bai
丙辰,bing'chen
丙丁,bing'ding
兵福,bing'fu
病符,bing'fu
丙火,bing'huo
丙年,bing'nian
丙人,bing'ren
丙申,bing'shen
丙食戊,bing'shi'wu
丙午,bing'wu
丙辛,bing'xin
丙戌,bing'xu
丙阳,bing'yang
丙寅,bing'yin
丙子,bing'zi
财命,cai'ming
蔡邕,cai'yong
采真歌,cai'zhen'ge
参同契,can'tong'qi
曹震圭,cao'zhen'gui
曾门经,ceng'men'jing
钗钏金,chai'chuan'jin
常居,chang'ju
常流水,chang'liu'shui
长生,chang'sheng
辰土,chen'tu
陈摶,chen'tuan
辰为天罗,chen'wei'tian'luo
辰午酉亥,chen'wu'you'hai
陈希烈,chen'xi'lie
辰戌,chen'xu
辰戌丑未,chen'xu'chou'wei
辰阳,chen'yang
辰酉,chen'you
城头土,cheng'tou'tu
成象,cheng'xiang
赤奋若,chi'fen'ruo
重光,chong'guang
丑卯巳未酉亥,chou'mao'si'wei'you'hai
丑土,chou'tu
丑未,chou'wei
丑未戌,chou'wei'xu
丑午,chou'wu
丑摇巳,chou'yao'si
丑阴,chou'yin
穿珠指掌,chuan'zhu'zhi'zhang
春戊寅,chun'wu'yin
此义,ci'yi
寸珠尺璧,cun'zhu'chi'bi
大海水,da'hai'shui
大耗,da'hao
大荒落,da'huang'luo
大林木,da'lin'mu
大吕,da'lv
大撓氏,da'nao'shi
大溪水,da'xi'shui
大驿土,da'yi'tu
大渊献,da'yuan'xian
大灾,da'zai
戴九履一,dai'jiu'lv'yi
单閼,dan'e
倒垂连合,dao'chui'lian'he
德合,de'he
登明,deng'ming
滴天髓,di'tian'sui
帝旺,di'wang
地支,di'zhi
地支六合,di'zhi'lu'he
地支三合,di'zhi'san'he
地支相冲,di'zhi'xiang'chong
地支相穿,di'zhi'xiang'chuan
弔客,diao'ke
迭相,die'xiang
丁丑,ding'chou
丁亥,ding'hai
丁火,ding'huo
丁卯,ding'mao
丁年,ding'nian
丁人,ding'ren
丁壬,ding'ren
丁食己,ding'shi'ji
丁巳,ding'si
丁未,ding'wei
丁阴,ding'yin
丁酉,ding'you
东方明,dong'fang'ming
冬甲子,dong'jia'zi
洞玄经,dong'xuan'jing
洞源经,dong'yuan'jing
董仲舒,dong'zhong'shu
斗杓,dou'biao
短夭,duan'yao
敦牂,dun'zang
閼逢,e'feng
恶神,e'shen
二辰,er'chen
二气,er'qi
二七为火,er'qi'wei'huo
二四为肩,er'si'wei'jian
反吟,fan'yin
方成池沼,fang'cheng'chi'zhao
方成栋梁,fang'cheng'dong'liang
方成器皿,fang'cheng'qi'min
方成相济,fang'cheng'xiang'ji
仿此,fang'ci
方挫其锋,fang'cuo'qi'feng
方化其顽,fang'hua'qi'wan
方能疏通,fang'neng'shu'tong
方泄其势,fang'xie'qi'shi
方制其害,fang'zhi'qi'hai
方止其焰,fang'zhi'qi'yan
飞刃,fei'ren
飞天禄,fei'tian'lu
飞天禄马,fei'tian'lu'ma
飞天马,fei'tian'ma
辅弼,fu'bi
福德格,fu'de'ge
覆灯火,fu'deng'huo
福力,fu'li
伏马,fu'ma
伏神,fu'shen
伏凶格,fu'xiong'ge
伏吟,fu'yin
干清支浊,gan'qing'zhi'zhuo
干神二字相连,gan'shen'er'zi'xiang'lian
干神二字相遇,gan'shen'er'zi'xiang'yu
干神连珠,gan'shen'lian'zhu
干神相克,gan'shen'xiang'ke
