爱婴医院,ai'ying'yi'yuan
安民,an'min
八号楼,ba'hao'lou
八两店,ba'liang'dian
白灰厂,bai'hui'chang
白楼,bai'lou
宝泉岭,bao'quan'ling
宝泉岭火车站,bao'quan'ling'huo'che'zhan
北大岭,bei'da'ling
北疆商场,bei'jiang'shang'chang
北桥,bei'qiao
北山,bei'shan
变电工区,bian'dian'gong'qu
玻璃厂,bo'li'chang
步行街,bu'xing'jie
财经学校,cai'jing'xue'xiao
菜市场,cai'shi'chang
昌盛花园,chang'sheng'hua'yuan
传染病医院,chuan'ran'bing'yi'yuan
大陆,da'lu
大卖店,da'mai'dian
大世界,da'shi'jie
大杨树,da'yang'shu
档案局,dang'an'ju
党校,dang'xiao
道口,dao'kou
地质队,di'zhi'dui
电业局,dian'ye'ju
丁香路,ding'xiang'lu
东北亚商城,dong'bei'ya'shang'cheng
东山,dong'shan
东山百货,dong'shan'bai'huo
东山区政府,dong'shan'qu'zheng'fu
豆皮厂,dou'pi'chang
二道街,er'dao'jie
二连,er'lian
二马路,er'ma'lu
二热源,er're'yuan
二十一中,er'shi'yi'zhong
儿童福利院,er'tong'fu'li'yuan
二院,er'yuan
二砖厂,er'zhuan'chang
防疫站,fang'yi'zhan
风电焊道口,feng'dian'han'dao'kou
富力矿,fu'li'kuang
富力四井,fu'li'si'jing
肛肠医院,gang'chang'yi'yuan
更新村,geng'xin'cun
公安局,gong'an'ju
公交公司,gong'jiao'gong'si
公交四公司,gong'jiao'si'gong'si
工农区政府,gong'nong'qu'zheng'fu
工人村,gong'ren'cun
公园北门,gong'yuan'bei'men
公园西门,gong'yuan'xi'men
公园小学,gong'yuan'xiao'xue
广场,guang'chang
光宇小区,guang'yu'xiao'qu
果品批发,guo'pin'pi'fa
好运来,hao'yun'lai
鹤岗地震台,he'gang'di'zhen'tai
鹤岗师范,he'gang'shi'fan
鹤岗四中,he'gang'si'zhong
鹤岗一中,he'gang'yi'zhong
合兴村,he'xing'cun
合兴村卫生所,he'xing'cun'wei'sheng'suo
红旗广场,hong'qi'guang'chang
红旗路派出所,hong'qi'lu'pai'chu'suo
红旗桥,hong'qi'qiao
虹桥,hong'qiao
花园小区,hua'yuan'xiao'qu
火车站,huo'che'zhan
货运四公司,huo'yun'si'gong'si
疾病控制中心,ji'bing'kong'zhi'zhong'xin
计委,ji'wei
吉祥家园,ji'xiang'jia'yuan
加油站,jia'you'zhan
建安车队,jian'an'che'dui
建安公司,jian'an'gong'si
建材总厂,jian'cai'zong'chang
检测公司,jian'ce'gong'si
交警支队,jiao'jing'zhi'dui
解放路商厦,jie'fang'lu'shang'sha
警校,jing'xiao
局初中,ju'chu'zhong
峻德百货,jun'de'bai'huo
峻德二校,jun'de'er'xiao
峻德路南十道口,jun'de'lu'nan'shi'dao'kou
峻德桥,jun'de'qiao
峻德渔场,jun'de'yu'chang
军分区,jun'fen'qu
靠山屯,kao'shan'tun
矿局中,kuang'ju'zhong
矿三院,kuang'san'yuan
矿总公司,kuang'zong'gong'si
劳动局,lao'dong'ju
黎明小学,li'ming'xiao'xue
立新小学,li'xin'xiao'xue
粮店,liang'dian
良种站,liang'zhong'zhan
林场,lin'chang
零公里,ling'gong'li
六店,liu'dian
六号,liu'hao
鹿林山,lu'lin'shan
麓林山,lu'lin'shan
煤城小学,mei'cheng'xiao'xue
煤气道口,mei'qi'dao'kou
民乐超市,min'yue'chao'shi
南大排,nan'da'pai
南桥,nan'qiao
南山二中,nan'shan'er'zhong
南山岗台,nan'shan'gang'tai
南山矿,nan'shan'kuang
南山区政府,nan'shan'qu'zheng'fu
南翼,nan'yi
啤酒厂,pi'jiu'chang
七马路,qi'ma'lu
浅水湾,qian'shui'wan
桥头,qiao'tou
群楼,qun'lou
热电厂,re'dian'chang
热力公司,re'li'gong'si
三宝寺,san'bao'si
三精制药,san'jing'zhi'yao
三中,san'zhong
砂轮厂,sha'lun'chang
山上,shan'shang
山下,shan'xia
胜利街,sheng'li'jie
市场,shi'chang
十二中,shi'er'zhong
十九中学,shi'jiu'zhong'xue
十六中,shi'liu'zhong
十七中,shi'qi'zhong
市人民医院,shi'ren'min'yi'yuan
十三厂,shi'san'chang
十五中,shi'wu'zhong
市一中,shi'yi'zhong
市政府,shi'zheng'fu
收费站,shou'fei'zhan
蔬菜批发,shu'cai'pi'fa
蔬菜园,shu'cai'yuan
蔬园乡政府,shu'yuan'xiang'zheng'fu
水泥厂,shui'ni'chang
水务局,shui'wu'ju
四道街,si'dao'jie
四号楼,si'hao'lou
四区,si'qu
松鹤公园,song'he'gong'yuan
陶瓷厂,tao'ci'chang
铁东俱乐部,tie'dong'ju'le'bu
铁路村,tie'lu'cun
五道岗,wu'dao'gang
五公里,wu'gong'li
五号水库,wu'hao'shui'ku
五指山公园,wu'zhi'shan'gong'yuan
先锋家俱厂,xian'feng'jia'ju'chang
哮喘医院,xiao'chuan'yi'yuan
消防队,xiao'fang'dui
消防二中队,xiao'fang'er'zhong'dui
小五号,xiao'wu'hao
新发村,xin'fa'cun
新华书店,xin'hua'shu'dian
新街基,xin'jie'ji
新南,xin'nan
新南派出所,xin'nan'pai'chu'suo
新南小学,xin'nan'xiao'xue
新农村,xin'nong'cun
新区,xin'qu
新生,xin'sheng
新世纪广场,xin'shi'ji'guang'chang
新一医院,xin'yi'yi'yuan
新中心站,xin'zhong'xin'zhan
兴安北桥,xing'an'bei'qiao
兴安菜市场,xing'an'cai'shi'chang
兴安矿机电科,xing'an'kuang'ji'dian'ke
兴安矿木场,xing'an'kuang'mu'chang
兴安台,xing'an'tai
兴东花园,xing'dong'hua'yuan
兴山百货,xing'shan'bai'huo
兴山菜场,xing'shan'cai'chang
兴山菜市场,xing'shan'cai'shi'chang
兴山大棚,xing'shan'da'peng
兴山矿,xing'shan'kuang
修理铺道口,xiu'li'pu'dao'kou
选煤厂医院,xuan'mei'chang'yi'yuan
压井,ya'jing
一百,yi'bai
逸夫小学,yi'fu'xiao'xue
益新煤矿,yi'xin'mei'kuang
一中,yi'zhong
阴阳屯,yin'yang'tun
永新村,yong'xin'cun
油坊,you'fang
邮局,you'ju
有线电视台,you'xian'dian'shi'tai
育才中学,yu'cai'zhong'xue
宇龙宾馆,yu'long'bin'guan
跃进街,yue'jin'jie
展览馆,zhan'lan'guan
照相馆,zhao'xiang'guan
中心站,zhong'xin'zhan
装璜街,zhuang'huang'jie
自来水公司,zi'lai'shui'gong'si
