阿笠博士,a'li'bo'shi
哀女王,ai'nv'wang
安德雷卡迈尔,an'de'lei'ka'mai'er
安室透,an'shi'tou
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
贝尔摩德,bei'er'mo'de
贝姐,bei'jie
本堂瑛海,ben'tang'ying'hai
本堂瑛祐,ben'tang'ying'you
波本,bo'ben
茶木神太郎,cha'mu'shen'tai'lang
赤井秀一,chi'jing'xiu'yi
冲矢昴,chong'shi'mao
冲野洋子,chong'ye'yang'zi
大和敢助,da'he'gan'zhu
大泷悟郎,da'long'wu'lang
妃英理,fei'ying'li
服部静华,fu'bu'jing'hua
服部平藏,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
伏特加,fu'te'jia
敢由,gan'you
高木涉,gao'mu'she
高佐,gao'zuo
宫本由美,gong'ben'you'mei
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野艾莲娜,gong'ye'ai'lian'na
宫野厚司,gong'ye'hou'si
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
怪盗基德,guai'dao'ji'de
滚筒洗衣机,gun'tong'xi'yi'ji
黑麦威士忌,hei'mai'wei'shi'ji
黑衣人,hei'yi'ren
黑衣组织,hei'yi'zu'zhi
黑影君,hei'ying'jun
黑羽盗一,hei'yu'dao'yi
黑羽快斗,hei'yu'kuai'dou
黑羽千影,hei'yu'qian'ying
横沟参悟,heng'gou'can'wu
横沟重悟,heng'gou'zhong'wu
灰原哀,hui'yuan'ai
基安蒂,ji'an'di
基尔,ji'er
吉田步美,ji'tian'bu'mei
降谷零,jiang'gu'ling
江户川柯南,jiang'hu'chuan'ke'nan
京极真,jing'ji'zhen
卡尔瓦多斯,ka'er'wa'duo'si
柯哀,ke'ai
柯哀王道,ke'ai'wang'dao
科恩,ke'en
柯南吧,ke'nan'ba
兰酱,lan'jiang
朗姆,lang'mu
领妹,ling'mei
铃木次郎吉,ling'mu'ci'lang'ji
铃木园子,ling'mu'yuan'zi
龙舌兰,long'she'lan
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
米奈芭格拉斯,mi'nai'ba'ge'la'si
某黑皮,mou'hei'pi
目暮十三,mu'mu'shi'san
皮斯克,pi'si'ke
平和,ping'he
千叶警官,qian'ye'jing'guan
琴酒,qin'jiu
青山,qing'shan
日本公安,ri'ben'gong'an
三池苗子,san'chi'miao'zi
山村操,shan'cun'cao
上原由衣,shang'yuan'you'yi
世良真纯,shi'liang'zhen'chun
水无怜奈,shui'wu'lian'nai
死神小学生,si'shen'xiao'xue'sheng
松本清长,song'ben'qing'chang
松田阵平,song'tian'zhen'ping
苏格兰威士忌,su'ge'lan'wei'shi'ji
透纯,tou'chun
透哥,tou'ge
透子,tou'zi
小哀,xiao'ai
小岛元太,xiao'dao'yuan'tai
小林澄子,xiao'lin'cheng'zi
小泉红子,xiao'quan'hong'zi
新出医生,xin'chu'yi'sheng
新出智明,xin'chu'zhi'ming
新兰永恒,xin'lan'yong'heng
新志,xin'zhi
秀纯,xiu'chun
秀透,xiu'tou
雪莉,xue'li
伊达航,yi'da'hang
伊桑本堂,yi'sang'ben'tang
羽田秀吉,yu'tian'xiu'ji
羽由,yu'you
圆谷光彦,yuan'gu'guang'yan
远山和叶,yuan'shan'he'ye
远山银司郎,yuan'shan'yin'si'lang
泽田弘树,ze'tian'hong'shu
詹姆斯布莱克,zhan'mu'si'bu'lai'ke
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
茱蒂斯泰琳,zhu'di'si'tai'lin
诸伏高明,zhu'fu'gao'ming
主线,zhu'xian
佐藤美和子,zuo'teng'mei'he'zi
