阿爸,a'ba
阿伯,a'bo
阿爹,a'die
阿妈,a'ma
阿娘,a'niang
阿婶,a'shen
阿叔,a'shu
阿姨,a'yi
爸爸,ba'ba
表弟,biao'di
表哥,biao'ge
表姑,biao'gu
表姐,biao'jie
表妹,biao'mei
表叔,biao'shu
表兄弟,biao'xiong'di
表侄,biao'zhi
表姊妹,biao'zi'mei
伯伯,bo'bo
伯父,bo'fu
伯母,bo'mu
伯叔,bo'shu
曾外祖父,ceng'wai'zu'fu
曾外祖母,ceng'wai'zu'mu
大伯,da'bo
大姑,da'gu
大姑子,da'gu'zi
大舅子,da'jiu'zi
大妈,da'ma
大娘,da'niang
大爷,da'ye
大姨,da'yi
弟弟,di'di
弟妇,di'fu
弟妹,di'mei
弟媳,di'xi
二弟,er'di
儿媳,er'xi
儿子,er'zi
父亲,fu'qin
干爹,gan'die
干妈,gan'ma
干亲家,gan'qin'jia
高祖父,gao'zu'fu
高祖母,gao'zu'mu
哥哥,ge'ge
公公,gong'gong
姑夫,gu'fu
姑姑,gu'gu
姑母,gu'mu
姑奶奶,gu'nai'nai
姑爷,gu'ye
继父,ji'fu
继母,ji'mu
继娘,ji'niang
继爷,ji'ye
囝囝,jian'jian
姐夫,jie'fu
姐姐,jie'jie
襟弟,jin'di
襟兄,jin'xiong
妗子,jin'zi
舅父,jiu'fu
舅舅,jiu'jiu
舅姥,jiu'lao
舅妈,jiu'ma
舅母,jiu'mu
舅母子,jiu'mu'zi
老弟,lao'di
老哥,lao'ge
老公,lao'gong
老姐,lao'jie
姥姥,lao'lao
老妹,lao'mei
老奶奶,lao'nai'nai
老婆,lao'po
老挑,lao'tiao
老爷,lao'ye
姥爷,lao'ye
老爷爷,lao'ye'ye
连襟,lian'jin
妈妈,ma'ma
妈咪,ma'mi
妹夫,mei'fu
妹妹,mei'mei
母亲,mu'qin
奶奶,nai'nai
囡囡,nan'nan
内弟,nei'di
内兄,nei'xiong
娘舅,niang'jiu
女儿,nv'er
女婿,nv'xu
旁系,pang'xi
婆婆,po'po
妻妹子,qi'mei'zi
妻子,qi'zi
亲人,qin'ren
三弟,san'di
嫂子,sao'zi
婶母,shen'mu
婶婶,shen'shen
婶子,shen'zi
叔父,shu'fu
叔叔,shu'shu
叔丈母,shu'zhang'mu
叔丈人,shu'zhang'ren
孙女,sun'nv
孙女婿,sun'nv'xu
孙媳妇,sun'xi'fu
孙子,sun'zi
堂弟,tang'di
堂哥,tang'ge
堂姐,tang'jie
堂妹,tang'mei
堂兄弟,tang'xiong'di
堂姊妹,tang'zi'mei
外公,wai'gong
外婆,wai'po
外甥,wai'sheng
外甥女,wai'sheng'nv
外甥女婿,wai'sheng'nv'xu
外甥媳妇,wai'sheng'xi'fu
外孙,wai'sun
外孙女,wai'sun'nv
外祖父,wai'zu'fu
外祖母,wai'zu'mu
媳妇,xi'fu
小姑,xiao'gu
小姑子,xiao'gu'zi
小舅子,xiao'jiu'zi
小叔,xiao'shu
小姨,xiao'yi
小姨妹,xiao'yi'mei
玄孙,xuan'sun
血老表,xue'lao'biao
养父,yang'fu
养母,yang'mu
幺爸,yao'ba
幺婶,yao'shen
爷叔,ye'shu
爷爷,ye'ye
姨夫,yi'fu
姨公,yi'gong
姨姐,yi'jie
姨老表,yi'lao'biao
姨妈,yi'ma
姨妹,yi'mei
姨妹夫,yi'mei'fu
姨母,yi'mu
姨叔,yi'shu
姻亲,yin'qin
幼弟,you'di
幼妹,you'mei
岳父,yue'fu
岳母,yue'mu
曾孙,zeng'sun
曾祖父,zeng'zu'fu
曾祖母,zeng'zu'mu
丈夫,zhang'fu
丈母娘,zhang'mu'niang
丈人,zhang'ren
长兄,zhang'xiong
长姊,zhang'zi
侄女,zhi'nv
侄女婿,zhi'nv'xu
侄孙,zhi'sun
侄孙女,zhi'sun'nv
侄媳妇,zhi'xi'fu
侄子,zhi'zi
妯娌,zhou'li
姊夫,zi'fu
祖父,zu'fu
祖姑母,zu'gu'mu
祖母,zu'mu
