皑皑轻趁步,ai'ai'qing'chen'bu
爱彼之容貌兮,ai'bi'zhi'rong'mao'xi
捱不明的更漏,ai'bu'ming'de'geng'lou
哀折檀云之齿,ai'zhe'tan'yun'zhi'chi
暗洒闲抛却为谁,an'sa'xian'pao'que'wei'shui
俺只念木石前盟,an'zhi'nian'mu'shi'qian'meng
鳌背三山独立名,ao'bei'san'shan'du'li'ming
鳌愁坤轴陷,ao'chou'kun'zhou'xian
螯封嫩玉双双满,ao'feng'nen'yu'shuang'shuang'man
傲世也因同气味,ao'shi'ye'yin'tong'qi'wei
坳至审夷险,ao'zhi'shen'yi'xian
把骨肉家园齐来抛闪,ba'gu'rou'jia'yuan'qi'lai'pao'shan
把这韶华打灭,ba'zhe'shao'hua'da'mie
白帝司时,bai'di'si'shi
白柳横坡,bai'liu'heng'po
白梅懒赋赋红梅,bai'mei'lan'fu'fu'hong'mei
白杨村里人呜咽,bai'yang'cun'li'ren'wu'ye
白玉堂前春解舞,bai'yu'tang'qian'chun'jie'wu
斑斑洒向西风,ban'ban'sa'xiang'xi'feng
半床落月蛩声病,ban'chuang'luo'yue'qiong'sheng'bing
半卷湘帘半掩门,ban'juan'xiang'lian'ban'yan'men
半轮鸡唱五更残,ban'lun'ji'chang'wu'geng'can
半为怜春半恼春,ban'wei'lian'chun'ban'nao'chun
保不定日后作强梁,bao'bu'ding'ri'hou'zuo'qiang'liang
宝钗无日不生尘,bao'chai'wu'ri'bu'sheng'chen
抱得秋情不忍眠,bao'de'qiu'qing'bu'ren'mian
宝鼎茶闲烟尚绿,bao'ding'cha'xian'yan'shang'lv
抱恨出青州,bao'hen'chu'qing'zhou
抱衾婢至舒金凤,bao'qin'bi'zhi'shu'jin'feng
宝婺情孤洁,bao'wu'qing'gu'jie
背孔孟之道,bei'kong'meng'zhi'dao
北面而朝,bei'mian'er'chao
倍添韵致,bei'tian'yun'zhi
悲喜千般同幻渺,bei'xi'qian'ban'tong'huan'miao
本来无一物,ben'lai'wu'yi'wu
奔腾而澎湃,ben'teng'er'peng'pai
迸砌妨阶水,beng'qi'fang'jie'shui
彼钗玉花麝者,bi'chai'yu'hua'she'zhe
彼含其劝,bi'han'qi'quan
赑屃朝光透,bi'xi'chao'guang'tou
便是败家的根本,bian'shi'bai'jia'de'gen'ben
便是红颜老死时,bian'shi'hong'yan'lao'si'shi
便是烟消火灭时,bian'shi'yan'xiao'huo'mie'shi
便向人间觅是非,bian'xiang'ren'jian'mi'shi'fei
别圃移来贵比金,bie'pu'yi'lai'gui'bi'jin
别有幽情,bie'you'you'qing
缤纷入永宵,bin'fen'ru'yong'xiao
冰鲛之縠,bing'jiao'zhi'hu
冰清玉润,bing'qing'yu'run
冰弦拨尽曲中愁,bing'xian'bo'jin'qu'zhong'chou
冰雪招来露砌魂,bing'xue'zhao'lai'lu'qi'hun
秉月貌,bing'yue'mao
博得嫦蛾应借问,bo'de'chang'e'ying'jie'wen
博得个地久天长,bo'de'ge'di'jiu'tian'chang
玻璃槛纳柳风凉,bo'li'kan'na'liu'feng'liang
不管桃飘与李飞,bu'guan'tao'piao'yu'li'fei
不悔自己无见识,bu'hui'zi'ji'wu'jian'shi
不获回生之药,bu'huo'hui'sheng'zhi'yao
不及闺中林四娘,bu'ji'gui'zhong'lin'si'niang
不禁谆谆之问,bu'jin'zhun'zhun'zhi'wen
不离不弃芳龄永继,bu'li'bu'qi'fang'ling'yong'ji
不期忠义明闺阁,bu'qi'zhong'yi'ming'gui'ge
不求大士瓶中露,bu'qiu'da'shi'ping'zhong'lu
不识香痕渍也无,bu'shi'xiang'hen'zi'ye'wu
不听菱歌听佛经,bu'ting'ling'ge'ting'fo'jing
不闻永昼敲棋声,bu'wen'yong'zhou'qiao'qi'sheng
不系明珠系宝刀,bu'xi'ming'zhu'xi'bao'dao
不宜出行,bu'yi'chu'xing
不语婷婷日又昏,bu'yu'ting'ting'ri'you'hun
不雨亦潇潇,bu'yu'yi'xiao'xiao
不在梅边在柳边,bu'zai'mei'bian'zai'liu'bian
不知风雨几时休,bu'zhi'feng'yu'ji'shi'xiu
不作狠心人难得自了汉,bu'zuo'hen'xin'ren'nan'de'zi'liao'han
才华馥比仙,cai'hua'fu'bi'xian
彩线难收面上珠,cai'xian'nan'shou'mian'shang'zhu
彩云易散,cai'yun'yi'san
才知道我疼你不疼,cai'zhi'dao'wo'teng'ni'bu'teng
才自精明志自高,cai'zi'jing'ming'zhi'zi'gao
残菊,can'ju
