阿尔贝茨,a'er'bei'ci
阿隆索,a'long'suo
埃里克,ai'li'ke
埃里克斯格特,ai'li'ke'si'ge'te
埃米尔,ai'mi'er
埃米尔马丁内斯,ai'mi'er'ma'ding'nei'si
安杰依,an'jie'yi
安杰依斯特雷劳,an'jie'yi'si'te'lei'lao
奥兰多,ao'lan'duo
八百块,ba'bai'kuai
巴亚诺,ba'ya'nuo
百威杯,bai'wei'bei
白雪峰,bai'xue'feng
北伐,bei'fa
彼得诺维奇,bi'de'nuo'wei'qi
卞军,bian'jun
布兰科,bu'lan'ke
蔡健林,cai'jian'lin
裁判赢了,cai'pan'ying'le
常琳,chang'lin
超霸杯,chao'ba'bei
程海峰,cheng'hai'feng
成亮,cheng'liang
橙色风暴,cheng'se'feng'bao
成耀东,cheng'yao'dong
城中园大酒店,cheng'zhong'yuan'da'jiu'dian
臭流氓,chou'liu'mang
吹喇叭,chui'la'ba
大力水手,da'li'shui'shou
大头家族球迷会,da'tou'jia'zu'qiu'mi'hui
丹尼斯,dan'ni'si
德比,de'bi
丁丁,ding'ding
东方体育日报,dong'fang'ti'yu'ri'bao
董雷,dong'lei
东体,dong'ti
董阳,dong'yang
杜威,du'wei
断其一指,duan'qi'yi'zhi
法德恰,fa'de'qia
范崎,fan'qi
范赟,fan'yun
范志毅,fan'zhi'yi
冯祺,feng'qi
封杀,feng'sha
高佳,gao'jia
郜林,gao'lin
高校联盟球迷会,gao'xiao'lian'meng'qiu'mi'hui
跟腱断裂,gen'jian'duan'lie
郭光褀,guo'guang'qi
郭文周,guo'wen'zhou
海蓝梦,hai'lan'meng
汉密尔顿,han'mi'er'dun
河南降级,he'nan'jiang'ji
黑豹,hei'bao
黑纱巾,hei'sha'jin
虹口,hong'kou
虹口足球场,hong'kou'zu'qiu'chang
蝴蝶飞,hu'die'fei
沪港杯,hu'gang'bei
胡志军,hu'zhi'jun
花豹,hua'bao
还我虹口,huan'wo'hong'kou
还我申花,huan'wo'shen'hua
黄龙体育场,huang'long'ti'yu'chang
黄丝带,huang'si'dai
黄丝带行动,huang'si'dai'xing'dong
霍日宁,huo'ri'ning
霍智宇,huo'zhi'yu
吉梅内斯,ji'mei'nei'si
吉祥联盟球迷会,ji'xiang'lian'meng'qiu'mi'hui
吉祥兄弟,ji'xiang'xiong'di
贾春华,jia'chun'hua
加勒比海双煞,jia'le'bi'hai'shuang'sha
贾文鹏,jia'wen'peng
贾秀全,jia'xiu'quan
姜坤,jiang'kun
金山体育场,jin'shan'ti'yu'chang
康桥,kang'qiao
康桥基地,kang'qiao'ji'di
柯斌,ke'bin
可汗,ke'han
可汗球迷俱乐部,ke'han'qiu'mi'ju'le'bu
克雷亚,ke'lei'ya
拉德,la'de
拉米雷斯,la'mi'lei'si
拉萨,la'sa
拉扎罗尼,la'zha'luo'ni
蓝豹,lan'bao
兰科维奇,lan'ke'wei'qi
蓝魔,lan'mo
蓝魔球迷俱乐部,lan'mo'qiu'mi'ju'le'bu
蓝色激浪,lan'se'ji'lang
蓝色申海,lan'se'shen'hai
李诚铭,li'cheng'ming
李大维,li'da'wei
李钢,li'gang
里卡德,li'ka'de
里卡德汉密尔顿,li'ka'de'han'mi'er'dun
李扣成,li'kou'cheng
李玮峰,li'wei'feng
李晓,li'xiao
李毅男,li'yi'nan
莲石专线,lian'shi'zhuan'xian
刘宏涛,liu'hong'tao
刘建生,liu'jian'sheng
刘军,liu'jun
刘谢栋,liu'xie'dong
刘志青,liu'zhi'qing
楼世芳,lou'shi'fang
鲁本索萨,lu'ben'suo'sa
绿林军,lu'lin'jun
芦欣,lu'xin
绿魂,lv'hun
绿魂球迷会,lv'hun'qiu'mi'hui
绿毛乌龟,lv'mao'wu'gui
马丁内斯,ma'ding'nei'si
马良行,ma'liang'hang
马切西尼,ma'qie'xi'ni
马赛罗,ma'sai'luo
毛剑卿,mao'jian'qing
毛毅军,mao'yi'jun
梅湖体育场,mei'hu'ti'yu'chang
米诺舍维奇,mi'nuo'she'wei'qi
莫拉,mo'la
莫莱诺,mo'lai'nuo
墨里西,mo'li'xi
南征,nan'zheng
庞利,pang'li
佩雷斯,pei'lei'si
佩特,pei'te
佩特科维奇,pei'te'ke'wei'qi
祁宏,qi'hong
抢逼围,qiang'bi'wei
青浦基地,qing'pu'ji'di
邱胜炯,qiu'sheng'jiong
区楚良,qu'chu'liang
曲少言,qu'shao'yan
曲圣卿,qu'sheng'qing
瞿郁明,qu'yu'ming
群星球迷俱乐部,qun'xing'qiu'mi'ju'le'bu
韧带撕裂,ren'dai'si'lie
萨里奇,sa'li'qi
莎莎,sha'sha
上海风情,shang'hai'feng'qing
上海九号台球迷会,shang'hai'jiu'hao'tai'qiu'mi'hui
上海女子球迷会,shang'hai'nv'zi'qiu'mi'hui
上海浦东源深体育中心,shang'hai'pu'dong'yuan'shen'ti'yu'zhong'xin
上海申花俱乐部足球队,shang'hai'shen'hua'ju'le'bu'zu'qiu'dui
上海申花蓝魔球迷俱乐部,shang'hai'shen'hua'lan'mo'qiu'mi'ju'le'bu
上海申花联盛,shang'hai'shen'hua'lian'sheng
上海申花联盛足球俱乐部有限公司,shang'hai'shen'hua'lian'sheng'zu'qiu'ju'le'bu'you'xian'gong'si
上海申花足球俱乐部,shang'hai'shen'hua'zu'qiu'ju'le'bu
上海足球锦标赛,shang'hai'zu'qiu'jin'biao'sai
上青天杯,shang'qing'tian'bei
申花联盛,shen'hua'lian'sheng
申花是冠军,shen'hua'shi'guan'jun
沈龙元,shen'long'yuan
申思,shen'si
盛泽球迷俱乐部,sheng'ze'qiu'mi'ju'le'bu
舜景大酒店,shun'jing'da'jiu'dian
舜景商务大酒店,shun'jing'shang'wu'da'jiu'dian
斯格特,si'ge'te
斯科特,si'ke'te
斯坦契夫,si'tan'qi'fu
斯托依科夫,si'tuo'yi'ke'fu
孙春明,sun'chun'ming
孙吉,sun'ji
孙祥,sun'xiang
索菲特大酒店,suo'fei'te'da'jiu'dian
索萨,suo'sa
陶金,tao'jin
托马斯,tuo'ma'si
托米奇,tuo'mi'qi
瓦列里,wa'lie'li
瓦洛佳,wa'luo'jia
瓦西里,wa'xi'li
万大雪,wan'da'xue
王成明,wang'cheng'ming
王大雷,wang'da'lei
王洪亮,wang'hong'liang
王珂,wang'ke
王林,wang'lin
王书成,wang'shu'cheng
王伟杰,wang'wei'jie
王学庆,wang'xue'qing
威尔金森,wei'er'jin'sen
威峰组合,wei'feng'zu'he
威斯巴登,wei'si'ba'deng
威斯巴登队,wei'si'ba'deng'dui
我们赢了,wo'men'ying'le
吴兵,wu'bing
吴承瑛,wu'cheng'ying
武飞,wu'fei
武汉光武,wu'han'guang'wu
吴冀南,wu'ji'nan
吴金贵,wu'jin'gui
乌拉圭三叉戟,wu'la'gui'san'cha'ji
吴伟超,wu'wei'chao
奚志康,xi'zhi'kang
小付,xiao'fu
肖战波,xiao'zhan'bo
谢晖,xie'hui
忻峰,xin'feng
新华路体育场,xin'hua'lu'ti'yu'chang
徐峰,xu'feng
徐根宝,xu'gen'bao
徐洋,xu'yang
亚冠,ya'guan
杨纯刚,yang'chun'gang
杨光,yang'guang
扬克尔,yang'ke'er
杨云,yang'yun
姚俊,yao'jun
姚力君,yao'li'jun
业春球迷俱乐部,ye'chun'qiu'mi'ju'le'bu
义乌,yi'wu
义乌会展体育中心,yi'wu'hui'zhan'ti'yu'zhong'xin
义乌梅湖体育场,yi'wu'mei'hu'ti'yu'chang
殷锡福,yin'xi'fu
尤根,you'gen
尤万,you'wan
于涛,yu'tao
虞伟亮,yu'wei'liang
郁知非,yu'zhi'fei
源深,yuan'shen
源深体育场,yuan'shen'ti'yu'chang
远征,yuan'zheng
张晨,zhang'chen
张德发,zhang'de'fa
张效瑞,zhang'xiao'rui
张毅,zhang'yi
张勇,zhang'yong
张玉宁,zhang'yu'ning
张志光,zhang'zhi'guang
赵亮,zhao'liang
赵志鹏,zhao'zhi'peng
浙江绿城,zhe'jiang'lv'cheng
郑科伟,zheng'ke'wei
郑伟,zheng'wei
中超杯,zhong'chao'bei
周军,zhou'jun
周伟新,zhou'wei'xin
周亚君,zhou'ya'jun
朱慧谦,zhu'hui'qian
朱建敏,zhu'jian'min
朱炯,zhu'jiong
朱骏,zhu'jun
朱利奥,zhu'li'ao
朱琪,zhu'qi
足协杯,zu'xie'bei
佐兰,zuo'lan
