八角鼓,ba'jiao'gu
宝卷,bao'juan
变文,bian'wen
布依弹唱,bu'yi'tan'chang
采茶歌,cai'cha'ge
岔曲,cha'qu
缠达,chan'da
缠令,chan'ling
长沙弹词,chang'sha'tan'ci
唱赚,chang'zhuan
潮州歌,chao'zhou'ge
传达,chuan'da
词话,ci'hua
词文,ci'wen
大本曲,da'ben'qu
大调曲子,da'diao'qu'zi
大鼓,da'gu
单弦,dan'xian
道情,dao'qing
东北大鼓,dong'bei'da'gu
二人转,er'ren'zhuan
奉调大鼓,feng'diao'da'gu
福州伬艺,fu'zhou'che'yi
福州评话,fu'zhou'ping'hua
覆赚,fu'zhuan
歌仔,ge'zai
鼓子词,gu'zi'ci
广西文场,guang'xi'wen'chang
贵州琴书,gui'zhou'qin'shu
贵州弹词,gui'zhou'tan'ci
好力宝,hao'li'bao
荷叶,he'ye
湖北小曲,hu'bei'xiao'qu
湖北渔鼓,hu'bei'yu'gu
湖南丝弦,hu'nan'si'xian
湖南渔鼓,hu'nan'yu'gu
货郎儿,huo'lang'er
讲经文,jiang'jing'wen
江西道情,jiang'xi'dao'qing
叫果子,jiao'guo'zi
叫声,jiao'sheng
锦歌,jin'ge
喇嘛玛尼,la'ma'ma'ni
兰州鼓子,lan'zhou'gu'zi
乐亭大鼓,lao'ting'da'gu
梨花大鼓,li'hua'da'gu
莲花落,lian'hua'lao
联珠快书,lian'zhu'kuai'shu
零零落,ling'ling'luo
门词,men'ci
木板大鼓,mu'ban'da'gu
木鱼歌,mu'yu'ge
牌子曲,pai'zi'qu
嘌唱,piao'chang
平胡调,ping'hu'tiao
琴书,qin'shu
青海平弦,qing'hai'ping'xian
三棒鼓,san'bang'gu
三弦书,san'xian'shu
山东大鼓,shan'dong'da'gu
山东琴书,shan'dong'qin'shu
山歌,shan'ge
十不闲,shi'bu'xian
时调小曲,shi'diao'xiao'qu
诗话,shi'hua
说书,shuo'shu
四川清音,si'chuan'qing'yin
四川扬琴,si'chuan'yang'qin
四川竹琴,si'chuan'zhu'qin
四明南词,si'ming'nan'ci
四明文书,si'ming'wen'shu
俗赋,su'fu
俗讲,su'jiang
苏州弹词,su'zhou'tan'ci
弹唱因缘,tan'chang'yin'yuan
弹词,tan'ci
滩簧,tan'huang
陶真,tao'zhen
淘真,tao'zhen
文书,wen'shu
闻书调,wen'shu'tiao
温州鼓词,wen'zhou'gu'ci
吴歌,wu'ge
乌力格尔,wu'li'ge'er
西河大鼓,xi'he'da'gu
弦词,xian'ci
像生,xiang'sheng
相声,xiang'sheng
徐州琴书,xu'zhou'qin'shu
宣卷,xuan'juan
崖词,ya'ci
涯词,ya'ci
押座文,ya'zuo'wen
秧歌,yang'ge
扬州清曲,yang'zhou'qing'qu
扬州弹词,yang'zhou'tan'ci
翼城琴书,yi'cheng'qin'shu
渔鼓,yu'gu
驭说,yu'shuo
缘起,yuan'qi
