保费收入,bao'fei'shou'ru
保户储金,bao'hu'chu'jin
保户红利支出,bao'hu'hong'li'zhi'chu
保险责任准备金,bao'xian'ze'ren'zhun'bei'jin
包装物及低值易耗品,bao'zhuang'wu'ji'di'zhi'yi'hao'pin
被套期项目,bei'tao'qi'xiang'mu
本年利润,ben'nian'li'run
材料采购,cai'liao'cai'gou
材料成本差异,cai'liao'cheng'ben'cha'yi
财务费用,cai'wu'fei'yong
拆出资金,chai'chu'zi'jin
拆入资金,chai'ru'zi'jin
长期待摊费用,chang'qi'dai'tan'fei'yong
长期股权投资,chang'qi'gu'quan'tou'zi
长期股权投资减值准备,chang'qi'gu'quan'tou'zi'jian'zhi'zhun'bei
长期借款,chang'qi'jie'kuan
长期应付款,chang'qi'ying'fu'kuan
长期应收款,chang'qi'ying'shou'kuan
长期债券,chang'qi'zhai'quan
持有至到期投资,chi'you'zhi'dao'qi'tou'zi
持有至到期投资减值准备,chi'you'zhi'dao'qi'tou'zi'jian'zhi'zhun'bei
存出保证金,cun'chu'bao'zheng'jin
存出资本保证金,cun'chu'zi'ben'bao'zheng'jin
存放同业,cun'fang'tong'ye
存放中央银行款项,cun'fang'zhong'yang'yin'hang'kuan'xiang
存货跌价准备,cun'huo'die'jia'zhun'bei
存入保证金,cun'ru'bao'zheng'jin
撮保险责任准备金,cuo'bao'xian'ze'ren'zhun'bei'jin
待处理财产损益,dai'chu'li'cai'chan'sun'yi
贷款,dai'kuan
贷款损失准备,dai'kuan'sun'shi'zhun'bei
代理承销证券款,dai'li'cheng'xiao'zheng'quan'kuan
代理兑付证券,dai'li'dui'fu'zheng'quan
代理兑付证券款,dai'li'dui'fu'zheng'quan'kuan
代理买卖证券款,dai'li'mai'mai'zheng'quan'kuan
代理业务负债,dai'li'ye'wu'fu'zhai
代理业务资产,dai'li'ye'wu'zi'chan
待摊费用,dai'tan'fei'yong
递延收益,di'yan'shou'yi
递延所得税负债,di'yan'suo'de'shui'fu'zhai
递延所得资产,di'yan'suo'de'zi'chan
抵债资产,di'zhai'zi'chan
独立帐户负债,du'li'zhang'hu'fu'zhai
独立帐户资产,du'li'zhang'hu'zi'chan
短期借款,duan'qi'jie'kuan
发出商品,fa'chu'shang'pin
分保费收入,fen'bao'fei'shou'ru
分保费用,fen'bao'fei'yong
分出保费,fen'chu'bao'fei
工程结算,gong'cheng'jie'suan
工程施工,gong'cheng'shi'gong
工程物资,gong'cheng'wu'zi
公益性生物资产,gong'yi'xing'sheng'wu'zi'chan
公允价值变动损益,gong'yun'jia'zhi'bian'dong'sun'yi
固定资产,gu'ding'zi'chan
固定资产减值准备,gu'ding'zi'chan'jian'zhi'zhun'bei
固定资产清理,gu'ding'zi'chan'qing'li
管理费用,guan'li'fei'yong
贵金属,gui'jin'shu
坏帐准备,huai'zhang'zhun'bei
汇兑损益,hui'dui'sun'yi
机械作业,ji'xie'zuo'ye
交易性金融负债,jiao'yi'xing'jin'rong'fu'zhai
交易性金融资产,jiao'yi'xing'jin'rong'zi'chan
结算备付金,jie'suan'bei'fu'jin
勘探费用,kan'tan'fei'yong
可供出售金融资产,ke'gong'chu'shou'jin'rong'zi'chan
库存股,ku'cun'gu
库存商品,ku'cun'shang'pin
库存现金,ku'cun'xian'jin
会计科目名称,kuai'ji'ke'mu'ming'cheng
劳务成本,lao'wu'cheng'ben
累计折耗,lei'ji'she'hao
累计摊销,lei'ji'tan'xiao
累计折旧,lei'ji'zhe'jiu
利润分配,li'run'fen'pei
利息收入,li'xi'shou'ru
利息支出,li'xi'zhi'chu
买入返售金融资产,mai'ru'fan'shou'jin'rong'zi'chan
赔付支出,pei'fu'zhi'chu
其它货币基金,qi'ta'huo'bi'ji'jin
其他业务收入,qi'ta'ye'wu'shou'ru
其它业务支出,qi'ta'ye'wu'zhi'chu
其他应付款,qi'ta'ying'fu'kuan
其它应收款,qi'ta'ying'shou'kuan
清算资金往来,qing'suan'zi'jin'wang'lai
融资租赁资产,rong'zi'zu'lin'zi'chan
商品进销差价,shang'pin'jin'xiao'cha'jia
商誉,shang'yu
生产成本,sheng'chan'cheng'ben
生产性生物资产,sheng'chan'xing'sheng'wu'zi'chan
生产性生物资产累计折旧,sheng'chan'xing'sheng'wu'zi'chan'lei'ji'zhe'jiu
实收资本,shi'shou'zi'ben
手续费收入,shou'xu'fei'shou'ru
手续费支出,shou'xu'fei'zhi'chu
