艾撒,ai'sa
暗表,an'biao
昂穆,ang'mu
昂撒,ang'sa
八净,ba'jing
八空,ba'kong
白蓝,bai'lan
白恋,bai'lian
白日,bai'ri
白五爷,bai'wu'ye
白一,bai'yi
白玉堂,bai'yu'tang
白昭,bai'zhao
坂高,ban'gao
坂银,ban'yin
冰妙,bing'miao
冰瞬,bing'shun
不二菊,bu'er'ju
不二越,bu'er'yue
布豪,bu'hao
藏飞,cang'fei
策瑜,ce'yu
长银,chang'yin
彻地鼠,che'di'shu
城加,cheng'jia
冲神,chong'shen
穿山鼠,chuan'shan'shu
春浮,chun'fu
春勘,chun'kan
大豆,da'dou
大石菊,da'shi'ju
德哈,de'ha
迪布,di'bu
迪修,di'xiu
帝修,di'xiu
豆尔,dou'er
尔豆,er'dou
翻江鼠,fan'jiang'shu
翡幸,fei'xing
凤冥,feng'ming
封神,feng'shen
服部平次,fu'bu'ping'ci
副长,fu'chang
浮日,fu'ri
浮一,fu'yi
高桂,gao'gui
高银,gao'yin
葛鸟,ge'niao
葛伊,ge'yi
工和,gong'he
光亮,guang'liang
鬼江,gui'jiang
鬼鼬,gui'you
海豆,hai'dou
海豪,hai'hao
韩二爷,han'er'ye
韩章,han'zhang
豪烈,hao'lie
好叶,hao'ye
和太,he'tai
黑白猫,hei'bai'mao
黑江,hei'jiang
黑羽快斗,hei'yu'kuai'dou
轰莲,hong'lian
虎龙,hu'long
花魁猫,hua'kui'mao
花流,hua'liu
画影,hua'ying
晃健,huang'jian
霍莲,huo'lian
迹不二,ji'bu'er
迹越,ji'yue
迹冢,ji'zhong
迹塚,ji'zhong
加城,jia'cheng
加光,jia'guang
兼八,jian'ba
将九,jiang'jiu
蒋平,jiang'ping
蒋四爷,jiang'si'ye
焦孙,jiao'sun
锦毛鼠,jin'mao'shu
净八,jing'ba
京浮,jing'fu
净三,jing'san
卡贝,ka'bei
卡豪,ka'hao
卡伊,ka'yi
孔保,kong'bao
孔陆,kong'lu
孔有,kong'you
库月,ku'yue
快白,kuai'bai
快斗,kuai'dou
快新,kuai'xin
赖天,lai'tian
蓝白,lan'bai
蓝浮,lan'fu
蓝乌,lan'wu
蓝银,lan'yin
雷酷,lei'ku
莲轰,lian'hong
莲霍,lian'huo
怜助,lian'zhu
亮光,liang'guang
烈豪,lie'hao
流花,liu'hua
柳生仁,liu'sheng'ren
龙青,long'qing
隆撒,long'sa
龙太,long'tai
卢大爷,lu'da'ye
卢方,lu'fang
陆孔,lu'kong
鲁孔,lu'kong
陆权,lu'quan
路索,lu'suo
陆统,lu'tong
蛮银,man'yin
猫鼠,mao'shu
茂智,mao'zhi
糜稽,mi'ji
米妙,mi'miao
弥杀,mi'sha
妙冰,miao'bing
妙米,miao'mi
鸣我,ming'wo
鸣佐,ming'zuo
魔王保,mo'wang'bao
穆沙,mu'sha
穆史,mu'shi
哪空,na'kong
南侠,nan'xia
南侠展昭,nan'xia'zhan'zhao
宁鸣,ning'ming
牛穆,niu'mu
平次,ping'ci
平新,ping'xin
浦夜,pu'ye
奇杰,qi'jie
乾海,qian'hai
乾柳,qian'liu
切慈,qie'ci
切丸慈,qie'wan'ci
青涩的果实,qing'se'de'guo'shi
青藏高原哭丧队队长魔音敏,qing'zang'gao'yuan'ku'sang'dui'dui'zhang'mo'yin'min
泉此方,quan'ci'fang
忍不二,ren'bu'er
仁柳生,ren'liu'sheng
