八里桥,ba'li'qiao
八一大队,ba'yi'da'dui
拜将台,bai'jiang'tai
拜将坛,bai'jiang'tan
白庙村,bai'miao'cun
褒河,bao'he
褒河汽车站,bao'he'qi'che'zhan
北大街,bei'da'jie
北大商城,bei'da'shang'cheng
北关办事,bei'guan'ban'shi
北关办事处,bei'guan'ban'shi'chu
北街口,bei'jie'kou
北门口,bei'men'kou
北团结街中段,bei'tuan'jie'jie'zhong'duan
北团结什字,bei'tuan'jie'shen'zi
北团街什字,bei'tuan'jie'shen'zi
变压器厂,bian'ya'qi'chang
滨江路,bin'jiang'lu
财经学校,cai'jing'xue'xiao
残联路口,can'lian'lu'kou
草堰,cao'yan
草堰中学,cao'yan'zhong'xue
厂车队,chang'che'dui
厂区办事处,chang'qu'ban'shi'chu
厂区家属园,chang'qu'jia'shu'yuan
车管所,che'guan'suo
陈仓路东段,chen'cang'lu'dong'duan
陈家营什字,chen'jia'ying'shen'zi
城北货运站,cheng'bei'huo'yun'zhan
川前街,chuan'qian'jie
崔家沟,cui'jia'gou
大店子,da'dian'zi
大河看电影院,da'he'kan'dian'ying'yuan
第二人民医院,di'er'ren'min'yi'yuan
第二药材公司,di'er'yao'cai'gong'si
电力局,dian'li'ju
电视塔,dian'shi'ta
电信大楼,dian'xin'da'lou
电信大厦,dian'xin'da'sha
电信局什字,dian'xin'ju'shen'zi
店子街,dian'zi'jie
点子街什字,dian'zi'jie'shen'zi
丁舒营,ding'shu'ying
东大街什字,dong'da'jie'shen'zi
东方小区,dong'fang'xiao'qu
东方油脂厂,dong'fang'you'zhi'chang
东方之珠小区,dong'fang'zhi'zhu'xiao'qu
董家营,dong'jia'ying
东门桥,dong'men'qiao
东塔路口,dong'ta'lu'kou
都市风景小区,du'shi'feng'jing'xiao'qu
二十里铺,er'shi'li'pu
二十一号信箱,er'shi'yi'hao'xin'xiang
风景路,feng'jing'lu
凤栖小区,feng'xi'xiao'qu
高庄,gao'zhuang
公交,gong'jiao
工业品批发市场,gong'ye'pin'pi'fa'shi'chang
工业品市场,gong'ye'pin'shi'chang
沟口什字,gou'kou'shen'zi
古汉台,gu'han'tai
孤山,gu'shan
关爷庙,guan'ye'miao
广厦明珠名品广场,guang'sha'ming'zhu'ming'pin'guang'chang
汉八中,han'ba'zhong
汉二中,han'er'zhong
汉江财富城,han'jiang'cai'fu'cheng
汉江制药厂,han'jiang'zhi'yao'chang
汉九中,han'jiu'zhong
汉宁路,han'ning'lu
汉七中,han'qi'zhong
汉水名城,han'shui'ming'cheng
汉台法庭,han'tai'fa'ting
汉台区党校,han'tai'qu'dang'xiao
汉台区法院,han'tai'qu'fa'yuan
汉台区妇幼保健院,han'tai'qu'fu'you'bao'jian'yuan
汉武路加油站,han'wu'lu'jia'you'zhan
汉运司,han'yun'si
汉运司家属院,han'yun'si'jia'shu'yuan
汉运司南站,han'yun'si'nan'zhan
汉中军分区,han'zhong'jun'fen'qu
汉中农校,han'zhong'nong'xiao
汉中汽车,han'zhong'qi'che
汉中汽车城,han'zhong'qi'che'cheng
汉中手表厂,han'zhong'shou'biao'chang
汉中卫校,han'zhong'wei'xiao
汉中移动公司,han'zhong'yi'dong'gong'si
汉中中学,han'zhong'zhong'xue
航空技术学院,hang'kong'ji'shu'xue'yuan
航空职业技术学院,hang'kong'zhi'ye'ji'shu'xue'yuan
号信箱,hao'xin'xiang
河东店,he'dong'dian
河东店镇东三路口,he'dong'dian'zhen'dong'san'lu'kou
河东店镇政府,he'dong'dian'zhen'zheng'fu
河南会馆巷,he'nan'hui'guan'xiang
红玉小区,hong'yu'xiao'qu
胡家扁,hu'jia'bian
胡家营派出所,hu'jia'ying'pai'chu'suo
胡家营乡,hu'jia'ying'xiang
虎桥路什字,hu'qiao'lu'shen'zi
虎桥路中段,hu'qiao'lu'zhong'duan
虎桥商贸城,hu'qiao'shang'mao'cheng
虎桥商贸城北门,hu'qiao'shang'mao'cheng'bei'men
虎桥西路,hu'qiao'xi'lu
花台小区,hua'tai'xiao'qu
花苑小区,hua'yuan'xiao'qu
黄家塘,huang'jia'tang
黄家塘什字,huang'jia'tang'shen'zi
惠民小区,hui'min'xiao'qu
惠明小区,hui'ming'xiao'qu
火车站,huo'che'zhan
建国路口,jian'guo'lu'kou
建设巷口,jian'she'xiang'kou
江南假日酒店,jiang'nan'jia'ri'jiu'dian
将坛西路,jiang'tan'xi'lu
将坛西路口,jiang'tan'xi'lu'kou
教育学院,jiao'yu'xue'yuan
聚兴名苑小区,ju'xing'ming'yuan'xiao'qu
菊园小区,ju'yuan'xiao'qu
卡售卡中心,ka'shou'ka'zhong'xin
开发区管委会,kai'fa'qu'guan'wei'hui
康复路,kang'fu'lu
康复路西口,kang'fu'lu'xi'kou
赖家山,lai'jia'shan
理工学院家属区,li'gong'xue'yuan'jia'shu'qu
理工学院南门,li'gong'xue'yuan'nan'men
莲湖路,lian'hu'lu
莲湖苑,lian'hu'yuan
梁山,liang'shan
梁州路口,liang'zhou'lu'kou
梁洲路口,liang'zhou'lu'kou
粱州路口,liang'zhou'lu'kou
梦特,meng'te
民航,min'hang
民乐园,min'le'yuan
民珠蔬菜批发市场,min'zhu'shu'cai'pi'fa'shi'chang
民族小学,min'zu'xiao'xue
明珠路,ming'zhu'lu
明珠商城,ming'zhu'shang'cheng
南华村,nan'hua'cun
南环路,nan'huan'lu
南环路西口,nan'huan'lu'xi'kou
南江办事处,nan'jiang'ban'shi'chu
南团结街中段,nan'tuan'jie'jie'zhong'duan
南郑县城东,nan'zheng'xian'cheng'dong
南郑县城西,nan'zheng'xian'cheng'xi
南郑中学,nan'zheng'zhong'xue
牛家桥,niu'jia'qiao
农机公司,nong'ji'gong'si
农科所,nong'ke'suo
农贸市场,nong'mao'shi'chang
铺镇,pu'zhen
齐力,qi'li
七里办事处,qi'li'ban'shi'chu
七里村,qi'li'cun
前进东路,qian'jin'dong'lu
前进路口,qian'jin'lu'kou
前进西路口,qian'jin'xi'lu'kou
前进中路,qian'jin'zhong'lu
桥北广场,qiao'bei'guang'chang
桥南广场,qiao'nan'guang'chang
青年路口,qing'nian'lu'kou
区检察院,qu'jian'cha'yuan
人民路,ren'min'lu
人民医院,ren'min'yi'yuan
赛博数码城,sai'bo'shu'ma'cheng
三二,san'er
三儿,san'er
三号信箱,san'hao'xin'xiang
三里村,san'li'cun
三里店,san'li'dian
三星汽贸,san'xing'qi'mao
陕二队,shan'er'dui
陕理工北校区,shan'li'gong'bei'xiao'qu
陕南植物园,shan'nan'zhi'wu'yuan
陕西理工学院南区,shan'xi'li'gong'xue'yuan'nan'qu
商业大厦,shang'ye'da'sha
审计局,shen'ji'ju
盛隆家具城,sheng'long'jia'ju'cheng
圣水桃园,sheng'shui'tao'yuan
市蚕种厂,shi'can'zhong'chang
市地税局,shi'di'shui'ju
市妇女儿童医院,shi'fu'nv'er'tong'yi'yuan
市妇幼保健院,shi'fu'you'bao'jian'yuan
石谷村,shi'gu'cun
市技校,shi'ji'xiao
世纪阳光,shi'ji'yang'guang
十里村,shi'li'cun
石马路,shi'ma'lu
石马坡,shi'ma'po
市人民医院,shi'ren'min'yi'yuan
石狮大酒店,shi'shi'da'jiu'dian
市体育运动中心,shi'ti'yu'yun'dong'zhong'xin
市政府,shi'zheng'fu
市政府南门,shi'zheng'fu'nan'men
市中心医院东门,shi'zhong'xin'yi'yuan'dong'men
市中心医院南门,shi'zhong'xin'yi'yuan'nan'men
