阿伏伽德罗常数,a'fu'ga'de'luo'chang'shu
氨基,an'ji
饱和溶液,bao'he'rong'ye
饱和一卤代烃,bao'he'yi'lu'dai'ting
饱和脂肪酸,bao'he'zhi'fang'suan
苯胺,ben'an
苯酚,ben'fen
苯酚钠,ben'fen'na
苯甲酸,ben'jia'suan
苯乙烯,ben'yi'xi
标准状况,biao'zhun'zhuang'kuang
丙基,bing'ji
丙三醇,bing'san'chun
丙酮,bing'tong
丙烯,bing'xi
玻璃棒,bo'li'bang
不饱和溶液,bu'bao'he'rong'ye
不饱和脂肪酸,bu'bao'he'zhi'fang'suan
不可逆反应,bu'ke'ni'fan'ying
布氏漏斗,bu'shi'lou'dou
不稳定酸,bu'wen'ding'suan
侧链,ce'lian
称取,cheng'qu
抽气管,chou'qi'guan
醇羟基,chun'qiang'ji
催化氧化,cui'hua'yang'hua
萃取,cui'qu
大苏打,da'su'da
滴定管,di'ding'guan
滴管,di'guan
低级脂肪酸,di'ji'zhi'fang'suan
滴加,di'jia
滴瓶,di'ping
滴入,di'ru
碘化钠,dian'hua'na
电化学腐蚀,dian'hua'xue'fu'shi
碘化银,dian'hua'yin
电解池,dian'jie'chi
电解质,dian'jie'zhi
电解质溶液,dian'jie'zhi'rong'ye
电离方程式,dian'li'fang'cheng'shi
电离能,dian'li'neng
碘酸钾,dian'suan'jia
碘酸钠,dian'suan'na
丁基,ding'ji
丁烯,ding'xi
多肽,duo'tai
二元强酸,er'yuan'qiang'suan
二元酸,er'yuan'suan
发生装置,fa'sheng'zhuang'zhi
反应器,fan'ying'qi
反应速率,fan'ying'su'lv
防倒吸,fang'dao'xi
防倒吸装置,fang'dao'xi'zhuang'zhi
芳香烃,fang'xiang'ting
非极性分子,fei'ji'xing'fen'zi
非极性键,fei'ji'xing'jian
非金属氧化物,fei'jin'shu'yang'hua'wu
非金属元素,fei'jin'shu'yuan'su
分解反应,fen'jie'fan'ying
酚羟基,fen'qiang'ji
酚醛塑料,fen'quan'su'liao
分散系,fen'san'xi
酚酞试液,fen'tai'shi'ye
分液,fen'ye
分液装置,fen'ye'zhuang'zhi
分子空间构型,fen'zi'kong'jian'gou'xing
复分解反应,fu'fen'jie'fan'ying
氟化钾,fu'hua'jia
氟化钠,fu'hua'na
氟塑料,fu'su'liao
坩埚,gan'guo
坩埚钳,gan'guo'qian
高级脂肪酸,gao'ji'zhi'fang'suan
高温灼烧,gao'wen'zhuo'shao
庚烷,geng'wan
官能团,guan'neng'tuan
关系式法,guan'xi'shi'fa
广口瓶,guang'kou'ping
硅酸二钙,gui'suan'er'gai
硅酸三钙,gui'suan'san'gai
硅酸盐,gui'suan'yan
海波,hai'bo
含氧酸盐,han'yang'suan'yan
核电荷数,he'dian'he'shu
核内质子数,he'nei'zhi'zi'shu
核外电子数,he'wai'dian'zi'shu
化合反应,hua'he'fan'ying
化合态,hua'he'tai
