安全工程,an'quan'gong'cheng
安全技术与管理,an'quan'ji'shu'yu'guan'li
奥鹏,ao'peng
奥鹏卡,ao'peng'ka
奥鹏卡号,ao'peng'ka'hao
奥鹏远程教育学习中心,ao'peng'yuan'cheng'jiao'yu'xue'xi'zhong'xin
报名热线,bao'ming're'xian
保险,bao'xian
北大,bei'da
北京奥鹏远程教育中心有限公司,bei'jing'ao'peng'yuan'cheng'jiao'yu'zhong'xin'you'xian'gong'si
北京大学,bei'jing'da'xue
北京航空航天大学,bei'jing'hang'kong'hang'tian'da'xue
北京交通大学,bei'jing'jiao'tong'da'xue
北京师范大学,bei'jing'shi'fan'da'xue
北京邮电大学,bei'jing'you'dian'da'xue
北京语言大学,bei'jing'yu'yan'da'xue
北语,bei'yu
财务管理,cai'wu'guan'li
财务会计,cai'wu'kuai'ji
财政学,cai'zheng'xue
成人教育,cheng'ren'jiao'yu
城市燃气输配,cheng'shi'ran'qi'shu'pei
船舶与海洋工程,chuan'bo'yu'hai'yang'gong'cheng
大工,da'gong
大连理工,da'lian'li'gong
大连理工大学,da'lian'li'gong'da'xue
大气科学,da'qi'ke'xue
地理科学,di'li'ke'xue
地理学教育,di'li'xue'jiao'yu
电大,dian'da
电力系统及其自动化,dian'li'xi'tong'ji'qi'zi'dong'hua
电气工程及其自动化,dian'qi'gong'cheng'ji'qi'zi'dong'hua
电子科技大学,dian'zi'ke'ji'da'xue
电子商务,dian'zi'shang'wu
电子信息工程,dian'zi'xin'xi'gong'cheng
电子信息工程技术,dian'zi'xin'xi'gong'cheng'ji'shu
东北财经,dong'bei'cai'jing
东北财经大学,dong'bei'cai'jing'da'xue
东北农业大学,dong'bei'nong'ye'da'xue
东北师范大学,dong'bei'shi'fan'da'xue
东财,dong'cai
动物科学,dong'wu'ke'xue
动物医学,dong'wu'yi'xue
对外汉语,dui'wai'han'yu
法律,fa'lv
法学,fa'xue
返款,fan'kuan
房地产经营管理,fang'di'chan'jing'ying'guan'li
风险管理与保险学,feng'xian'guan'li'yu'bao'xian'xue
辅导教师,fu'dao'jiao'shi
福建师大,fu'jian'shi'da
福建师范大学,fu'jian'shi'fan'da'xue
福师,fu'shi
高起本,gao'qi'ben
工程管理,gong'cheng'guan'li
工程造价,gong'cheng'zao'jia
工程造价管理,gong'cheng'zao'jia'guan'li
公共服务体系,gong'gong'fu'wu'ti'xi
公共事业管理,gong'gong'shi'ye'guan'li
工商管理,gong'shang'guan'li
广播电视大学,guang'bo'dian'shi'da'xue
广播电视新闻学,guang'bo'dian'shi'xin'wen'xue
广告学,guang'gao'xue
国际经济与贸易,guo'ji'jing'ji'yu'mao'yi
国际贸易,guo'ji'mao'yi
国民经济管理,guo'min'jing'ji'guan'li
韩语,han'yu
汉语言文学,han'yu'yan'wen'xue
汉语言文学教育,han'yu'yan'wen'xue'jiao'yu
护理学,hu'li'xue
化学,hua'xue
化学工程与工艺,hua'xue'gong'cheng'yu'gong'yi
化学教育,hua'xue'jiao'yu
华中师范大学,hua'zhong'shi'fan'da'xue
环境工程,huan'jing'gong'cheng
会展与广告设计,hui'zhan'yu'guang'gao'she'ji
机考,ji'kao
计算机科学教育,ji'suan'ji'ke'xue'jiao'yu
计算机科学与技术,ji'suan'ji'ke'xue'yu'ji'shu
计算机网络,ji'suan'ji'wang'luo
计算机网络技术,ji'suan'ji'wang'luo'ji'shu
计算机信息管理,ji'suan'ji'xin'xi'guan'li
计算机应用技术,ji'suan'ji'ying'yong'ji'shu
计算机应用与网络技术,ji'suan'ji'ying'yong'yu'wang'luo'ji'shu
机械设计制造及其自动化,ji'xie'she'ji'zhi'zao'ji'qi'zi'dong'hua
机械设计制造及自动化,ji'xie'she'ji'zhi'zao'ji'zi'dong'hua
教材,jiao'cai
教材发行部,jiao'cai'fa'xing'bu
交通运输,jiao'tong'yun'shu
教务,jiao'wu
教学计划,jiao'xue'ji'hua
教学平台,jiao'xue'ping'tai
教学支持服务,jiao'xue'zhi'chi'fu'wu
教育管理,jiao'yu'guan'li
教育技术学,jiao'yu'ji'shu'xue
教育学,jiao'yu'xue
金融学,jin'rong'xue
经济管理,jing'ji'guan'li
经济学,jing'ji'xue
经贸俄语,jing'mao'e'yu
开放教育,kai'fang'jiao'yu
考场号,kao'chang'hao
考务,kao'wu
考务务,kao'wu'wu
口腔工艺技术,kou'qiang'gong'yi'ji'shu
会计电算化,kuai'ji'dian'suan'hua
会计学,kuai'ji'xue
兰州大学,lan'zhou'da'xue
历史教育,li'shi'jiao'yu
历史学,li'shi'xue
历史学教育,li'shi'xue'jiao'yu
离线作业,li'xian'zuo'ye
临床药学,lin'chuang'yao'xue
旅游管理,lv'you'guan'li
旅游与酒店管理,lv'you'yu'jiu'dian'guan'li
南开大学,nan'kai'da'xue
农村管理与发展,nong'cun'guan'li'yu'fa'zhan
农林经济管理,nong'lin'jing'ji'guan'li
农学,nong'xue
培训认证,pei'xun'ren'zheng
千店工程,qian'dian'gong'cheng
渠道服务人员,qu'dao'fu'wu'ren'yuan
热能与动力工程,re'neng'yu'dong'li'gong'cheng
人力资源管理,ren'li'zi'yuan'guan'li
日语,ri'yu
入学测试,ru'xue'ce'shi
软件工程,ruan'jian'gong'cheng
商务管理,shang'wu'guan'li
社会工作,she'hui'gong'zuo
生物学教育,sheng'wu'xue'jiao'yu
市场营销,shi'chang'ying'xiao
石油工程,shi'you'gong'cheng
数学教育,shu'xue'jiao'yu
数学教育学前教育,shu'xue'jiao'yu'xue'qian'jiao'yu
数学与应用数学,shu'xue'yu'ying'yong'shu'xue
水利水电工程,shui'li'shui'dian'gong'cheng
税务,shui'wu
四川大学,si'chuan'da'xue
思想政治教育,si'xiang'zheng'zhi'jiao'yu
体育教育,ti'yu'jiao'yu
天津大学,tian'jin'da'xue
统考,tong'kao
通信工程,tong'xin'gong'cheng
通信技术,tong'xin'ji'shu
土地资源管理,tu'di'zi'yuan'guan'li
土木工程,tu'mu'gong'cheng
网考,wang'kao
网络工程,wang'luo'gong'cheng
网络教育,wang'luo'jiao'yu
卫生事业管理,wei'sheng'shi'ye'guan'li
物理教育,wu'li'jiao'yu
物理学,wu'li'xue
物理学教育,wu'li'xue'jiao'yu
物流管理,wu'liu'guan'li
西安交通大学,xi'an'jiao'tong'da'xue
西交,xi'jiao
西南大学,xi'nan'da'xue
西南交通大学,xi'nan'jiao'tong'da'xue
现代教育技术,xian'dai'jiao'yu'ji'shu
小学教育,xiao'xue'jiao'yu
心理学,xin'li'xue
信息管理,xin'xi'guan'li
信息管理与信息系统,xin'xi'guan'li'yu'xin'xi'xi'tong
行政管理,xing'zheng'guan'li
畜牧兽医,xu'mu'shou'yi
选课,xuan'ke
学分,xue'fen
学号,xue'hao
学籍,xue'ji
学前教育,xue'qian'jiao'yu
学生证,xue'sheng'zheng
学生证号,xue'sheng'zheng'hao
学务,xue'wu
学习中心,xue'xi'zhong'xin
学员,xue'yuan
烟草科学与工程,yan'cao'ke'xue'yu'gong'cheng
药学,yao'xue
应用化学,ying'yong'hua'xue
应用心理学,ying'yong'xin'li'xue
英语,ying'yu
英语教育,ying'yu'jiao'yu
油气储运工程,you'qi'chu'yun'gong'cheng
远程教育,yuan'cheng'jiao'yu
园林,yuan'lin
园艺,yuan'yi
在线作业,zai'xian'zuo'ye
招生办,zhao'sheng'ban
招生简章,zhao'sheng'jian'zhang
招生咨询,zhao'sheng'zi'xun
浙大,zhe'da
浙江大学,zhe'jiang'da'xue
职业教育,zhi'ye'jiao'yu
职业教育管理,zhi'ye'jiao'yu'guan'li
中国地质大学,zhong'guo'di'zhi'da'xue
中国科学技术大学,zhong'guo'ke'xue'ji'shu'da'xue
中国人民大学,zhong'guo'ren'min'da'xue
中国石油大学,zhong'guo'shi'you'da'xue
中国医科大学,zhong'guo'yi'ke'da'xue
中央电大,zhong'yang'dian'da
中央广播电视大学,zhong'yang'guang'bo'dian'shi'da'xue
中央音乐学院,zhong'yang'yin'yue'xue'yuan
专升本,zhuan'sheng'ben
专业,zhuan'ye
准考证,zhun'kao'zheng
准考证号,zhun'kao'zheng'hao
资格认证,zi'ge'ren'zheng
资源勘查工程,zi'yuan'kan'cha'gong'cheng
座位号,zuo'wei'hao
