阿蛮,a'man
黯然销魂者唯别而已矣,an'ran'xiao'hun'zhe'wei'bie'er'yi'yi
百里流桑,bai'li'liu'sang
北魏皇太后冯亭,bei'wei'huang'tai'hou'feng'ting
不见容止终身误,bu'jian'rong'zhi'zhong'shen'wu
草木本无心风月不关情,cao'mu'ben'wu'xin'feng'yue'bu'guan'qing
楚玉,chu'yu
春日杏花吹满头,chun'ri'xing'hua'chui'man'tou
春色关不住,chun'se'guan'bu'zhu
此情应是长相守你若无心我便休,ci'qing'ying'shi'chang'xiang'shou'ni'ruo'wu'xin'wo'bian'xiu
从此王家无意之,cong'ci'wang'jia'wu'yi'zhi
大多好物不坚牢彩云易散琉璃脆,da'duo'hao'wu'bu'jian'lao'cai'yun'yi'san'liu'li'cui
粉黛,fen'dai
观沧海,guan'cang'hai
何戢,he'ji
鹤绝,he'jue
红了樱桃绿芭蕉流光容易把人抛,hong'le'ying'tao'lv'ba'jiao'liu'guang'rong'yi'ba'ren'pao
花错,hua'cuo
缓带轻裘疏狂事,huan'dai'qing'qiu'shu'kuang'shi
桓远,huan'yuan
魂魄今安在,hun'po'jin'an'zai
活色暗生香,huo'se'an'sheng'xiang
寂然,ji'ran
惊风漂白日光景弛西流,jing'feng'piao'bai'ri'guang'jing'chi'xi'liu
可怜无定河边骨犹是春闺梦里人,ke'lian'wu'ding'he'bian'gu'you'shi'chun'gui'meng'li'ren
柳色,liu'se
刘子业,liu'zi'ye
墨香,mo'xiang
容止,rong'zhi
弱水三千是只取一瓢饮,ruo'shui'san'qian'shi'zhi'qu'yi'piao'yin
山阴公主,shan'yin'gong'zhu
山有草木兮,shan'you'cao'mu'xi
胜固欣然败也从容,sheng'gu'xin'ran'bai'ye'cong'rong
谁家年少足风流,shui'jia'nian'shao'zu'feng'liu
天阔云闲向歌声,tian'kuo'yun'xian'xiang'ge'sheng
天如镜,tian'ru'jing
天如月,tian'ru'yue
王意之,wang'yi'zhi
萧别,xiao'bie
一见容止误终身,yi'jian'rong'zhi'wu'zhong'shen
幼蓝,you'lan
越捷飞,yue'jie'fei
钟年年,zhong'nian'nian
朱颜辞镜花辞树,zhu'yan'ci'jing'hua'ci'shu
