啊啊哒哒,a'a'da'da
艾唔晓,ai'wu'xiao
粑粑伊,ba'ba'yi
八角井,ba'jiao'jing
八境公园,ba'jing'gong'yuan
八境路,ba'jing'lu
八一四大道,ba'yi'si'da'dao
白马庙,bai'ma'miao
摆哇,bai'wa
板板硬,ban'ban'ying
版台版凳,ban'tai'ban'deng
宝葫芦,bao'hu'lu
鼻鼻,bi'bi
鼻鼻腩,bi'bi'nan
鼻鼻谁谁,bi'bi'shui'shui
鼻屎巴,bi'shi'ba
扁担巷,bian'dan'xiang
表的,biao'de
表子婆,biao'zi'po
表子仔,biao'zi'zi
滨江大道,bin'jiang'da'dao
不做兴,bu'zuo'xing
草百卵,cao'bai'luan
草蚂,cao'ma
柴巷,chai'xiang
潮潮气气,chao'chao'qi'qi
潮婆,chao'po
潮头,chao'tou
吃蔸的,chi'dou'de
出箕子,chu'ji'zi
慈姑岭,ci'gu'ling
打靶鬼,da'ba'gui
大大,da'da
嗒嗒印,da'da'yin
哒哒粘,da'da'zhan
大公路,da'gong'lu
打卦,da'gua
大花萼巷,da'hua'e'xiang
大华兴街,da'hua'xing'jie
打赖死,da'lai'si
打锣的,da'luo'de
大坛前,da'tan'qian
噔噔哒哒,deng'deng'da'da
掂尿,dian'niao
钓拐,diao'guai
吊眼子,diao'yan'zi
跌罗,die'luo
东河大桥,dong'he'da'qiao
东郊路,dong'jiao'lu
东门井,dong'men'jing
东桥路,dong'qiao'lu
东胜山路,dong'sheng'shan'lu
东阳山路,dong'yang'shan'lu
渡口路,du'kou'lu
对眼子,dui'yan'zi
咄咄跌,duo'duo'die
屙粑,e'ba
鹅卵股子,e'luan'gu'zi
屙尿,e'niao
二马头,er'ma'tou
蕃薯婆,fan'shu'po
粉皮菜,fen'pi'cai
凤凰台,feng'huang'tai
府皇庙背,fu'huang'miao'bei
妇人子,fu'ren'zi
嘎嘎无,ga'ga'wu
盖掉老,gai'diao'lao
赣江路,gan'jiang'lu
赣南纸厂,gan'nan'zhi'chang
赣州大桥,gan'zhou'da'qiao
赣州市章贡区,gan'zhou'shi'zhang'gong'qu
告发子,gao'fa'zi
宫保府,gong'bao'fu
狗婆蛇,gou'po'she
箍子,gu'zi
刮白佬,gua'bai'lao
拐脚子,guai'jiao'zi
关刀坪路,guan'dao'ping'lu
官园里路,guan'yuan'li'lu
鬼仔子,gui'zi'zi
海会路,hai'hui'lu
含线,han'xian
好一贴,hao'yi'tie
好展哇,hao'zhan'wa
荷包塘,he'bao'tang
贺兰山,he'lan'shan
和平路,he'ping'lu
横街上,heng'jie'shang
洪城巷,hong'cheng'xiang
红环路,hong'huan'lu
红旗大道,hong'qi'da'dao
厚德路,hou'de'lu
环城路,huan'cheng'lu
黄攃,huang'ca
黄金广场,huang'jin'guang'chang
黄金开发区,huang'jin'kai'fa'qu
黄屋坪路,huang'wu'ping'lu
济济晒,ji'ji'shai
汲汲温,ji'ji'wen
鸡乱子,ji'luan'zi
鸡坨括脓,ji'tuo'kuo'nong
家的百,jia'de'bai
家的婆婆,jia'de'po'po
家妈的头,jia'ma'de'tou
加十力,jia'shi'li
建国路,jian'guo'lu
健康路,jian'kang'lu
尖你脚,jian'ni'jiao
尖你脚尖死你去,jian'ni'jiao'jian'si'ni'qu
将子,jiang'zi
脚皮早,jiao'pi'zao
脚早淫子,jiao'zao'yin'zi
解放路,jie'fang'lu
金金虫,jin'jin'chong
景风山,jing'feng'shan
九曲巷,jiu'qu'xiang
开水泡泡溅,kai'shui'pao'pao'jian
扛肩缩板,kang'jian'suo'ban
克可以,ke'ke'yi
可杀,ke'sha
克是,ke'shi
口水咄咄跌,kou'shui'duo'duo'die
揆脚,kui'jiao
拉塞膏,la'sai'gao
拉乌拉塞,la'wu'la'sai
老俵,lao'biao
老俵嫂,lao'biao'sao
老卵,lao'luan
老鼠耙,lao'shu'ba
劳丝,lao'si
老头拐,lao'tou'guai
廉溪路,lian'xi'lu
流鼻鼻,liu'bi'bi
龙船庙,long'chuan'miao
龙都商城,long'du'shang'cheng
六合铺,lu'he'pu
卵弹子,luan'dan'zi
罗家巷,luo'jia'xiang
马拉个巴子,ma'la'ge'ba'zi
麻螂,ma'lang
蚂密子,ma'mi'zi
马婆岭,ma'po'ling
马扎巷,ma'zha'xiang
卖板的,mai'ban'de
毛次,mao'ci
毛次板,mao'ci'ban
贸易广场,mao'yi'guang'chang
美稳来,mei'wen'lai
闷肝,men'gan
门各背,men'ge'bei
闷心,men'xin
懵的,meng'de
懵懵懂懂,meng'meng'dong'dong
喵公,miao'gong
喵乌子,miao'wu'zi
灭灭乌,mie'mie'wu
谬解,miu'jie
姆姆,mu'mu
哪开子,na'kai'zi
奶狗子,nai'gou'zi
南河大桥,nan'he'da'qiao
南河路,nan'he'lu
南门口,nan'men'kou
南市街,nan'shi'jie
尿布子,niao'bu'zi
牛肉耙,niu'rou'ba
女娃子,nv'wa'zi
攀高铺,pan'gao'pu
螵水子,piao'shui'zi
平平动,ping'ping'dong
七姑庙,qi'gu'miao
恰拉,qia'la
撬头,qiao'tou
青年路,qing'nian'lu
全球通大桥,quan'qiu'tong'da'qiao
缺牙爬,que'ya'pa
人民巷,ren'min'xiang
三潮井,san'chao'jing
三康庙,san'kang'miao
上毛次,shang'mao'ci
尚书街,shang'shu'jie
神头,shen'tou
生佛坛前,sheng'fo'tan'qian
生你巴掌生死你去,sheng'ni'ba'zhang'sheng'si'ni'qu
石城坊,shi'cheng'fang
嗜达百,shi'da'bai
寿量寺,shou'liang'si
手皮早,shou'pi'zao
熟粉,shu'fen
水东,shui'dong
水南,shui'nan
水西,shui'xi
死潮婆,si'chao'po
死潮头,si'chao'tou
四姑岭,si'gu'ling
唆螺子,suo'luo'zi
塔塔溜,ta'ta'liu
潭儿上,tan'er'shang
坛子巷,tan'zi'xiang
田螺岭,tian'luo'ling
天王寺,tian'wang'si
通天岩,tong'tian'yan
瓦角丁,wa'jiao'ding
玩不暂,wan'bu'zan
玩脑浆,wan'nao'jiang
文明大道,wen'ming'da'dao
文清路,wen'qing'lu
瓮菜,weng'cai
瓮菜潭,weng'cai'tan
窝窝那那,wo'wo'na'na
五道庙,wu'dao'miao
兀垛子,wu'duo'zi
五尖头,wu'jian'tou
五里亭,wu'li'ting
舞你巴掌,wu'ni'ba'zhang
舞死你去,wu'si'ni'qu
武学巷,wu'xue'xiang
西河大桥,xi'he'da'qiao
西河人行桥,xi'he'ren'xing'qiao
西郊路,xi'jiao'lu
西津路,xi'jin'lu
洗马池,xi'ma'chi
西桥路,xi'qiao'lu
吓麻拐子,xia'ma'guai'zi
吓麻连子,xia'ma'lian'zi
闲事落壳,xian'shi'luo'ke
晓得苦,xiao'de'ku
晓得苦老哇,xiao'de'ku'lao'wa
小花萼巷,xiao'hua'e'xiang
小华兴街,xiao'hua'xing'jie
小较场,xiao'jiao'chang
小南门,xiao'nan'men
小坛前,xiao'tan'qian
歇告,xie'gao
新赣南路,xin'gan'nan'lu
新开马路,xin'kai'ma'lu
休十了,xiu'shi'le
丫伊子,ya'yi'zi
盐官巷,yan'guan'xiang
眼屎吧喳,yan'shi'ba'zha
阎王的告示,yan'wang'de'gao'shi
杨公路,yang'gong'lu
阳光瑞香新城,yang'guang'rui'xiang'xin'cheng
杨梅渡大桥,yang'mei'du'da'qiao
阳明路,yang'ming'lu
羊婆巷,yang'po'xiang
姚府里,yao'fu'li
姚衙前,yao'ya'qian
夜光山,ye'guang'shan
营角上路,ying'jiao'shang'lu
郁孤台,yu'gu'tai
竽火,yu'huo
芋头圆,yu'tou'yuan
灶几子,zao'ji'zi
灶前,zao'qian
贼拐,zei'guai
贼贼动,zei'zei'dong
怎么子三,zen'me'zi'san
章贡路,zhang'gong'lu
章贡区,zhang'gong'qu
张家围,zhang'jia'wei
章江北大道,zhang'jiang'bei'da'dao
章江南大道,zhang'jiang'nan'da'dao
张你脚,zhang'ni'jiao
赵公衙背,zhao'gong'ya'bei
至圣路,zhi'sheng'lu
纸巷,zhi'xiang
忠节营,zhong'jie'ying
中山路,zhong'shan'lu
做兴,zuo'xing
