暗褐色,an'he'se
暗黄的脸,an'huang'de'lian
白白净净,bai'bai'jing'jing
白净,bai'jing
白净柔嫩,bai'jing'rou'nen
白蜡,bai'la
白里透红,bai'li'tou'hong
白脸,bai'lian
白嫩,bai'nen
白皙,bai'xi
白玉,bai'yu
苞米脸,bao'mi'lian
扁脸,bian'lian
扁平脸,bian'ping'lian
病黄,bing'huang
病容,bing'rong
菜色,cai'se
惨白,can'bai
苍白,cang'bai
苍白的脸,cang'bai'de'lian
长方脸,chang'fang'lian
长相,chang'xiang
潮红,chao'hong
赤黑,chi'hei
赤红,chi'hong
愁眉苦脸,chou'mei'ku'lian
愁云满面,chou'yun'man'mian
大花脸,da'hua'lian
鹅蛋脸,e'dan'lian
方脸,fang'lian
方面大耳,fang'mian'da'er
飞红,fei'hong
绯红,fei'hong
妃色,fei'se
粉白,fen'bai
粉不叽叽,fen'bu'ji'ji
粉丹丹,fen'dan'dan
粉嘟嘟,fen'du'du
粉红,fen'hong
粉红脸,fen'hong'lian
粉乎乎,fen'hu'hu
粉脸,fen'lian
粉脸含春,fen'lian'han'chun
粉面桃腮,fen'mian'tao'sai
粉扑扑,fen'pu'pu
粉润润,fen'run'run
粉团团,fen'tuan'tuan
粉盈盈,fen'ying'ying
浮肿的脸,fu'zhong'de'lian
古铜色,gu'tong'se
瓜子脸,gua'zi'lian
怪脸,guai'lian
国字脸,guo'zi'lian
褐色,he'se
和颜悦色,he'yan'yue'se
黑不溜秋,hei'bu'liu'qiu
黑红,hei'hong
黑乎乎,hei'hu'hu
黑黄色,hei'huang'se
黑里透红,hei'li'tou'hong
黑色,hei'se
红白相间,hong'bai'xiang'jian
红嘟嘟,hong'du'du
红光满面,hong'guang'man'mian
红栗色,hong'li'se
红脸,hong'lian
红脸蛋,hong'lian'dan
红喷喷,hong'pen'pen
红扑扑,hong'pu'pu
红润,hong'run
红润润,hong'run'run
红堂堂,hong'tang'tang
红腾腾,hong'teng'teng
红铜色,hong'tong'se
红彤彤,hong'tong'tong
红晕,hong'yun
红晕消失,hong'yun'xiao'shi
红中透黑,hong'zhong'tou'hei
红中透紫,hong'zhong'tou'zi
猴子脸,hou'zi'lian
虎头虎脑,hu'tou'hu'nao
花红,hua'hong
黄褐色,huang'he'se
黄里透青,huang'li'tou'qing
黄脸,huang'lian
黄瘦,huang'shou
灰白,hui'bai
灰黄,hui'huang
饥色,ji'se
尖脸,jian'lian
尖下巴,jian'xia'ba
酱紫色,jiang'zi'se
焦黄,jiao'huang
窘红,jiong'hong
酒红,jiu'hong
酒窝,jiu'wo
酒靥,jiu'ye
口红,kou'hong
愧色,kui'se
蜡黄,la'huang
蜡黄的脸,la'huang'de'lian
冷峻,leng'jun
黎黑,li'hei
黧黑,li'hei
脸蛋,lian'dan
脸蛋儿,lian'dan'er
脸蛋子,lian'dan'zi
脸儿浑圆,lian'er'hun'yuan
脸儿晕红,lian'er'yun'hong
脸红,lian'hong
脸颊,lian'jia
脸面,lian'mian
脸盘儿,lian'pan'er
脸庞,lian'pang
脸庞儿,lian'pang'er
脸庞描写词,lian'pang'miao'xie'ci
脸庞清秀,lian'pang'qing'xiu
脸如玫瑰,lian'ru'mei'gui
脸色,lian'se
脸色惨白,lian'se'can'bai
脸色苍白,lian'se'cang'bai
脸色干黄,lian'se'gan'huang
脸色红润,lian'se'hong'run
脸色灰黄,lian'se'hui'huang
脸色蜡黄,lian'se'la'huang
脸色如蜡,lian'se'ru'la
脸色煞白,lian'se'sha'bai
脸色铁青,lian'se'tie'qing
脸色黝黑,lian'se'you'hei
脸膛,lian'tang
脸膛赤黑,lian'tang'chi'hei
脸膛儿,lian'tang'er
脸膛棕红,lian'tang'zong'hong
两颊,liang'jia
两颊绯红,liang'jia'fei'hong
驴面,lv'mian
马脸,ma'lian
麻脸,ma'lian
马面,ma'mian
满脸横肉,man'lian'heng'rou
满脸胡茬,man'lian'hu'cha
满面春风,man'mian'chun'feng
满面红光,man'mian'hong'guang
玫瑰红,mei'gui'hong
眉眼高低,mei'yan'gao'di
面红耳赤,mian'hong'er'chi
面黄肌瘦,mian'huang'ji'shou
面颊,mian'jia
面孔,mian'kong
面阔口方,mian'kuo'kou'fang
面貌,mian'mao
面目,mian'mu
面庞,mian'pang
面庞白净,mian'pang'bai'jing
面容,mian'rong
面容憔悴,mian'rong'qiao'cui
面容清癯,mian'rong'qing'qu
面容清瘦,mian'rong'qing'shou
面如菜色,mian'ru'cai'se
面如土色,mian'ru'tu'se
面如重枣,mian'ru'zhong'zao
面若鹅卵,mian'ruo'e'luan
面若傅朱,mian'ruo'fu'zhu
面若敷朱,mian'ruo'fu'zhu
面若银盆,mian'ruo'yin'pen
面色,mian'se
面色灰黄,mian'se'hui'huang
