安规,an'gui
按钮,an'niu
板式滤油机,ban'shi'lv'you'ji
抱箍,bao'gu
保护断路器,bao'hu'duan'lu'qi
保护特性,bao'hu'te'xing
避雷器,bi'lei'qi
变比,bian'bi
变电站,bian'dian'zhan
变压器,bian'ya'qi
标准的机组数据显示,biao'zhun'de'ji'zu'shu'ju'xian'shi
并联电容器,bing'lian'dian'rong'qi
并列的,bing'lie'de
波纹板,bo'wen'ban
波形,bo'xing
补偿度,bu'chang'du
不锈钢,bu'xiu'gang
采样频率,cai'yang'pin'lv
采样周期,cai'yang'zhou'qi
参考值,can'kao'zhi
参数值,can'shu'zhi
测量信号,ce'liang'xin'hao
插座,cha'zuo
厂级实时监控系统,chang'ji'shi'shi'jian'kong'xi'tong
厂沙线,chang'sha'xian
超高压输电线,chao'gao'ya'shu'dian'xian
超速故障停机,chao'su'gu'zhang'ting'ji
沉降,chen'jiang
成勘院,cheng'kan'yuan
冲沙孔,chong'sha'kong
冲沙闸,chong'sha'zha
初探,chu'tan
传递函数,chuan'di'han'shu
垂直距离,chui'zhi'ju'li
大容量发电机组,da'rong'liang'fa'dian'ji'zu
单机无穷大系统,dan'ji'wu'qiong'da'xi'tong
单相电度表,dan'xiang'dian'du'biao
单相电压,dan'xiang'dian'ya
档位,dang'wei
刀开关,dao'kai'guan
导纳,dao'na
刀闸隔离开关,dao'zha'ge'li'kai'guan
等效于,deng'xiao'yu
等值波阻抗,deng'zhi'bo'zu'kang
低压,di'ya
低压器系统,di'ya'qi'xi'tong
低油压故障停机,di'you'ya'gu'zhang'ting'ji
电厂,dian'chang
电导,dian'dao
电动机,dian'dong'ji
电动机保护器,dian'dong'ji'bao'hu'qi
电度表,dian'du'biao
电感,dian'gan
电杆,dian'gan
电抗,dian'kang
电抗器,dian'kang'qi
电老虎,dian'lao'hu
电力安全规程,dian'li'an'quan'gui'cheng
电力系统,dian'li'xi'tong
电力系统自动化,dian'li'xi'tong'zi'dong'hua
电量报送,dian'liang'bao'song
电铃,dian'ling
电流,dian'liu
电流表,dian'liu'biao
电纳,dian'na
电能量,dian'neng'liang
电能质量,dian'neng'zhi'liang
电瓶电压表,dian'ping'dian'ya'biao
电容,dian'rong
电容器,dian'rong'qi
电刷,dian'shua
电网,dian'wang
电位,dian'wei
电压,dian'ya
电压表,dian'ya'biao
电压等级,dian'ya'deng'ji
电压互感器,dian'ya'hu'gan'qi
电压稳定,dian'ya'wen'ding
电压源,dian'ya'yuan
电阻,dian'zu
电阻器,dian'zu'qi
蝶阀液压站,die'fa'ye'ya'zhan
跌落式熔断器,die'luo'shi'rong'duan'qi
定子,ding'zi
东北电力设计院,dong'bei'dian'li'she'ji'yuan
动力工程系,dong'li'gong'cheng'xi
动态,dong'tai
动作速度,dong'zuo'su'du
端盖,duan'gai
端盖式轴承,duan'gai'shi'zhou'cheng
短路故障,duan'lu'gu'zhang
断路器,duan'lu'qi
对讲机,dui'jiang'ji
对讲门铃,dui'jiang'men'ling
额定,e'ding
发电厂,fa'dian'chang
发电机,fa'dian'ji
发电机端,fa'dian'ji'duan
反传算法,fan'chuan'suan'fa
仿真,fang'zhen
仿真分析,fang'zhen'fen'xi
仿真数据,fang'zhen'shu'ju
非线性系统,fei'xian'xing'xi'tong
分接头,fen'jie'tou
分相操作箱,fen'xiang'cao'zuo'xiang
负荷状态,fu'he'zhuang'tai
附加网络,fu'jia'wang'luo
附加系统,fu'jia'xi'tong
副教授,fu'jiao'shou
负序阻抗,fu'xu'zu'kang
负载电流百分比显示,fu'zai'dian'liu'bai'fen'bi'xian'shi
辅助触点,fu'zhu'chu'dian
高顶值,gao'ding'zhi
高精度,gao'jing'du
高抗,gao'kang
高水温故障停机,gao'shui'wen'gu'zhang'ting'ji
高压,gao'ya
高压侧,gao'ya'ce
隔离开关,ge'li'kai'guan
隔离器,ge'li'qi
给定的,gei'ding'de
功角,gong'jiao
功角稳定,gong'jiao'wen'ding
功率,gong'lv
功率因数,gong'lv'yin'shu
工频,gong'pin
工作门,gong'zuo'men
固定串联电容补偿,gu'ding'chuan'lian'dian'rong'bu'chang
故障,gu'zhang
故障点,gu'zhang'dian
故障切除时间,gu'zhang'qie'chu'shi'jian
光端机,guang'duan'ji
光纤差动保护,guang'xian'cha'dong'bao'hu
过渡夹,guo'du'jia
国家电网公司,guo'jia'dian'wang'gong'si
哈夫抱箍,ha'fu'bao'gu
行波,hang'bo
行波保护,hang'bo'bao'hu
行波继电器,hang'bo'ji'dian'qi
行波信号,hang'bo'xin'hao
互感器,hu'gan'qi
弧焊机,hu'han'ji
护环,hu'huan
弧门,hu'men
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
机端,ji'duan
机端电压控制,ji'duan'dian'ya'kong'zhi
计算机管理信息系统,ji'suan'ji'guan'li'xin'xi'xi'tong
极限切除时间,ji'xian'qie'chu'shi'jian
机械过速,ji'xie'guo'su
机油油压表,ji'you'you'ya'biao
机组,ji'zu
机组运行小时表,ji'zu'yun'xing'xiao'shi'biao
机组运行正常,ji'zu'yun'xing'zheng'chang
减法运算,jian'fa'yun'suan
监控系统,jian'kong'xi'tong
检修,jian'xiu
交换机,jiao'huan'ji
交流,jiao'liu
交流励磁机,jiao'liu'li'ci'ji
接触器,jie'chu'qi
接地刀闸,jie'di'dao'zha
接力器,jie'li'qi
截砂槽,jie'sha'cao
接线端子,jie'xian'duan'zi
接线端子板,jie'xian'duan'zi'ban
紧急事故停机,jin'ji'shi'gu'ting'ji
进水口蝶阀,jin'shui'kou'die'fa
进水口球阀,jin'shui'kou'qiu'fa
静态,jing'tai
九龙地方电网,jiu'long'di'fang'dian'wang
久隆水电开发有限公司,jiu'long'shui'dian'kai'fa'you'xian'gong'si
距离保护,ju'li'bao'hu
绝缘油,jue'yuan'you
开关站,kai'guan'zhan
坎渠铁支线,kan'qu'tie'zhi'xian
抗干扰能力,kang'gan'rao'neng'li
可靠动作,ke'kao'dong'zuo
可倾瓦,ke'qing'wa
空侧,kong'ce
空导,kong'dao
空冷,kong'leng
空心导线,kong'xin'dao'xian
空压机,kong'ya'ji
空载电流,kong'zai'dian'liu
空载损耗,kong'zai'sun'hao
控制按钮,kong'zhi'an'niu
库容量,ku'rong'liang
快速地刀,kuai'su'de'dao
快速闸门,kuai'su'zha'men
框图,kuang'tu
拉线,la'xian
拦污栅,lan'wu'shan
浪涌保护器,lang'yong'bao'hu'qi
捞渣机,lao'zha'ji
冷备用,leng'bei'yong
冷却水温度表,leng'que'shui'wen'du'biao
冷却水中断,leng'que'shui'zhong'duan
励磁,li'ci
励磁电流转子电流,li'ci'dian'liu'zhuan'zi'dian'liu
励磁机,li'ci'ji
励磁机端,li'ci'ji'duan
励磁器,li'ci'qi
励端,li'duan
隶属函数,li'shu'han'shu
灵敏性,ling'min'xing
零序保护,ling'xu'bao'hu
零序电流保护,ling'xu'dian'liu'bao'hu
零序阻抗,ling'xu'zu'kang
漏电断路器,lou'dian'duan'lu'qi
落点,luo'dian
铝排,lv'pai
滤油机,lv'you'ji
每相电流,mei'xiang'dian'liu
门槛值,men'kan'zhi
模糊规则,mo'hu'gui'ze
模糊控制,mo'hu'kong'zhi
模糊神经网络,mo'hu'shen'jing'wang'luo
模糊推理,mo'hu'tui'li
