阿卜杜,a'bo'du
阿初,a'chu
阿当,a'dang
阿方,a'fang
阿格登巴,a'ge'deng'ba
阿古顿巴,a'gu'dun'ba
阿三,a'san
阿诗玛,a'shi'ma
阿细,a'xi
阿一旦,a'yi'dan
阿扎,a'zha
艾甫其里木,ai'fu'qi'li'mu
艾里库尔班,ai'li'ku'er'ban
安王,an'wang
奥桃堆,ao'tao'dui
巴拉根仓,ba'la'gen'cang
白圭,bai'gui
白姐,bai'jie
柏洁夫人,bai'jie'fu'ren
白妹,bai'mei
白云和尚,bai'yun'he'shang
卞亚干塔,bian'ya'gan'ta
波洪沙,bo'hong'sha
卜宽,bo'kuan
布伯,bu'bo
布洛陀,bu'luo'tuo
岑逊,cen'xun
成广,cheng'guang
春儿,chun'er
达备,da'bei
达丽公主,da'li'gong'zhu
达太,da'tai
迪万,di'wan
杜光辉,du'guang'hui
段赤诚,duan'chi'cheng
朵菲,duo'fei
尔江,er'jiang
尔蔚,er'wei
嘎达梅林,ga'da'mei'lin
岗松顿旦,gang'song'dun'dan
岗扎列占王,gang'zha'lie'zhan'wang
格萨尔,ge'sa'er
恒乍绷,heng'zha'beng
洪古尔,hong'gu'er
华佗,hua'tuo
计叔,ji'shu
江格尔,jiang'ge'er
金城公主,jin'cheng'gong'zhu
金善达,jin'shan'da
九隆王,jiu'long'wang
九兄弟,jiu'xiong'di
勒耶,le'ye
雷公,lei'gong
李海进,li'hai'jin
猎人,lie'ren
灵芝,ling'zhi
刘兰芝,liu'lan'zhi
刘梅,liu'mei
刘三姐,liu'san'jie
陆本松,lu'ben'song
卢梅碑,lu'mei'bei
玛麦,ma'mai
曼生,man'sheng
毛娃,mao'wa
美梅错,mei'mei'cuo
莫一,mo'yi
木必,mu'bi
木呷,mu'ga
木兰,mu'lan
南罕亮,nan'han'liang
南伦,nan'lun
南诏公主,nan'zhao'gong'zhu
尼玛,ni'ma
娘阿莎,niang'a'sha
娘花,niang'hua
娘梅,niang'mei
侬姣,nong'jiao
侬秀,nong'xiu
菩圣,pu'sheng
七花,qi'hua
七仙女,qi'xian'nv
羌退必波,qiang'tui'bi'bo
庆谷,qing'gu
惹地所夫,re'di'suo'fu
山鹰姑娘,shan'ying'gu'niang
述梅,shu'mei
水哥,shui'ge
司郎拉呷,si'lang'la'ga
王仙姑,wang'xian'gu
文成公主,wen'cheng'gong'zhu
乌恩,wu'en
乌兰巴托尔,wu'lan'ba'tuo'er
吴勉,wu'mian
西里嘎,xi'li'ga
肖尼,xiao'ni
友蓉,you'rong
禹王,yu'wang
扎努扎别,zha'nu'zha'bie
召腊玛,zhao'la'ma
赵如龙,zhao'ru'long
召树屯,zhao'shu'tun
支格阿龙,zhi'ge'a'long
珠杜,zhu'du
朱腊波提,zhu'la'bo'ti
