阿斗,a'dou
阿江,a'jiang
暗箭,an'jian
安娴,an'xian
安恤,an'xu
暗置,an'zhi
昂翼天使,ang'yi'tian'shi
傲才,ao'cai
八斗之才,ba'dou'zhi'cai
八废,ba'fei
八卦,ba'gua
八卦阵,ba'gua'zhen
八血,ba'xue
八血董卓,ba'xue'dong'zhuo
霸业的继承者,ba'ye'de'ji'cheng'zhe
八阵,ba'zhen
白板,bai'ban
白马将军,bai'ma'jiang'jun
白衣渡江,bai'yi'du'jiang
拜印,bai'yin
白银狮子,bai'yin'shi'zi
豹变,bao'bian
爆菊,bao'ju
暴怒的战神,bao'nu'de'zhan'shen
暴虐,bao'nue
悲歌,bei'ge
崩坏,beng'huai
笔伐,bi'fa
闭月,bi'yue
边锋,bian'feng
标准包,biao'zhun'bao
濒死,bin'si
濒死状态,bin'si'zhuang'tai
兵粮,bing'liang
兵粮寸断,bing'liang'cun'duan
薄幸的女人,bo'xing'de'nv'ren
不动之督,bu'dong'zhi'du
步练师,bu'lian'shi
不屈,bu'qu
补益,bu'yi
补至,bu'zhi
彩三,cai'san
蔡文姬,cai'wen'ji
参军,can'jun
藏机,cang'ji
藏匿,cang'ni
曹操,cao'cao
曹冲,cao'chong
曹洪,cao'hong
曹丕,cao'pi
曹仁,cao'ren
曹魏的谋主,cao'wei'de'mou'zhu
曹彰,cao'zhang
曹植,cao'zhi
插入结算原则,cha'ru'jie'suan'yuan'ze
场上,chang'shang
超世之英杰,chao'shi'zhi'ying'jie
陈宫,chen'gong
陈琳,chen'lin
沉毅的国丈,chen'yi'de'guo'zhang
程普,cheng'pu
称象,cheng'xiang
赤壁的火神,chi'bi'de'huo'shen
赤壁的妖术师,chi'bi'de'yao'shu'shi
吃菜,chi'cai
驰骋西陲,chi'cheng'xi'chui
迟暮的丞相,chi'mu'de'cheng'xiang
赤兔,chi'tu
持重,chi'zhong
重生,chong'sheng
冲阵,chong'zhen
重置,chong'zhi
重铸,chong'zhu
处理区,chu'li'qu
出牌阶段,chu'pai'jie'duan
出牌阶段开始时,chu'pai'jie'duan'kai'shi'shi
垂问秦雍,chui'wen'qin'yong
春哥,chun'ge
春华,chun'hua
醇醪,chun'lao
雌雄,ci'xiong
雌雄双股剑,ci'xiong'shuang'gu'jian
萃毒,cui'du
打出,da'chu
大都督,da'du'du
大喝,da'he
大将军,da'jiang'jun
大佬荣,da'lao'rong
大乔,da'qiao
大乔小乔,da'qiao'xiao'qiao
大师,da'shi
大宛,da'wan
大雾,da'wu
大姨妈,da'yi'ma
代替,dai'ti
单角色结算原则,dan'jue'se'jie'suan'yuan'ze
啖酪,dan'lao
单骑,dan'qi
胆守,dan'shou
单挑,dan'tiao
当前的体力值,dang'qian'de'ti'li'zhi
当先,dang'xian
邓艾,deng'ai
邓红桃,deng'hong'tao
的卢,di'lu
缔盟,di'meng
抵消,di'xiao
地狱许,di'yu'xu
点点,dian'dian
点数,dian'shu
典韦,dian'wei
貂蝉,diao'chan
叠置,die'zhi
丁奉,ding'feng
董卓,dong'zhuo
毒菜,du'cai
独断的外交家,du'duan'de'wai'jiao'jia
笃烈之士,du'lie'zhi'shi
度势,du'shi
黩武,du'wu
独眼的罗刹,du'yan'de'luo'cha
毒医,du'yi
短兵,duan'bing
断肠,duan'chang
断粮,duan'liang
断肢,duan'zhi
夺刀,duo'dao
多角色结算原则,duo'jue'se'jie'suan'yuan'ze
夺势,duo'shi
恩怨,en'yuan
二刀,er'dao
二将成名,er'jiang'cheng'ming
二乔,er'qiao
二张,er'zhang
法正,fa'zheng
反间,fan'jian
反馈,fan'kui
翻面,fan'mian
防具,fang'ju
方块,fang'kuai
方片周,fang'pian'zhou
放权,fang'quan
方天,fang'tian
方天画戟,fang'tian'hua'ji
防御马,fang'yu'ma
放逐,fang'zhu
非延时类锦囊牌,fei'yan'shi'lei'jin'nang'pai
飞扬跋扈,fei'yang'ba'hu
飞影,fei'ying
焚城,fen'cheng
奋强突固,fen'qiang'tu'gu
焚天,fen'tian
焚心,fen'xin
奋迅,fen'xun
愤勇,fen'yong
风包,feng'bao
凤雏,feng'chu
疯狗,feng'gou
奉印,feng'yin
伏后,fu'hou
伏皇后,fu'huang'hou
父魂,fu'hun
复活,fu'huo
福将,fu'jiang
伏枥,fu'li
扶乱,fu'luan
伏完,fu'wan
甘夫人,gan'fu'ren
甘露,gan'lu
甘宁,gan'ning
刚烈,gang'lie
刚直壮烈,gang'zhi'zhuang'lie
高达,gao'da
高达一号,gao'da'yi'hao
高富帅,gao'fu'shuai
高顺,gao'shun
攻击范围,gong'ji'fan'wei
弓骑,gong'qi
公孙瓒,gong'sun'zan
攻无不克,gong'wu'bu'ke
攻心,gong'xin
弓腰姬,gong'yao'ji
狗货,gou'huo
苟或,gou'huo
狗友,gou'you
古锭,gu'ding
古锭刀,gu'ding'dao
蛊惑,gu'huo
蛊惑连营,gu'huo'lian'ying
蛊连,gu'lian
固政,gu'zheng
古之恶来,gu'zhi'e'lai
孤注一掷,gu'zhu'yi'zhi
关东煮,guan'dong'zhu
关凤,guan'feng
观看,guan'kan
关平,guan'ping
贯石,guan'shi
贯石斧,guan'shi'fu
关兴,guan'xing
观星,guan'xing
关兴张苞,guan'xing'zhang'bao
关银屏,guan'yin'ping
关羽,guan'yu
管乐,guan'yue
关张,guan'zhang
鬼才,gui'cai
鬼道,gui'dao
