鞍山新村,an'shan'xin'cun
安亭,an'ting
白银路,bai'yin'lu
宝安公路,bao'an'gong'lu
宝山路,bao'shan'lu
宝杨路,bao'yang'lu
北桥,bei'qiao
北新泾,bei'xin'jing
北洋泾路,bei'yang'jing'lu
博兴路,bo'xing'lu
漕宝路,cao'bao'lu
漕河泾开发区,cao'he'jing'kai'fa'qu
漕溪路,cao'xi'lu
曹杨路,cao'yang'lu
昌吉东路,chang'ji'dong'lu
长江南路,chang'jiang'nan'lu
昌平路,chang'ping'lu
长清路,chang'qing'lu
长寿路,chang'shou'lu
常熟路,chang'shu'lu
场中路,chang'zhong'lu
成山路,cheng'shan'lu
赤峰路,chi'feng'lu
船厂路,chuan'chang'lu
川沙,chuan'sha
创新中路,chuang'xin'zhong'lu
春申路,chun'shen'lu
大柏树,da'bai'shu
大场镇,da'chang'zhen
大华三路,da'hua'san'lu
大连路,da'lian'lu
大木桥路,da'mu'qiao'lu
打浦桥,da'pu'qiao
大世界,da'shi'jie
德平路,de'ping'lu
东安路,dong'an'lu
东宝兴路,dong'bao'xing'lu
东昌路,dong'chang'lu
东川路,dong'chuan'lu
东方体育中心,dong'fang'ti'yu'zhong'xin
洞泾,dong'jing
东靖路,dong'jing'lu
东明路,dong'ming'lu
芳华路,fang'hua'lu
枫桥路,feng'qiao'lu
丰庄,feng'zhuang
富锦路,fu'jin'lu
港城路,gang'cheng'lu
高科西路,gao'ke'xi'lu
高青路,gao'qing'lu
共富新村,gong'fu'xin'cun
共康路,gong'kang'lu
顾村公园,gu'cun'gong'yuan
广兰路,guang'lan'lu
桂林路,gui'lin'lu
国权路,guo'quan'lu
海伦路,hai'lun'lu
海天三路,hai'tian'san'lu
汉中路,han'zhong'lu
航津路,hang'jin'lu
航天博物馆,hang'tian'bo'wu'guan
航中路,hang'zhong'lu
号航站楼,hao'hang'zhan'lou
合川路,he'chuan'lu
衡山路,heng'shan'lu
虹口足球场,hong'kou'zu'qiu'chang
虹桥,hong'qiao
虹桥火车站,hong'qiao'huo'che'zhan
虹桥路,hong'qiao'lu
后滩,hou'tan
呼兰路,hu'lan'lu
花木路,hua'mu'lu
华宁路,hua'ning'lu
华夏东路,hua'xia'dong'lu
华夏西路,hua'xia'xi'lu
黄陂南路,huang'pi'nan'lu
黄兴公园,huang'xing'gong'yuan
黄兴路,huang'xing'lu
嘉定北,jia'ding'bei
嘉定西,jia'ding'xi
嘉定新城,jia'ding'xin'cheng
嘉善路,jia'shan'lu
剑川路,jian'chuan'lu
江浦路,jiang'pu'lu
江苏路,jiang'su'lu
江湾体育场,jiang'wan'ti'yu'chang
江湾镇,jiang'wan'zhen
江杨北路,jiang'yang'bei'lu
江月路,jiang'yue'lu
交通大学,jiao'tong'da'xue
锦江乐园,jin'jiang'le'yuan
金科路,jin'ke'lu
金平路,jin'ping'lu
金桥路,jin'qiao'lu
金沙江路,jin'sha'jiang'lu
金沙江西路,jin'sha'jiang'xi'lu
锦绣路,jin'xiu'lu
金运路,jin'yun'lu
静安寺,jing'an'si
九亭,jiu'ting
巨峰路,ju'feng'lu
蓝村路,lan'cun'lu
岚皋路,lan'gao'lu
老西门,lao'xi'men
李子园,li'zi'yuan
联航路,lian'hang'lu
莲花路,lian'hua'lu
临平路,lin'ping'lu
临沂新村,lin'yi'xin'cun
凌空路,ling'kong'lu
灵岩南路,ling'yan'nan'lu
凌兆新村,ling'zhao'xin'cun
刘行,liu'xing
龙柏新村,long'bai'xin'cun
龙漕路,long'cao'lu
隆德路,long'de'lu
龙溪路,long'xi'lu
龙阳路,long'yang'lu
娄山关路,lou'shan'guan'lu
鲁班路,lu'ban'lu
芦恒路,lu'heng'lu
陆家浜,lu'jia'bang
陆家浜路,lu'jia'bang'lu
陆家嘴,lu'jia'zui
罗南新村,luo'nan'xin'cun
马当路,ma'dang'lu
马陆,ma'lu
美兰湖,mei'lan'hu
闵行开发区,min'hang'kai'fa'qu
民生路,min'sheng'lu
南陈路,nan'chen'lu
南京东路,nan'jing'dong'lu
南京西路,nan'jing'xi'lu
南浦大桥,nan'pu'da'qiao
南翔,nan'xiang
嫩江路,nen'jiang'lu
潘广路,pan'guang'lu
彭浦新村,peng'pu'xin'cun
浦电路,pu'dian'lu
浦东大道,pu'dong'da'dao
