阿会喃,a'hui'nan
俄何焼戈,e'he'shao'ge
鄂焕,e'huan
甘宁,gan'ning
龚都,gong'dou
巩志,gong'zhi
关定,guan'ding
管亥,guan'hai
管辂,guan'lu
关平,guan'ping
关索,guan'suo
关统,guan'tong
关兴,guan'xing
关彝,guan'yi
关羽,guan'yu
郭淮,guo'huai
郭焏,guo'ji
郭嘉,guo'jia
郭石,guo'shi
郭図,guo'tu
郭奕,guo'yi
郭攸之,guo'you'zhi
韩当,han'dang
韩馥,han'fu
韩浩,han'hao
韩嵩,han'song
韩遂,han'sui
韩暹,han'xian
韩玄,han'xuan
韩忠,han'zhong
郝昭,hao'zhao
何进,he'jin
贺齐,he'qi
何太后,he'tai'hou
何晏,he'yan
何仪,he'yi
华核,hua'he
华佗,hua'tuo
华歆,hua'xin
华雄,hua'xiong
桓范,huan'fan
霍峻,huo'jun
霍弋,huo'yi
纪灵,ji'ling
贾充,jia'chong
贾范,jia'fan
贾逵,jia'kui
贾余,jia'yu
简雍,jian'yong
姜维,jiang'wei
金环三结,jin'huan'san'jie
金旋,jin'xuan
阚沢,kan'ze
轲比能,ke'bi'neng
蒯良,kuai'liang
蒯越,kuai'yue
乐进,le'jin
楽林,le'lin
母丘倹,mu'qiu'jian
牛辅,niu'fu
牛金,niu'jin
乔国老,qiao'guo'lao
桥瑁,qiao'mao
丘力居,qiu'li'ju
区星,qu'xing
麹义,qu'yi
王粲,wang'can
王昶,wang'chang
王甫,wang'fu
王浑,wang'hun
王基,wang'ji
王経,wang'jing
王浚,wang'jun
王伉,wang'kang
王匡,wang'kuang
王朗,wang'lang
王累,wang'lei
王平,wang'ping
王戎,wang'rong
王双,wang'shuang
王威,wang'wei
王欣,wang'xin
王修,wang'xiu
王允,wang'yun
王忠,wang'zhong
魏延,wei'yan
魏攸,wei'you
韦昭,wei'zhao
郄正,xi'zheng
戏志才,xi'zhi'cai
夏侯覇,xia'hou'ba
夏侯徳,xia'hou'de
夏侯惇,xia'hou'dun
夏侯恩,xia'hou'en
夏侯和,xia'hou'he
夏侯恵,xia'hou'hui
夏侯楙,xia'hou'mao
夏侯尚,xia'hou'shang
夏侯威,xia'hou'wei
夏侯玄,xia'hou'xuan
夏侯渊,xia'hou'yuan
献帝,xian'di
刑道栄,xing'dao'rong
许贡,xu'gong
许靖,xu'jing
许劭,xu'shao
许仪,xu'yi
许攸,xu'you
许诸,xu'zhu
雅丹,ya'dan
严纲,yan'gang
颜良,yan'liang
阎圃,yan'pu
阎柔,yan'rou
阎象,yan'xiang
严颜,yan'yan
阎宇,yan'yu
严政,yan'zheng
伊籍,yi'ji
异民族,yi'min'zu
尹大目,yin'da'mu
尹黙,yin'mo
尹赏,yin'shang
虞翻,yu'fan
于夫罗,yu'fu'luo
于吉,yu'ji
于禁,yu'jin
于诠,yu'quan
袁尚,yuan'shang
袁绍,yuan'shao
袁术,yuan'shu
袁谭,yuan'tan
袁煕,yuan'xi
袁耀,yuan'yao
袁遗,yuan'yi
袁胤,yuan'yin
越吉,yue'ji
云玲,yun'ling
