爱丽丝,ai'li'si
链取消等级,lian'qu'xiao'deng'ji
连携,lian'xie
连续精防,lian'xu'jing'fang
凉宫春日,liang'gong'chun'ri
凉宫春日的忧郁,liang'gong'chun'ri'de'you'yu
绫濑,ling'lai
绫崎飒,ling'qi'sa
铃仙,ling'xian
铃音,ling'yin
零择,ling'ze
零帧目押,ling'zhen'mu'ya
六割,liu'ge
六条章子,liu'tiao'zhang'zi
流星,liu'xing
流星洛克人,liu'xing'luo'ke'ren
路飞,lu'fei
鲁鲁修,lu'lu'xiu
露娜,lu'na
鹭之宫伊澄,lu'zhi'gong'yi'cheng
罗宾,luo'bin
罗杰,luo'jie
萝莉控,luo'li'kong
裸飘,luo'piao
玛格特洛伊德,ma'ge'te'luo'yi'de
玛丽安奴皇妃,ma'li'an'nu'huang'fei
玛利亚,ma'li'ya
满潮永澄,man'chao'yong'cheng
满帧,man'zhen
冒烟男,mao'yan'nan
美空,mei'kong
萌娘,meng'niang
蒙奇,meng'qi
蜜莉亞,mi'li'ya
秒退,miao'tui
民工连,min'gong'lian
明智健吾,ming'zhi'jian'wu
命中确认,ming'zhong'que'ren
魔法禁书目录,mo'fa'jin'shu'mu'lu
魔物群,mo'wu'qun
木遁,mu'dun
木灵小学,mu'ling'xiao'xue
目押,mu'ya
娜美,na'mei
娜娜,na'na
娜娜莉,na'na'li
奈美,nai'mei
脑残,nao'can
内网,nei'wang
逆向,ni'xiang
尼亚帝国皇帝,ni'ya'di'guo'huang'di
扭蛋,niu'dan
牛岛,niu'dao
牛岛冈太,niu'dao'gang'tai
女仆装,nv'pu'zhuang
派生,pai'sheng
派生技,pai'sheng'ji
判定,pan'ding
喷效,pen'xiao
蓬莱山辉夜,peng'lai'shan'hui'ye
贫乳,pin'ru
平贺才人,ping'he'cai'ren
普防,pu'fang
普通防御,pu'tong'fang'yu
普通技,pu'tong'ji
普通投,pu'tong'tou
七割,qi'ge
起攻,qi'gong
气绝,qi'jue
气绝值,qi'jue'zhi
七濑美雪,qi'lai'mei'xue
起上,qi'shang
起上压制,qi'shang'ya'zhi
起身,qi'shen
起手,qi'shou
前冲取消,qian'chong'qu'xiao
千与千寻,qian'yu'qian'xun
潜在能力,qian'zai'neng'li
牵制型,qian'zhi'xing
强化必杀技,qiang'hua'bi'sha'ji
强化系,qiang'hua'xi
蔷薇水晶,qiang'wei'shui'jing
乔巴,qiao'ba
乔乔,qiao'qiao
切入,qie'ru
芹泽雷拉,qin'ze'lei'la
清浦刹那,qing'pu'cha'na
球球,qiu'qiu
秋叶原,qiu'ye'yuan
屈强,qu'qiang
屈弱,qu'ruo
屈中,qu'zhong
泉此方,quan'ci'fang
全身无敌,quan'shen'wu'di
犬饲真琴,quan'si'zhen'qin
全体动作时间,quan'ti'dong'zuo'shi'jian
犬夜叉,quan'ye'cha
确反,que'fan
人类补完计划,ren'lei'bu'wan'ji'hua
人偶,ren'ou
人设,ren'she
人物设定,ren'wu'she'ding
人形电脑天使心,ren'xing'dian'nao'tian'shi'xin
肉盾,rou'dun
乳旋风,ru'xuan'feng
赛璐璐片,sai'lu'lu'pian
三择,san'ze
色指定,se'zhi'ding
山治,shan'zhi
上白泽慧音,shang'bai'ze'hui'yin
上半身无敌,shang'ban'shen'wu'di
伤害修正比,shang'hai'xiu'zheng'bi
上色,shang'shai
上条当麻,shang'tiao'dang'ma
上下择,shang'xia'ze
上原美里,shang'yuan'mei'li
少女养成,shao'nv'yang'cheng
少女游戏,shao'nv'you'xi
设定资料集,she'ding'zi'liao'ji
神裂火织,shen'lie'huo'zhi
深佑,shen'you
神之手,shen'zhi'shou
升跳,sheng'tiao
声优,sheng'you
始动,shi'dong
十割,shi'ge
尸鬼封尽,shi'gui'feng'jin
十六夜咲夜,shi'liu'ye'xiao'ye
食品调配器,shi'pin'tiao'pei'qi
史提尔马格努斯,shi'ti'er'ma'ge'nu'si
手办,shou'ban
守东春彦,shou'dong'chun'yan
守东桃香,shou'dong'tao'xiang
守东由美子,shou'dong'you'mei'zi
手感流,shou'gan'liu
受身不能,shou'shen'bu'neng
受身不能时间,shou'shen'bu'neng'shi'jian
舒内策耳,shu'nei'ce'er
熟女控,shu'nv'kong
蜀黍,shu'shu
属性附加,shu'xing'fu'jia
双马尾,shuang'ma'wei
水遁,shui'dun
水银灯,shui'yin'deng
寺岛伸夫,si'dao'shen'fu
四割,si'ge
四皇,si'huang
四季映姬,si'ji'ying'ji
斯卡蕾特,si'ka'lei'te
死神,si'shen
索隆,suo'long
塔芭纱,ta'ba'sha
弹墙,tan'qiang
特殊技,te'shu'ji
特殊系,te'shu'xi
藤原妹红,teng'yuan'mei'hong
藤枝直树,teng'zhi'zhi'shu
提裙礼,ti'qun'li
天地,tian'di
天地守,tian'di'shou
天马,tian'ma
天然呆,tian'ran'dai
甜速,tian'su
天天,tian'tian
天照,tian'zhao
跳强,tiao'qiang
跳取消,tiao'qu'xiao
跳弱,tiao'ruo
跳中,tiao'zhong
通常投,tong'chang'tou
同人,tong'ren
同人女,tong'ren'nv
同人志,tong'ren'zhi
投技,tou'ji
吐槽,tu'cao
吐槽王,tu'cao'wang
吐槽员,tu'cao'yuan
土遁,tu'dun
突进技,tu'jin'ji
推倒,tui'dao
外网,wai'wang
伪连,wei'lian
猥琐流,wei'suo'liu
卫星警察,wei'xing'jing'cha
无爱,wu'ai
无敌,wu'di
无敌技,wu'di'ji
无敌时间,wu'di'shi'jian
五割,wu'ge
武海,wu'hai
无料,wu'liao
乌索普,wu'suo'pu
