阿日,a'ri
阿子,a'zi
矮瓜,ai'gua
邦邦,bang'bang
棒头木咳,bang'tou'mu'ke
饱饱,bao'bao
陂筒,bei'tong
屄卑,bi'bei
比比,bi'bi
掤地豆,bing'di'dou
玻璃菜,bo'li'cai
嚓毛,cha'mao
柴扦,chai'qian
长毛贼偷萝卜,chang'mao'zei'tou'luo'bo
车车转,che'che'zhuan
捶交,chui'jiao
大髀,da'bi
搭搭叉卖咸虾,da'da'cha'mai'xian'xia
大哥肚大大,da'ge'du'da'da
打鸟,da'niao
担挑,dan'tiao
睇睇,di'di
睇睇先,di'di'xian
地豆,di'dou
籴谷,di'gu
地佬话,di'lao'hua
地佬话语言艺术交流群,di'lao'hua'yu'yan'yi'shu'jiao'liu'qun
籴米,di'mi
点点办办水瓜烂盏,dian'dian'ban'ban'shui'gua'lan'zhan
点点茶平茶平过英水,dian'dian'cha'ping'cha'ping'guo'ying'shui
屌咳,diao'ke
屙尿,e'niao
呃人,e'ren
恶手,e'shou
发大风落大水,fa'da'feng'luo'da'shui
发大披走,fa'da'pi'zou
饭包粟,fan'bao'su
飞机响炸利广,fei'ji'xiang'zha'li'guang
粉婆,fen'po
枫木林,feng'mu'lin
改假,gai'jia
该假,gai'jia
个日,ge'ri
个子,ge'zi
公多,gong'duo
共建七,gong'jian'qi
狗屌出,gou'diao'chu
狗儿吠吠事人来贡多坐马来,gou'er'fei'fei'shi'ren'lai'gong'duo'zuo'ma'lai
谷谷,gu'gu
姑祖,gu'zu
寡孤柴,gua'gu'chai
寡孤佬,gua'gu'lao
挂纸,gua'zhi
龟蛋屎,gui'dan'shi
龟儿,gui'er
过时失溜,guo'shi'shi'liu
嗨卑,hai'bei
黄蛇鱼,huang'she'yu
镬头,huo'tou
鸡髀,ji'bi
激激,ji'ji
鸡络,ji'luo
鸡络婆,ji'luo'po
鸡腿,ji'tui
鸡项,ji'xiang
甲鬼,jia'gui
假薯菇,jia'shu'gu
蕉子,jiao'zi
结交,jie'jiao
尽哋啱,jin'di'yan
金瓜,jin'gua
开大披走,kai'da'pi'zou
坎头,kan'tou
坷头,ke'tou
老爹,lao'die
捞龟,lao'gui
老龟,lao'gui
老龟壳,lao'gui'qiao
老媚,lao'mei
老媚壳,lao'mei'ke
捞钱,lao'qian
捞嘢,lao'ye
犁钯锹掘,li'ba'qiao'jue
亮蜡蜡,liang'la'la
两子侬隔岭背,liang'zi'nong'ge'ling'bei
咧咧吠吠,lie'lie'fei'fei
猎水,lie'shui
灵醒,ling'xing
路凯,lu'kai
路咛,lu'ning
路朴,lu'pu
路日,lu'ri
囵回去,lun'hui'qu
摞柴,luo'chai
捋胡须,luo'hu'xu
捋手骨,luo'shou'gu
落水,luo'shui
冇有,mao'you
掹草,meng'cao
掹禾,meng'he
蒙棚,meng'peng
面皮,mian'pi
面子,mian'zi
妙死,miao'si
孭侬,mie'nong
乜人,mie'ren
搣人爹,mie'ren'die
乜人凄凉冇我咁凄凉,mie'ren'qi'liang'mao'wo'gan'qi'liang
乜事,mie'shi
乜西,mie'xi
乜嘢,mie'ye
抹齿,mo'chi
抹齿交,mo'chi'jiao
抹牙,mo'ya
木屐,mu'ji
木络,mu'luo
喃嘛佬,nan'ma'lao
喃斎,nan'zhai
挠挠骂骂,nao'nao'ma'ma
嫐你,nao'ni
恼死,nao'si
嫐我,nao'wo
尼那尼啊捡着猫担啊,ni'na'ni'a'jian'zhe'mao'dan'a
鸟儿,niao'er
鸟妹,niao'mei
嬲你,niao'ni
鸟婆,niao'po
嬲我,niao'wo
聂聂,nie'nie
聂屎牛,nie'shi'niu
牛屌出,niu'diao'chu
牛牯生儿,niu'gu'sheng'er
搦己,nuo'ji
搦你,nuo'ni
搦腻,nuo'ni
搦身己,nuo'shen'ji
搦身你,nuo'shen'ni
搦死己,nuo'si'ji
搦我,nuo'wo
呕脓,ou'nong
呕脓吐血,ou'nong'tu'xie
呸喃七,pei'nan'qi
坡蜢,po'meng
企起身,qi'qi'shen
企稳,qi'wen
屈回去,qu'hui'qu
屈蕉子,qu'jiao'zi
曲隙,qu'xi
圈圈转,quan'quan'zhuan
日大千斤夜大八百,ri'da'qian'jin'ye'da'ba'bai
日中,ri'zhong
肉痒,rou'yang
傻戆戆,sha'gang'gang
