阿里红,a'li'hong
阿美尼亚丝膜菌,a'mei'ni'ya'si'mo'jun
阿魏侧耳,a'wei'ce'er
阿魏菇,a'wei'gu
阿魏蘑菇,a'wei'mo'gu
安浮特克,an'fu'te'ke
暗褐乳菇,an'he'ru'gu
暗蓝光盖伞,an'lan'guang'gai'san
暗鳞白鬼伞,an'lin'bai'gui'san
八角生木层孔菌,ba'jiao'sheng'mu'ceng'kong'jun
白斑鬼伞,bai'ban'gui'san
白柄灰锤,bai'bing'hui'chui
白侧耳,bai'ce'er
白齿菌,bai'chi'jun
白杵蘑菇,bai'chu'mo'gu
白刺鳞鹅膏菌,bai'ci'lin'e'gao'jun
白蛋巢菌,bai'dan'chao'jun
白多孔菌,bai'duo'kong'jun
白菇,bai'gu
白鬼笔,bai'gui'bi
白黑红菇,bai'hei'hong'gu
白黑拟牛肝多孔菌,bai'hei'ni'niu'gan'duo'kong'jun
白黄小脆柄菇,bai'huang'xiao'cui'bing'gu
白黄粘盖牛肝菌,bai'huang'zhan'gai'niu'gan'jun
白鳞环锈伞,bai'lin'huan'xiu'san
白鳞蘑菇,bai'lin'mo'gu
白迷孔菌,bai'mi'kong'jun
白球基牛丝膜菌,bai'qiu'ji'niu'si'mo'jun
白乳菇,bai'ru'gu
白色拟枝瑚菌,bai'se'ni'zhi'hu'jun
白松露,bai'song'lu
白秃马勃,bai'tu'ma'bo
白叶枯病,bai'ye'ku'bing
白枝瑚菌,bai'zhi'hu'jun
白紫丝膜菌,bai'zi'si'mo'jun
半被毛丝膜菌,ban'bei'mao'si'mo'jun
班褐孔菌,ban'he'kong'jun
半开羊肚菌,ban'kai'yang'du'jun
瓣片绣球菌,ban'pian'xiu'qiu'jun
半球盖菇,ban'qiu'gai'gu
棒瑚菌,bang'hu'jun
棒形地勺菌,bang'xing'di'shao'jun
薄盖灵芝,bao'gai'ling'zhi
薄黄褐孔菌,bao'huang'he'kong'jun
薄黄鸡油菌,bao'huang'ji'you'jun
薄鸡油菌,bao'ji'you'jun
包脚黑褶伞,bao'jiao'hei'zhe'san
鲍姆木层孔菌,bao'mu'mu'ceng'kong'jun
