阿尔,a'er
阿空,a'kong
阿礼,a'li
阿礼男,a'li'nan
阿礼少女,a'li'shao'nv
阿燐,a'lin
阿梦,a'meng
阿弥,a'mi
阿娜贝拉尔,a'na'bei'la'er
阿七,a'qi
阿求,a'qiu
阿未,a'wei
阿悟,a'wu
阿一,a'yi
阿余,a'yu
艾丽,ai'li
爱丽丝,ai'li'si
爱丽丝玛格特罗依德,ai'li'si'ma'ge'te'luo'yi'de
爱莲,ai'lian
爱着人的神,ai'zhe'ren'de'shen
暗符,an'fu
暗宵的妖怪,an'xiao'de'yao'guai
暗夜之砾,an'ye'zhi'li
奥尔特星云,ao'er'te'xing'yun
八百万众神,ba'bai'wan'zhong'shen
八坂,ba'ban
八坂的神风,ba'ban'de'shen'feng
八坂神奈子,ba'ban'shen'nai'zi
八重雾中渡,ba'chong'wu'zhong'du
八方鬼缚阵,ba'fang'gui'fu'zhen
八方龙杀阵,ba'fang'long'sha'zhen
八分咲,ba'fen'xiao
八目鳗,ba'mu'man
捌器,ba'qi
八千万块护摩,ba'qian'wan'kuai'hu'mo
巴瓦鲁魔法图书馆,ba'wa'lu'mo'fa'tu'shu'guan
八意,ba'yi
把一切分成两半的东西,ba'yi'qie'fen'cheng'liang'ban'de'dong'xi
八意永琳,ba'yi'yong'lin
八岳,ba'yue
八云,ba'yun
八云蓝,ba'yun'lan
八云卍伞,ba'yun'wan'san
八云之巢,ba'yun'zhi'chao
八云紫,ba'yun'zi
八云紫的神隐,ba'yun'zi'de'shen'yin
八咫乌俯冲,ba'zhi'wu'fu'chong
白符,bai'fu
白狼天狗,bai'lang'tian'gou
白莉莉,bai'li'li
白莲,bai'lian
白楼剑,bai'lou'jian
白露的露西亚人偶,bai'lu'de'lu'xi'ya'ren'ou
稗田,bai'tian
稗田阿尔,bai'tian'a'er
稗田阿礼,bai'tian'a'li
稗田阿梦,bai'tian'a'meng
稗田阿弥,bai'tian'a'mi
稗田阿七,bai'tian'a'qi
稗田阿求,bai'tian'a'qiu
稗田阿未,bai'tian'a'wei
稗田阿悟,bai'tian'a'wu
稗田阿一,bai'tian'a'yi
稗田阿余,bai'tian'a'yu
百万鬼夜行,bai'wan'gui'ye'xing
百万同一鬼,bai'wan'tong'yi'gui
百万耀斑,bai'wan'yao'ban
白玉楼,bai'yu'lou
白玉楼的垂岸,bai'yu'lou'de'chui'an
白泽,bai'ze
白昼的客星,bai'zhou'de'ke'xing
半人半灵的半吊子,ban'ren'ban'ling'de'ban'diao'zi
半身大悟,ban'shen'da'wu
半兽,ban'shou
棒符,bang'fu
包符,bao'fu
宝符,bao'fu
爆符,bao'fu
雹符,bao'fu
宝具,bao'ju
宝永四年的赤蛙,bao'yong'si'nian'de'chi'wa
北白河千百合,bei'bai'he'qian'bai'he
北斗星辰,bei'dou'xing'chen
被封印的大法师,bei'feng'yin'de'da'fa'shi
被封印的妖怪,bei'feng'yin'de'yao'guai
被封印的众神,bei'feng'yin'de'zhong'shen
被祭拜的风之人,bei'ji'bai'de'feng'zhi'ren
北极的胜利者,bei'ji'de'sheng'li'zhe
被禁止的游戏,bei'jin'zhi'de'you'xi
被厌恶者的哲学,bei'yan'wu'zhe'de'zhe'xue
悲运,bei'yun
本居,ben'ju
本居小铃,ben'ju'xiao'ling
本我的解放,ben'wo'de'jie'fang
崩山彩极炮,beng'shan'cai'ji'pao
彼岸,bi'an
彼岸归航,bi'an'gui'hang
比赤色更红的梦,bi'chi'se'geng'hong'de'meng
比红更虚幻的永远,bi'hong'geng'xu'huan'de'yong'yuan
比那名居,bi'na'ming'ju
比那名居地子,bi'na'ming'ju'di'zi
比那名居天子,bi'na'ming'ju'tian'zi
避难险路,bi'nan'xian'lu
必杀,bi'sha
冰雹暴风,bing'bao'bao'feng
冰符,bing'fu
冰瀑,bing'pu
并行交差,bing'xing'jiao'chai
博爱的奥尔良人偶,bo'ai'de'ao'er'liang'ren'ou
博爱的法兰西人偶,bo'ai'de'fa'lan'xi'ren'ou
波符,bo'fu
博丽,bo'li
博丽大结界,bo'li'da'jie'jie
博丽弹幕结界,bo'li'dan'mu'jie'jie
博丽幻影,bo'li'huan'ying
博丽灵梦,bo'li'ling'meng
博丽神社,bo'li'shen'she
薄命,bo'ming
波起,bo'qi
波与粒的境界,bo'yu'li'de'jing'jie
不动的大图书馆,bu'dong'de'da'tu'shu'guan
布都,bu'dou
布格雷修提的人偶师,bu'ge'lei'xiu'ti'de'ren'ou'shi
不合时令的蝶雨,bu'he'shi'ling'de'die'yu
不焦躁的内心,bu'jiao'zao'de'nei'xin
不老不死程度的能力,bu'lao'bu'si'cheng'du'de'neng'li
不良天人,bu'liang'tian'ren
不灭,bu'mie
不明幻想飞行少女,bu'ming'huan'xiang'fei'xing'shao'nv
不明因子,bu'ming'yin'zi
不让土壤之剑,bu'rang'tu'rang'zhi'jian
不死,bu'si
不死幻想曲,bu'si'huan'xiang'qu
不死鸟重生,bu'si'niao'chong'sheng
不死鸟附体,bu'si'niao'fu'ti
不惜身命可惜身命,bu'xi'shen'ming'ke'xi'shen'ming
不朽的弹幕,bu'xiu'de'dan'mu
不用手奏乐程度的能力,bu'yong'shou'zou'yue'cheng'du'de'neng'li
擦弹,ca'dan
彩符,cai'fu
彩光风铃,cai'guang'feng'ling
彩光莲华掌,cai'guang'lian'hua'zhang
彩光乱舞,cai'guang'luan'wu
彩虹的风铃,cai'hong'de'feng'ling
彩华,cai'hua
彩翔,cai'xiang
彩雨,cai'yu
苍符,cang'fu
苍天,cang'tian
操符,cao'fu
草木成佛斩,cao'mu'cheng'fo'zhan
操神,cao'shen
操纵虫子程度的能力,cao'zong'chong'zi'cheng'du'de'neng'li
操纵大地程度的能力,cao'zong'da'di'cheng'du'de'neng'li
操纵毒程度的能力,cao'zong'du'cheng'du'de'neng'li
操纵风程度的能力,cao'zong'feng'cheng'du'de'neng'li
操纵寒气程度的能力,cao'zong'han'qi'cheng'du'de'neng'li
操纵核融合程度的能力,cao'zong'he'rong'he'cheng'du'de'neng'li
操纵黑暗程度的能力,cao'zong'hei'an'cheng'du'de'neng'li
操纵花程度的能力,cao'zong'hua'cheng'du'de'neng'li
操纵疾病程度的能力,cao'zong'ji'bing'cheng'du'de'neng'li
操纵嫉妒心程度的能力,cao'zong'ji'du'xin'cheng'du'de'neng'li
操纵境界程度的能力,cao'zong'jing'jie'cheng'du'de'neng'li
操纵距离程度的能力,cao'zong'ju'li'cheng'du'de'neng'li
操纵冷气程度的能力,cao'zong'leng'qi'cheng'du'de'neng'li
操纵密度程度的能力,cao'zong'mi'du'cheng'du'de'neng'li
操纵密和疏程度的能力,cao'zong'mi'he'shu'cheng'du'de'neng'li
操纵命运程度的能力,cao'zong'ming'yun'cheng'du'de'neng'li
操纵人偶程度的能力,cao'zong'ren'ou'cheng'du'de'neng'li
操纵入道程度的能力,cao'zong'ru'dao'cheng'du'de'neng'li
操纵时间程度的能力,cao'zong'shi'jian'cheng'du'de'neng'li
操纵水程度的能力,cao'zong'shui'cheng'du'de'neng'li
操纵死亡程度的能力,cao'zong'si'wang'cheng'du'de'neng'li
操纵无意识程度的能力,cao'zong'wu'yi'shi'cheng'du'de'neng'li
操纵永远与须臾的能力,cao'zong'yong'yuan'yu'xu'yu'de'neng'li
操作魔法程度的能力,cao'zuo'mo'fa'cheng'du'de'neng'li
策士的九尾,ce'shi'de'jiu'wei
厕所里的花子,ce'suo'li'de'hua'zi
刹那亚空穴,cha'na'ya'kong'xue
蟾蜍操纵术,chan'chu'cao'zong'shu
缠缚剑,chan'fu'jian
产灵,chan'ling
常规激光,chang'gui'ji'guang
长视,chang'shi
常置阵,chang'zhi'zhen
朝仓理香子,chao'cang'li'xiang'zi
抄地升天脚,chao'di'sheng'tian'jiao
超度体验版,chao'du'ti'yan'ban
超短脑波,chao'duan'nao'bo
嘲讽的游戏,chao'feng'de'you'xi
超高密度燐祸术,chao'gao'mi'du'lin'huo'shu
超级英仙座,chao'ji'ying'xian'zuo
超统一物理学,chao'tong'yi'wu'li'xue
超妖怪弹头,chao'yao'guai'dan'tou
沉积于禊川,chen'ji'yu'xi'chuan
沉没的幽灵,chen'mo'de'you'ling
成佛得脱斩,cheng'fo'de'tuo'zhan
赤符,chi'fu
炽击,chi'ji
赤口大人,chi'kou'da'ren
炽热焦躁的神之火,chi're'jiao'zao'de'shen'zhi'huo
赤眼催眠,chi'yan'cui'mian
赤月下,chi'yue'xia
充满留恋的紧缚灵,chong'man'liu'lian'de'jin'fu'ling
充满魅力的四重结界,chong'man'mei'li'de'si'chong'jie'jie
丑时参拜,chou'shi'can'bai
丑时参拜第七日,chou'shi'can'bai'di'qi'ri
储存厄运程度的能力,chu'cun'e'yun'cheng'du'de'neng'li
畜趣剑,chu'qu'jian
船底的维纳斯,chuan'di'de'wei'na'si
传说的飞空圆盘,chuan'shuo'de'fei'kong'yuan'pan
传说的巨神,chuan'shuo'de'ju'shen
传统的幻想书屋,chuan'tong'de'huan'xiang'shu'wu
川雾,chuan'wu
创符,chuang'fu
创造地程度的能力,chuang'zao'di'cheng'du'de'neng'li
创造天程度的能力,chuang'zao'tian'cheng'du'de'neng'li
吹冰,chui'bing
蠢蠢的秋月,chun'chun'de'qiu'yue
春度,chun'du
春风之梦,chun'feng'zhi'meng
蠢符,chun'fu
春色小径,chun'se'xiao'jing
春天来了,chun'tian'lai'le
春雪异变,chun'xue'yi'bian
春之岸边,chun'zhi'an'bian
春之京人偶,chun'zhi'jing'ren'ou
此岸之冢,ci'an'zhi'zhong
疵符,ci'fu
茨歌仙,ci'ge'xian
疵痕,ci'hen
茨华仙,ci'hua'xian
茨木华扇,ci'mu'hua'shan
从天而降的星之光,cong'tian'er'jiang'de'xing'zhi'guang
萃符,cui'fu
萃鬼,cui'gui
萃集的梦,cui'ji'de'meng
萃灵花,cui'ling'hua
萃梦想,cui'meng'xiang
萃香,cui'xiang
村纱,cun'sha
村纱船长,cun'sha'chuan'zhang
村纱水蜜,cun'sha'shui'mi
大地之湖,da'di'zhi'hu
大葛笼与小葛笼,da'ge'long'yu'xiao'ge'long
大蛤蟆神,da'ha'ma'shen
大蛤蟆之池,da'ha'ma'zhi'chi
大和茅环,da'he'mao'huan
大合骚,da'he'sao
大江户炸弹人偶,da'jiang'hu'zha'dan'ren'ou
大江山颪,da'jiang'shan'gua
大江山岚,da'jiang'shan'lan
大江山悉皆杀,da'jiang'shan'xi'jie'sha
大结界,da'jie'jie
大结界骚动,da'jie'jie'sao'dong
大空魔术,da'kong'mo'shu
大粒的泪雨,da'li'de'lei'yu
大鲶鱼,da'nian'yu
大鹏拳,da'peng'quan
大鹏坠击拳,da'peng'zhui'ji'quan
大奇迹,da'qi'ji
大日如来显世,da'ri'ru'lai'xian'shi
大师的秘传,da'shi'de'mi'chuan
大太法师的参拜,da'tai'fa'shi'de'can'bai
大天狗,da'tian'gou
大悟显晦,da'wu'xian'hui
大穴牟迟大人的药,da'xue'mou'chi'da'ren'de'yao
大玉,da'yu
大钟婆之火,da'zhong'po'zhi'huo
带电入道,dai'dian'ru'dao
待宵反射卫星斩,dai'xiao'fan'she'wei'xing'zhan
待宵月,dai'xiao'yue
带走尸体程度的能力,dai'zou'shi'ti'cheng'du'de'neng'li
弹幕的墨迹测试,dan'mu'de'mo'ji'ce'shi
弹幕结界,dan'mu'jie'jie
弹幕偏执症,dan'mu'pian'zhi'zheng
弹幕奇美拉,dan'mu'qi'mei'la
当代的念写记者,dang'dai'de'nian'xie'ji'zhe
稻草人偶神风敢死队,dao'cao'ren'ou'shen'feng'gan'si'dui
到处都是的浮游灵,dao'chu'dou'shi'de'fu'you'ling
刀弹,dao'dan
道满晴明,dao'man'qing'ming
灯符,deng'fu
滴弹,di'dan
地底的蔷薇,di'di'de'qiang'wei
地底太阳,di'di'tai'yang
第二次月面战争,di'er'ci'yue'mian'zhan'zheng
地符,di'fu
地精的起床,di'jing'de'qi'chuang
地灵,di'ling
地灵殿,di'ling'dian
地灵活性弹,di'ling'huo'xing'dan
地灵们的归家,di'ling'men'de'gui'jia
地灵们的起床,di'ling'men'de'qi'chuang
第六十年的东方裁判,di'liu'shi'nian'de'dong'fang'cai'pan
地龙波,di'long'bo
地龙天龙脚,di'long'tian'long'jiao
地壳下的嫉妒心,di'qiao'xia'de'ji'du'xin
地上的恒星,di'shang'de'heng'xing
地上的彗星,di'shang'de'hui'xing
地上的流星,di'shang'de'liu'xing
地上的兔子,di'shang'de'tu'zi
地上的因幡,di'shang'de'yin'fan
低速封印,di'su'feng'yin
第一次月面战争,di'yi'ci'yue'mian'zhan'zheng
第一种永动机,di'yi'zhong'yong'dong'ji
地狱波动炮,di'yu'bo'dong'pao
地狱的轮祸,di'yu'de'lun'huo
地狱的人工太阳,di'yu'de'ren'gong'tai'yang
地狱的托卡马克装置,di'yu'de'tuo'ka'ma'ke'zhuang'zhi
地狱极乐熔毁,di'yu'ji'le'rong'hui
地狱猫游步,di'yu'mao'you'bu
地狱之苦轮,di'yu'zhi'ku'lun
地之色乃黄色,di'zhi'se'nai'huang'se
地子,di'zi
点弹,dian'dan
电符,dian'fu
电气的龙宫,dian'qi'de'long'gong
掉落鬼火程度的能力,diao'luo'gui'huo'cheng'du'de'neng'li
吊瓶,diao'ping
钓瓶落之怪,diao'ping'luo'zhi'guai
蝶弹,die'dan
蝶符,die'fu
蝶羽之风暂留人世,die'yu'zhi'feng'zan'liu'ren'shi
东方茨歌仙,dong'fang'ci'ge'xian
东方萃梦想,dong'fang'cui'meng'xiang
东方的平原,dong'fang'de'ping'yuan
东方地灵殿,dong'fang'di'ling'dian
东方绯想天,dong'fang'fei'xiang'tian
东方非想天则,dong'fang'fei'xiang'tian'ze
东方封魔录,dong'fang'feng'mo'lu
东方风神录,dong'fang'feng'shen'lu
东方怪奇谈,dong'fang'guai'qi'tan
东方怪绮谈,dong'fang'guai'qi'tan
东方红楼梦,dong'fang'hong'lou'meng
东方红魔狂,dong'fang'hong'mo'kuang
东方红魔乡,dong'fang'hong'mo'xiang
东方花映冢,dong'fang'hua'ying'zhong
东方幻想乡,dong'fang'huan'xiang'xiang
东方铃奈庵,dong'fang'ling'nai'an
东方灵异传,dong'fang'ling'yi'chuan
东方梦时空,dong'fang'meng'shi'kong
东方儚月抄,dong'fang'meng'yue'chao
东方求闻史纪,dong'fang'qiu'wen'shi'ji
东方神灵庙,dong'fang'shen'ling'miao
东方文花帖,dong'fang'wen'hua'tie
东方香霖堂,dong'fang'xiang'lin'tang
东方心绮楼,dong'fang'xin'qi'lou
东方星莲船,dong'fang'xing'lian'chuan
东方妖怪小镇,dong'fang'yao'guai'xiao'zhen
东方妖恋谈,dong'fang'yao'lian'tan
东方妖妖梦,dong'fang'yao'yao'meng
东方永夜抄,dong'fang'yong'ye'chao
东方紫香花,dong'fang'zi'xiang'hua
东风谷,dong'feng'gu
东风谷早苗,dong'feng'gu'zao'miao
冬符,dong'fu
冻符,dong'fu
冬季的遗忘之物,dong'ji'de'yi'wang'zhi'wu
动与静的均衡,dong'yu'jing'de'jun'heng
东之国,dong'zhi'guo
东之国的不眠之夜,dong'zhi'guo'de'bu'mian'zhi'ye
冬之妖怪,dong'zhi'yao'guai
豆粒大的针地狱,dou'li'da'de'zhen'di'yu
毒蛾的黑暗演舞,du'e'de'hei'an'yan'wu
毒蛾的鳞粉,du'e'de'lin'fen
妒符,du'fu
毒符,du'fu
毒气花园,du'qi'hua'yuan
毒烟幕,du'yan'mu
渡越三国乃成妖异,du'yue'san'guo'nai'cheng'yao'yi
断灵剑,duan'ling'jian
断迷剑,duan'mi'jian
断命剑,duan'ming'jian
短视,duan'shi
断想剑,duan'xiang'jian
对华丽的仁者的嫉妒,dui'hua'li'de'ren'zhe'de'ji'du
对谦虚的富者的嫉恨,dui'qian'xu'de'fu'zhe'de'ji'hen
多多良,duo'duo'liang
多多良小伞,duo'duo'liang'xiao'san
恶的魂,e'de'hun
厄符,e'fu
蛾符,e'fu
饿鬼道草纸,e'gui'dao'cao'zhi
饿鬼剑,e'gui'jian
饿鬼十王的报应,e'gui'shi'wang'de'bao'ying
饿虎,e'hu
恶灵,e'ling
恶魔的妹妹,e'mo'de'mei'mei
厄神通过的道路,e'shen'tong'guo'de'dao'lu
饿王剑,e'wang'jian
二拜二拍一拜,er'bai'er'pai'yi'bai
二百十日,er'bai'shi'ri
二百由旬的一闪,er'bai'you'xun'de'yi'shan
二成八分六厘,er'cheng'ba'fen'liu'li
二重弹幕结界,er'chong'dan'mu'jie'jie
二重的苦轮,er'chong'de'ku'lun
二重黑死蝶,er'chong'hei'si'die
二重结界,er'chong'jie'jie
二次元与三次元的境界,er'ci'yuan'yu'san'ci'yuan'de'jing'jie
二色莲花蝶,er'se'lian'hua'die
二设,er'she
二岩,er'yan
二岩猯藏,er'yan'tuan'cang
二重大结界,er'zhong'da'jie'jie
法灯,fa'deng
法界,fa'jie
法界之火,fa'jie'zhi'huo
饭纲权现降临,fan'gang'quan'xian'jiang'lin
反魂蝶,fan'hun'die
反射下界斩,fan'she'xia'jie'zhan
芳波,fang'bo
方符,fang'fu
芳华绚烂,fang'hua'xuan'lan
仿若涅槃寂静,fang'ruo'nie'pan'ji'jing
芳香,fang'xiang
芳香的树叶花,fang'xiang'de'shu'ye'hua
放纵不羁,fang'zong'bu'ji
飞钵,fei'bo
飞仓,fei'cang
非常识的里侧,fei'chang'shi'de'li'ce
非定向光线,fei'ding'xiang'guang'xian
飞光虫之巢,fei'guang'chong'zhi'chao
飞花落华,fei'hua'luo'hua
飞花落叶,fei'hua'luo'ye
飞空的不思议的巫女,fei'kong'de'bu'si'yi'de'wu'nv
废线,fei'xian
非想,fei'xiang
绯想的剑气,fei'xiang'de'jian'qi
非想的威光,fei'xiang'de'wei'guang
非想非非想天之女,fei'xiang'fei'fei'xiang'tian'zhi'nv
非想非非想之剑,fei'xiang'fei'fei'xiang'zhi'jian
飞翔毘沙门天,fei'xiang'pi'sha'men'tian
飞翔晴明,fei'xiang'qing'ming
绯想天,fei'xiang'tian
绯想天促,fei'xiang'tian'cu
非想天则,fei'xiang'tian'ze
飞翔韦驮天,fei'xiang'wei'tuo'tian
飞翔役小角,fei'xiang'yi'xiao'jiao
绯想之剑,fei'xiang'zhi'jian
非想之剑,fei'xiang'zhi'jian
飞行幻想,fei'xing'huan'xiang
废狱摇篮曲,fei'yu'yao'lan'qu
封闭的云中通路,feng'bi'de'yun'zhong'tong'lu
丰聪耳,feng'cong'er
丰聪耳神子,feng'cong'er'shen'zi
凤蝶纹的死枪,feng'die'wen'de'si'qiang
凤蝶纹之枪,feng'die'wen'zhi'qiang
丰符,feng'fu
凤凰卵,feng'huang'luan
凤凰展翅,feng'huang'zhan'chi
风见,feng'jian
风见幽香,feng'jian'you'xiang
疯狂的梦,feng'kuang'de'meng
疯狂的瞳孔,feng'kuang'de'tong'kong
疯狂的月兔,feng'kuang'de'yue'tu
封魔录,feng'mo'lu
封魔亚空穴,feng'mo'ya'kong'xue
封魔阵,feng'mo'zhen
风起,feng'qi
枫扇风,feng'shan'feng
风神的木叶隐身术,feng'shen'de'mu'ye'yin'shen'shu
风神的神德,feng'shen'de'shen'de
风神的障目叶隐,feng'shen'de'zhang'mu'ye'yin
风神录,feng'shen'lu
风神少女,feng'shen'shao'nv
风神一扇,feng'shen'yi'shan
封兽,feng'shou
封兽鵺,feng'shou'ye
丰收与成熟的象征,feng'shou'yu'cheng'shu'de'xiang'zheng
凤翼天翔,feng'yi'tian'xiang
风祝,feng'zhu
风祝棒,feng'zhu'bang
佛御石之钵,fo'yu'shi'zhi'bo
复仇女神的要塞,fu'chou'nv'shen'de'yao'sai
伏地的巨蛇星,fu'di'de'ju'she'xing
俯瞰世界的遥远大地,fu'kan'shi'jie'de'yao'yuan'da'di
芙兰朵露,fu'lan'duo'lu
芙兰朵露斯卡雷特,fu'lan'duo'lu'si'ka'lei'te
