阿斗泥,a'dou'ni
安德公主,an'de'gong'zhu
安德王,an'de'wang
安定靖王拓跋休,an'ding'jing'wang'tuo'ba'xiu
安定殇王拓跋弥,an'ding'shang'wang'tuo'ba'mi
安丰匡王拓跋猛,an'feng'kuang'wang'tuo'ba'meng
安乐公主,an'le'gong'zhu
安乐厉王拓跋长乐,an'le'li'wang'tuo'ba'chang'le
跋洛侯,ba'luo'hou
百保鲜卑,bai'bao'xian'bei
柏谷坞,bai'gu'wu
保定,bao'ding
北海平王元祥,bei'hai'ping'wang'yuan'xiang
北乡长公主,bei'xiang'zhang'gong'zhu
薄居罗,bo'ju'luo
博陵公主,bo'ling'gong'zhu
步六孤氏,bu'liu'gu'shi
步落稽,bu'luo'ji
蔡佑蔡祐,cai'you'cai'you
常悲,chang'bei
长恭,chang'gong
昌乐大长公主,chang'le'da'zhang'gong'zhu
长乐公主元瑛,chang'le'gong'zhu'yuan'ying
长乐王拓跋处文,chang'le'wang'tuo'ba'chu'wen
常善,chang'shan
常山公主,chang'shan'gong'zhu
陈蒨,chen'qian
陈善藏,chen'shan'cang
陈叔宝,chen'shu'bao
陈忻,chen'xin
陈顼,chen'xu
陈元康,chen'yuan'kang
陈月仪,chen'yue'yi
承光,cheng'guang
城阳康王拓跋长寿,cheng'yang'kang'wang'tuo'ba'chang'shou
叱利氏,chi'li'shi
叱列伏龟,chi'lie'fu'gui
叱罗协,chi'luo'xie
楚王拓跋建,chu'wang'tuo'ba'jian
崔昂,cui'ang
崔伯谦,cui'bo'qian
崔达拏,cui'da'na
崔弘度,cui'hong'du
崔季舒,cui'ji'shu
崔谦,cui'qian
崔说,cui'shuo
崔腾,cui'teng
崔暹,cui'xian
崔彦穆,cui'yan'mu
崔猷,cui'you
崔瞻,cui'zhan
崔仲方,cui'zhong'fang
达步干氏,da'bu'gan'shi
大成,da'cheng
大定,da'ding
大尔朱,da'er'zhu
大后丞,da'hou'cheng
大利稽氏,da'li'ji'shi
大宁,da'ning
大前疑,da'qian'yi
大统,da'tong
达奚惎,da'xi'ji
达奚实,da'xi'shi
达奚武,da'xi'wu
达奚震,da'xi'zhen
大象,da'xiang
大野氏,da'ye'shi
大右弼,da'you'bi
大左辅,da'zuo'fu
道武帝拓跋珪,dao'wu'di'tuo'ba'gui
弟荣先,di'rong'xian
第一领民酋长,di'yi'ling'min'qiu'zhang
东柏堂,dong'bai'tang
东平王拓跋翰,dong'ping'wang'tuo'ba'han
董绍,dong'shao
窦炽,dou'chi
豆卢勣,dou'lu'ji
豆卢宁,dou'lu'ning
豆卢氏,dou'lu'shi
豆卢突,dou'lu'tu
豆卢永恩,dou'lu'yong'en
豆罗突,dou'luo'tu
窦泰,dou'tai
窦毅,dou'yi
杜弼,du'bi
杜杲,du'gao
独孤伽罗,du'gu'jia'luo
独孤库者,du'gu'ku'zhe
独孤信,du'gu'xin
独孤永业,du'gu'yong'ye
杜皇后,du'huang'hou
杜洛周,du'luo'zhou
杜叔毗,du'shu'pi
段达,duan'da
段荣,duan'rong
段韶,duan'shao
段永,duan'yong
段昭仪,duan'zhao'yi
敦教化,dun'jiao'hua
顿丘公主,dun'qiu'gong'zhu
尔绵氏,er'mian'shi
尔朱菩提,er'zhu'pu'ti
尔朱荣,er'zhu'rong
尔朱世隆,er'zhu'shi'long
尔朱天光,er'zhu'tian'guang
尔朱文畅,er'zhu'wen'chang
尔朱文略,er'zhu'wen'lue
尔朱文殊,er'zhu'wen'shu
尔朱英娥,er'zhu'ying'e
尔朱御女,er'zhu'yu'nv
尔朱兆,er'zhu'zhao
法净,fa'jing
樊深,fan'shen
樊叔略,fan'shu'lue
房彦谦,fang'yan'qian
废后冯清,fei'hou'feng'qing
费也头,fei'ye'tou
冯景,feng'jing
封隆之,feng'long'zhi
冯清,feng'qing
冯润,feng'run
冯氏,feng'shi
冯小怜,feng'xiao'lian
封孝琬,feng'xiao'wan
封孝琰,feng'xiao'yan
冯翊公主,feng'yi'gong'zhu
冯翊王元季海,feng'yi'wang'yuan'ji'hai
冯翊长公主,feng'yi'zhang'gong'zhu
冯子琮,feng'zi'cong
扶猛,fu'meng
富平公主,fu'ping'gong'zhu
高阿那肱,gao'a'na'gong
高昂,gao'ang
高敖曹,gao'ao'cao
高百年,gao'bai'nian
高宾,gao'bin
高长恭,gao'chang'gong
高琛,gao'chen
高澄,gao'cheng
高绰,gao'chuo
高德政,gao'de'zheng
高归彦,gao'gui'yan
高弘节,gao'hong'jie
高欢,gao'huan
高涣,gao'huan
高皇后,gao'huang'hou
高济,gao'ji
高季式,gao'ji'shi
高湝,gao'jie
高熲,gao'jiong
高浚,gao'jun
高廓,gao'kuo
高亮,gao'liang
高琳,gao'lin
高隆之,gao'long'zhi
高凝,gao'ning
高平公主,gao'ping'gong'zhu
高洽,gao'qia
高乾,gao'qian
高仁光,gao'ren'guang
高仁几,gao'ren'ji
高仁俭,gao'ren'jian
高仁谦,gao'ren'qian
高仁雅,gao'ren'ya
高仁英,gao'ren'ying
高仁邕,gao'ren'yong
高仁直,gao'ren'zhi
高睿,gao'rui
高润,gao'run
高绍德,gao'shao'de
高绍廉,gao'shao'lian
高绍仁,gao'shao'ren
高绍信,gao'shao'xin
高绍义,gao'shao'yi
高慎,gao'shen
高湜,gao'shi
高树,gao'shu
高纬,gao'wei
高孝瓘,gao'xiao'guan
高孝珩,gao'xiao'heng
高孝琬,gao'xiao'wan
高孝瑜,gao'xiao'yu
高俨,gao'yan
高淹,gao'yan
高演,gao'yan
高彦德,gao'yan'de
高彦基,gao'yan'ji
高彦康,gao'yan'kang
高彦理,gao'yan'li
高彦忠,gao'yan'zhong
高延宗,gao'yan'zong
高洋,gao'yang
高阳文穆王元雍,gao'yang'wen'mu'wang'yuan'yong
高殷,gao'yin
高永乐,gao'yong'le
高浟,gao'you
高淯,gao'yu
高元海,gao'yuan'hai
高岳,gao'yue
高湛,gao'zhan
高照容,gao'zhao'rong
高贞,gao'zhen
高正礼,gao'zheng'li
高仲密,gao'zhong'mi
葛荣,ge'rong
耿豪,geng'hao
更兴,geng'xing
恭皇后,gong'huang'hou
广川庄王拓跋略,guang'chuan'zhuang'wang'tuo'ba'lue
广陵惠王元羽,guang'ling'hui'wang'yuan'yu
广陵王元诩,guang'ling'wang'yuan'xu
广宁王,guang'ning'wang
广平殇王拓,guang'ping'shang'wang'tuo
广平王拓跋连,guang'ping'wang'tuo'ba'lian
广平王元赞,guang'ping'wang'yuan'zan
广平武穆王元怀,guang'ping'wu'mu'wang'yuan'huai
广阳王元深,guang'yang'wang'yuan'shen
郭贤,guo'xian
郭彦,guo'yan
涡阳,guo'yang
韩哀王拓跋平,han'ai'wang'tuo'ba'ping
韩褒,han'bao
韩长鸾,han'chang'luan
韩凤,han'feng
韩轨,han'gui
韩果,han'guo
韩雄,han'xiong
贺拔度拔,he'ba'du'ba
贺拔胜,he'ba'sheng
贺拔氏,he'ba'shi
贺拔岳,he'ba'yue
贺拔允,he'ba'yun
贺拨允,he'bo'yun
何稠,he'chou
纥豆陵步藩,he'dou'ling'bu'fan
纥豆陵氏,he'dou'ling'shi
纥豆陵伊利,he'dou'ling'yi'li
纥干氏,he'gan'shi
贺皇后,he'huang'hou
和稽氏,he'ji'shi
河间王,he'jian'wang
河间王拓跋修,he'jian'wang'tuo'ba'xiu
河间孝王拓跋若,he'jian'xiao'wang'tuo'ba'ruo
贺兰初真,he'lan'chu'zhen
贺兰祥,he'lan'xiang
赫连达,he'lian'da
赫连皇后,he'lian'huang'hou
赫连子悦,he'lian'zi'yue
贺娄乌兰,he'lou'wu'lan
河南公主,he'nan'gong'zhu
河南王,he'nan'wang
河南王拓跋曜,he'nan'wang'tuo'ba'yao
河清,he'qing
贺若弼,he'ruo'bi
贺若敦,he'ruo'dun
贺若谊,he'ruo'yi
和士开,he'shi'kai
