阿益,a'yi
定义中,ding'yi'zhong
钉子,ding'zi
董明会,dong'ming'hui
镀浅水银,du'qian'shui'yin
镀水银,du'shui'yin
短脚,duan'jiao
短脚接脚,duan'jiao'jie'jiao
短脚丝插针,duan'jiao'si'cha'zhen
短脚套,duan'jiao'tao
二茶,er'cha
二茶黑红,er'cha'hei'hong
二车间,er'che'jian
二合一,er'he'yi
二合一切底线,er'he'yi'qie'di'xian
二灰,er'hui
二灰冰蓝,er'hui'bing'lan
二夹一,er'jia'yi
二手,er'shou
樊旺明,fan'wang'ming
方背,fang'bei
方背带圆点鱼丝,fang'bei'dai'yuan'dian'yu'si
方满银,fang'man'yin
方片,fang'pian
方丝,fang'si
方元背,fang'yuan'bei
飞边,fei'bian
啡片,fei'pian
啡片如样,fei'pian'ru'yang
啡片同,fei'pian'tong
非全框,fei'quan'kuang
非全框定型脚,fei'quan'kuang'ding'xing'jiao
粉红,fen'hong
粉红黄渐进,fen'hong'huang'jian'jin
粉红片,fen'hong'pian
粉红如样,fen'hong'ru'yang
粉如样,fen'ru'yang
风镜,feng'jing
风镜搭架,feng'jing'da'jia
风镜切包脚位,feng'jing'qie'bao'jiao'wei
风镜切中梁,feng'jing'qie'zhong'liang
封口,feng'kou
封口袋,feng'kou'dai
丰收,feng'shou
福兴,fu'xing
付运涛,fu'yun'tao
盖片成架,gai'pian'cheng'jia
高频机,gao'pin'ji
高频机包脚开臼,gao'pin'ji'bao'jiao'kai'jiu
高频机点宽脚二合一,gao'pin'ji'dian'kuan'jiao'er'he'yi
高频机点铜皮双牙,gao'pin'ji'dian'tong'pi'shuang'ya
高频机退火,gao'pin'ji'tui'huo
割片,ge'pian
割片组,ge'pian'zu
割片组长,ge'pian'zu'zhang
割尾,ge'wei
割尾二合一,ge'wei'er'he'yi
跟单,gen'dan
工厂型号,gong'chang'xing'hao
工程部,gong'cheng'bu
工程部经理,gong'cheng'bu'jing'li
龚京常,gong'jing'chang
工休,gong'xiu
工序,gong'xu
工序名称,gong'xu'ming'cheng
供应商,gong'ying'shang
勾鱼丝片,gou'yu'si'pian
关锋,guan'feng
规格,gui'ge
郭邦平,guo'bang'ping
国真,guo'zhen
海军蓝,hai'jun'lan
海军兰,hai'jun'lan
海军兰渐进如图,hai'jun'lan'jian'jin'ru'tu
海军兰无色样,hai'jun'lan'wu'se'yang
韩芬芳,han'fen'fang
韩靖奉,han'jing'feng
号灰,hao'hui
号渐进灰,hao'jian'jin'hui
