阿魏,a'wei
艾叶,ai'ye
安息香,an'xi'xiang
桉油,an'you
巴豆,ba'dou
巴豆箱,ba'dou'xiang
巴戟天,ba'ji'tian
八角茴香,ba'jiao'hui'xiang
白扁豆,bai'bian'dou
百部,bai'bu
白矾,bai'fan
白附子,bai'fu'zi
白果,bai'guo
百合,bai'he
白及,bai'ji
白蒺藜,bai'ji'li
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白芍,bai'shao
白头翁,bai'tou'weng
白薇,bai'wei
白鲜皮,bai'xian'pi
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
板蓝根,ban'lan'gen
斑蝥,ban'mao
半夏,ban'xia
半枝莲,ban'zhi'lian
北豆根,bei'dou'gen
北沙参,bei'sha'shen
荜茇,bi'ba
荜澄茄,bi'cheng'jia
萹蓄,bian'xu
鳖甲,bie'jia
槟榔,bing'lang
冰片,bing'pian
薄荷,bo'he
薄荷脑,bo'he'nao
补骨脂,bu'gu'zhi
菜菔子,cai'fu'zi
藏菖蒲,cang'chang'pu
苍耳子,cang'er'zi
苍术,cang'zhu
草豆蔻,cao'dou'kou
草果,cao'guo
草乌,cao'wu
草乌叶,cao'wu'ye
侧伯叶,ce'bo'ye
柴胡,chai'hu
蟾酥,chan'su
蝉蜕,chan'tui
常山,chang'shan
车前草,che'qian'cao
车前子,che'qian'zi
陈皮,chen'pi
沉香,chen'xiang
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
虫白蜡,chong'bai'la
重楼,chong'lou
茺蔚子,chong'wei'zi
楮实子,chu'shi'zi
川贝母,chuan'bei'mu
川楝子,chuan'lian'zi
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿山甲,chuan'shan'jia
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿皮,chun'pi
磁石,ci'shi
刺五加,ci'wu'jia
大腹皮,da'fu'pi
大黄,da'huang
大蓟,da'ji
大青叶,da'qing'ye
大血藤,da'xue'teng
大枣,da'zao
淡豆鼓,dan'dou'gu
胆南星,dan'nan'xing
丹参,dan'shen
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
刀豆,dao'dou
稻芽,dao'ya
灯心草,deng'xin'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地黄,di'huang
地锦草,di'jin'cao
地龙,di'long
地榆,di'yu
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁香,ding'xiang
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
冬葵果,dong'kui'guo
豆蔻,dou'kou
独活,du'huo
杜仲,du'zhong
煅石膏,duan'shi'gao
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
莪术,e'zhu
儿茶,er'cha
法半夏,fa'ban'xia
番泻叶,fan'xie'ye
防风,fang'feng
防己,fang'ji
榧子,fei'zi
粉萆薢,fen'bi'xie
蜂房,feng'fang
蜂蜡,feng'la
蜂蜜,feng'mi
佛手,fo'shou
茯苓,fu'ling
覆盆子,fu'pen'zi
浮萍,fu'ping
附子,fu'zi
甘草,gan'cao
干姜,gan'jiang
干漆,gan'qi
甘松,gan'song
甘遂,gan'sui
藁本,gao'ben
