阿尔比长仪,a'er'bi'chang'yi
爱因斯坦天文台,ai'yin'si'tan'tian'wen'tai
氨钟,an'zhong
叉式装置,cha'shi'zhuang'zhi
赤道仪,chi'dao'yi
赤道装置,chi'dao'zhuang'zhi
磁象仪,ci'xiang'yi
导星镜,dao'xing'jing
导星装置,dao'xing'zhuang'zhi
德国式装置,de'guo'shi'zhuang'zhi
等高仪,deng'gao'yi
等值焦距,deng'zhi'jiao'ju
底片雾,di'pian'wu
地平装置,di'ping'zhuang'zhi
电荷藕合器件,dian'he'ou'he'qi'jian
电子照相机,dian'zi'zhao'xiang'ji
定日镜,ding'ri'jing
定天镜,ding'tian'jing
定向光栅,ding'xiang'guang'shan
定星镜,ding'xing'jing
多镜面望远镜,duo'jing'mian'wang'yuan'jing
多目标摄谱仪,duo'mu'biao'she'pu'yi
多目标望远镜,duo'mu'biao'wang'yuan'jing
轭式装置,e'shi'zhuang'zhi
反射镜,fan'she'jing
分流直象管,fen'liu'zhi'xiang'guan
分子钟,fen'zi'zhong
浮动天顶仪,fu'dong'tian'ding'yi
副镜,fu'jing
改进英国式装置,gai'jin'ying'guo'shi'zhuang'zhi
改正镜,gai'zheng'jing
干涉偏振滤光器,gan'she'pian'zhen'lv'guang'qi
哥伯尼卫星,ge'bo'ni'wei'xing
光电等高仪,guang'dian'deng'gao'yi
光阑光径,guang'lan'guang'jing
光申中星仪,guang'shen'zhong'xing'yi
光瞳光度计,guang'tong'guang'du'ji
光学望远镜,guang'xue'wang'yuan'jing
光子计数,guang'zi'ji'shu
轨道森十字,gui'dao'sen'shi'zi
轨道太阳观测台,gui'dao'tai'yang'guan'ce'tai
轨道天文台,gui'dao'tian'wen'tai
鬼象,gui'xiang
哈特曼检验,ha'te'man'jian'yan
海尔望远镜,hai'er'wang'yuan'jing
恒星钟,heng'xing'zhong
红外滤光器,hong'wai'lv'guang'qi
红外望远镜,hong'wai'wang'yuan'jing
记时仪,ji'shi'yi
伽利略望远镜,jia'li'lue'wang'yuan'jing
较差弯沉,jiao'cha'wan'chen
镜室,jing'shi
绝钟,jue'zhong
卡氏焦点,ka'shi'jiao'dian
开普勒望远镜,kai'pu'le'wang'yuan'jing
连续孔径,lian'xu'kong'jing
露罩,lu'zhao
掠射望远镜,lue'she'wang'yuan'jing
米尔斯十字,mi'er'si'shi'zi
敏化,min'hua
牛顿焦点,niu'dun'jiao'dian
牛顿望远镜,niu'dun'wang'yuan'jing
抛物面镜,pao'wu'mian'jing
抛物面天线,pao'wu'mian'tian'xian
拼合镜面望远镜,pin'he'jing'mian'wang'yuan'jing
平衡重,ping'heng'zhong
齐明系统,qi'ming'xi'tong
气钟,qi'zhong
日冕仪,ri'mian'yi
铷钟,ru'zhong
色球望远镜,se'qiu'wang'yuan'jing
栅棱,shan'leng
闪视比较仪,shan'shi'bi'jiao'yi
甚长基线干涉仪,shen'chang'ji'xian'gan'she'yi
甚大阵,shen'da'zhen
施密特改正镜,shi'mi'te'gai'zheng'jing
施密特望远镜,shi'mi'te'wang'yuan'jing
施密特照相机,shi'mi'te'zhao'xiang'ji
视向速度仪,shi'xiang'su'du'yi
双筒天体照相仪,shuang'tong'tian'ti'zhao'xiang'yi
水平子午环,shui'ping'zi'wu'huan
缩焦器,suo'jiao'qi
塔式望远镜,ta'shi'wang'yuan'jing
太阳单色光照相,tai'yang'dan'se'guang'zhao'xiang
太阳塔,tai'yang'ta
太阳望远镜,tai'yang'wang'yuan'jing
天顶仪,tian'ding'yi
天空实验室,tian'kong'shi'yan'shi
天体摄谱仪,tian'ti'she'pu'yi
天体照相仪,tian'ti'zhao'xiang'yi
天文底片,tian'wen'di'pian
天文望远镜,tian'wen'wang'yuan'jing
天象仪,tian'xiang'yi
图象数字仪,tu'xiang'shu'zi'yi
弯月形透镜,wan'yue'xing'tou'jing
微晶玻璃,wei'jing'bo'li
物端棱镜,wu'duan'leng'jing
无缝摄影仪,wu'feng'she'ying'yi
象变器,xiang'bian'qi
象营,xiang'ying
星象切分器,xing'xiang'qie'fen'qi
巡天照相机,xun'tian'zhao'xiang'ji
依巴谷卫星,yi'ba'gu'wei'xing
银嵌镜面望远镜,yin'qian'jing'mian'wang'yuan'jing
英国式装置,ying'guo'shi'zhuang'zhi
有效孔径,you'xiao'kong'jing
圆顶室,yuan'ding'shi
原子钟,yuan'zi'zhong
照相垂直环,zhao'xiang'chui'zhi'huan
照相天顶筒,zhao'xiang'tian'ding'tong
照准标,zhao'zhun'biao
折反射望远镜,zhe'fan'she'wang'yuan'jing
折射望远镜,zhe'she'wang'yuan'jing
折轴交点,zhe'zhou'jiao'dian
中星仪,zhong'xing'yi
主焦点,zhu'jiao'dian
主镜,zhu'jing
自动导星装置,zi'dong'dao'xing'zhuang'zhi
紫外望远镜,zi'wai'wang'yuan'jing
自由号卫星,zi'you'hao'wei'xing
自转综合孔径,zi'zhuan'zong'he'kong'jing
综合孔径,zong'he'kong'jing
组合太阳望远镜,zu'he'tai'yang'wang'yuan'jing
坐标量度仪,zuo'biao'liang'du'yi
