白玉,bai'yu
白云石,bai'yun'shi
贝壳,bei'ke
碧玺,bi'xi
变石,bian'shi
变石猫眼,bian'shi'mao'yan
玻璃,bo'li
玻璃陨石,bo'li'yun'shi
查罗石,cha'luo'shi
长石,chang'shi
辰砂,chen'sha
赤铁矿,chi'tie'kuang
翠榴石,cui'liu'shi
大理石,da'li'shi
玳瑁,dai'mao
淡水养殖珍珠,dan'shui'yang'zhi'zhen'zhu
淡水珍珠,dan'shui'zhen'zhu
地开石,di'kai'shi
东陵石,dong'ling'shi
独山玉,du'shan'yu
方钠石,fang'na'shi
方柱石,fang'zhu'shi
翡翠,fei'cui
芙蓉石,fu'rong'shi
钆镓榴石,ga'jia'liu'shi
钙铬榴石,gai'ge'liu'shi
钙铝榴石,gai'lv'liu'shi
钙铁榴石,gai'tie'liu'shi
橄榄石,gan'lan'shi
高岭石,gao'ling'shi
锆石,gao'shi
硅化木,gui'hua'mu
龟甲,gui'jia
硅孔雀石,gui'kong'que'shi
硅硼钙石,gui'peng'gai'shi
贵珊瑚,gui'shan'hu
海蓝宝石,hai'lan'bao'shi
海水养殖珍珠,hai'shui'yang'zhi'zhen'zhu
海水珍珠,hai'shui'zhen'zhu
合成变石,he'cheng'bian'shi
合成红宝石,he'cheng'hong'bao'shi
合成黄晶,he'cheng'huang'jing
合成尖晶石,he'cheng'jian'jing'shi
合成金红石,he'cheng'jin'hong'shi
合成金绿宝石,he'cheng'jin'lv'bao'shi
合成蓝宝石,he'cheng'lan'bao'shi
合成立方氧化锆,he'cheng'li'fang'yang'hua'gao
合成绿水晶,he'cheng'lv'shui'jing
合成绿松石,he'cheng'lv'song'shi
合成绿柱石,he'cheng'lv'zhu'shi
合成水晶,he'cheng'shui'jing
合成碳硅石,he'cheng'tan'gui'shi
合成烟晶,he'cheng'yan'jing
合成紫晶,he'cheng'zi'jing
合成祖母绿,he'cheng'zu'mu'lv
合成钻石,he'cheng'zuan'shi
褐煤,he'mei
和田玉,he'tian'yu
黑榴石,hei'liu'shi
黑欧泊,hei'ou'bo
黑曜岩,hei'yao'yan
红宝石,hong'bao'shi
虎睛石,hu'jing'shi
琥珀,hu'po
滑石,hua'shi
黄晶,huang'jing
辉石,hui'shi
火欧泊,huo'ou'bo
火山玻璃,huo'shan'bo'li
鸡血石,ji'xue'shi
尖晶石,jian'jing'shi
金绿宝石,jin'lv'bao'shi
堇青石,jin'qing'shi
京粉玉,jing'fen'yu
孔雀石,kong'que'shi
拉长石,la'chang'shi
蓝宝石,lan'bao'shi
蓝田玉,lan'tian'yu
锂辉石,li'hui'shi
磷灰石,lin'hui'shi
菱锰矿,ling'meng'kuang
菱锌矿,ling'xin'kuang
绿帘石,lv'lian'shi
绿水晶,lv'shui'jing
绿松石,lv'song'shi
绿柱石,lv'zhu'shi
玛瑙,ma'nao
猫眼,mao'yan
煤精,mei'jing
镁铝榴石,mei'lv'liu'shi
锰铝榴石,meng'lv'liu'shi
木变石,mu'bian'shi
钠长石玉,na'chang'shi'yu
欧泊,ou'bo
葡萄石,pu'tao'shi
普通辉石,pu'tong'hui'shi
羟硅硼钙石,qiang'gui'peng'gai'shi
蔷薇辉石,qiang'wei'hui'shi
青白玉,qing'bai'yu
青金石,qing'jin'shi
青田石,qing'tian'shi
青玉,qing'yu
人造钆镓榴石,ren'zao'ga'jia'liu'shi
人造钛酸锶,ren'zao'tai'suan'si
人造钇铝榴石,ren'zao'yi'lv'liu'shi
日光石,ri'guang'shi
软玉,ruan'yu
珊瑚,shan'hu
闪石玉,shan'shi'yu
蛇纹石,she'wen'shi
石榴石,shi'liu'shi
石英,shi'ying
石英岩,shi'ying'yan
寿山石,shou'shan'shi
水钙铝榴石,shui'gai'lv'liu'shi
水晶,shui'jing
塑料,su'liao
钛酸锶,tai'suan'si
坦桑石,tan'sang'shi
天河石,tian'he'shi
田黄,tian'huang
天然玻璃,tian'ran'bo'li
天然淡水珍珠,tian'ran'dan'shui'zhen'zhu
天然海水珍珠,tian'ran'hai'shui'zhen'zhu
天然珍珠,tian'ran'zhen'zhu
铁铝榴石,tie'lv'liu'shi
透辉石,tou'hui'shi
托帕石,tuo'pa'shi
顽火辉石,wan'huo'hui'shi
象牙,xiang'ya
榍石,xie'shi
岫玉,xiu'yu
烟晶,yan'jing
阳起石,yang'qi'shi
养殖珍珠,yang'zhi'zhen'zhu
叶蜡石,ye'la'shi
钇铝榴石,yi'lv'liu'shi
萤石,ying'shi
鹰眼石,ying'yan'shi
黝帘石,you'lian'shi
玉髓,yu'sui
月光石,yue'guang'shi
珍珠,zhen'zhu
珍珠陶土,zhen'zhu'tao'tu
柱晶石,zhu'jing'shi
紫晶,zi'jing
祖母绿,zu'mu'lv
钻石,zuan'shi
