安业,an'ye
八掌溪,ba'zhang'xi
白河水库,bai'he'shui'ku
白河镇,bai'he'zhen
保安村,bao'an'cun
北寮,bei'liao
北门,bei'men
菜寮,cai'liao
草山,cao'shan
大安里,da'an'li
大厝,da'cuo
大丰里,da'feng'li
大坑尾,da'keng'wei
大坪,da'ping
大崎,da'qi
大潭村,da'tan'cun
大屯村,da'tun'cun
大湾,da'wan
大溪,da'xi
大营村,da'ying'cun
堤塘,di'tang
顶安村,ding'an'cun
顶窝,ding'wo
东河,dong'he
东山,dong'shan
二埔,er'pu
孤山,gu'shan
关庙,guan'miao
关山村,guan'shan'cun
官田,guan'tian
广山村,guang'shan'cun
龟丹,gui'dan
龟洞,gui'dong
归仁,gui'ren
海寮,hai'liao
河东里,he'dong'li
横路,heng'lu
后壁,hou'bi
后港,hou'gang
后营,hou'ying
佳里镇,jia'li'zhen
锦湖村,jin'hu'cun
科里,ke'li
林子边,lin'zi'bian
领顶,ling'ding
六双,liu'shuang
柳营,liu'ying
龙安村,long'an'cun
隆田,long'tian
麻豆镇,ma'dou'zhen
妈庙村,ma'miao'cun
马沙沟,ma'sha'gou
茅埔,mao'pu
密枝,mi'zhi
木瓜坑,mu'gua'keng
南保村,nan'bao'cun
南化,nan'hua
南廊,nan'lang
南寮,nan'liao
楠西,nan'xi
平安村,ping'an'cun
平林,ping'lin
七股,qi'gu
青山,qing'shan
仁德,ren'de
日新,ri'xin
沙仑,sha'lun
珊瑚潭,shan'hu'tan
善化镇,shan'hua'zhen
山上,shan'shang
上帝庙,shang'di'miao
深坑村,shen'keng'cun
神农村,shen'nong'cun
双春村,shuang'chun'cun
苏厝,su'cuo
台南县,tai'nan'xian
太子村,tai'zi'cun
太子宫,tai'zi'gong
潭顶,tan'ding
田厝村,tian'cuo'cun
田寮,tian'liao
铁线桥,tie'xian'qiao
头社,tou'she
望明,wang'ming
乌山脚,wu'shan'jiao
乌树村,wu'shu'cun
乌头,wu'tou
西港,xi'gang
西埔村,xi'pu'cun
下山村,xia'shan'cun
下营,xia'ying
香蕉山,xiang'jiao'shan
新化镇,xin'hua'zhen
新市,xin'shi
新围,xin'wei
旭山村,xu'shan'cun
学甲镇,xue'jia'zhen
盐水镇,yan'shui'zhen
盐行村,yan'xing'cun
永吉村,yong'ji'cun
永康,yong'kang
玉井,yu'jing
曾文溪,zeng'wen'xi
郑成功庙,zheng'cheng'gong'miao
中坑,zhong'keng
中社,zhong'she
中营,zhong'ying
中洲,zhong'zhou
竹巷村,zhu'xiang'cun
竹新村,zhu'xin'cun
竹子门,zhu'zi'men
左镇,zuo'zhen
