暗伤人,an'shang'ren
暗思想,an'si'xiang
嗷嗷叫,ao'ao'jiao
八百冬,ba'bai'dong
把病生,ba'bing'sheng
把病装,ba'bing'zhuang
把腚光,ba'ding'guang
把饭餐,ba'fan'can
把官做,ba'guan'zuo
把话发,ba'hua'fa
把话讲,ba'hua'jiang
把话来提,ba'hua'lai'ti
把话明,ba'hua'ming
把话谈,ba'hua'tan
把话学,ba'hua'xue
把话言,ba'hua'yan
把话云,ba'hua'yun
把婚订,ba'hun'ding
把嗑唠,ba'ke'lao
把脸翻,ba'lian'fan
把路行,ba'lu'xing
把门登,ba'men'deng
把命偿,ba'ming'chang
把名添,ba'ming'tian
把你帮,ba'ni'bang
把你搀,ba'ni'chan
把你来怨,ba'ni'lai'yuan
把奴扔,ba'nu'reng
把亲成,ba'qin'cheng
把人欺,ba'ren'qi
把山下,ba'shan'xia
把身安,ba'shen'an
把身存,ba'shen'cun
把身容,ba'shen'rong
把誓明,ba'shi'ming
把书攻,ba'shu'gong
巴书念,ba'shu'nian
把头点,ba'tou'dian
把头叩,ba'tou'kou
把我诓,ba'wo'kuang
把屋进,ba'wu'jin
把心变,ba'xin'bian
把眼翻,ba'yan'fan
把眼睁,ba'yan'zheng
把阳还,ba'yang'hai
把咱帮,ba'zan'bang
把阵叫,ba'zhen'jiao
拜花灯,bai'hua'deng
拜花堂,bai'hua'tang
百两银,bai'liang'yin
拜上,bai'shang
摆宴席,bai'yan'xi
半毫分,ban'hao'fen
半年整,ban'nian'zheng
半日工,ban'ri'gong
半文铜,ban'wen'tong
暴病生,bao'bing'sheng
保朝人,bao'chao'ren
报仇冤,bao'chou'yuan
保大唐,bao'da'tang
薄底,bao'di
宝雕弓,bao'diao'gong
保江山,bao'jiang'shan
保民安,bao'min'an
保宋人,bao'song'ren
保太平,bao'tai'ping
保唐人,bao'tang'ren
报一声,bao'yi'sheng
报冤屈,bao'yuan'qu
被火焚,bei'huo'fen
奔深山,ben'shen'shan
奔四方,ben'si'fang
比个真,bi'ge'zhen
汴梁地,bian'liang'di
变人形,bian'ren'xing
表一表,biao'yi'biao
表一番,biao'yi'fan
表衷肠,biao'zhong'chang
别搭腔,bie'da'qiang
别的法,bie'de'fa
别的事,bie'de'shi
别瞒藏,bie'man'cang
别耍蛮,bie'shua'man
别吱声,bie'zi'sheng
病染黄泉,bing'ran'huang'quan
剥他皮,bo'ta'pi
卜一卦,bo'yi'gua
不安宁,bu'an'ning
不安然,bu'an'ran
不安神,bu'an'shen
不怠慢,bu'dai'man
不当人,bu'dang'ren
不得中,bu'de'zhong
不多一时,bu'duo'yi'shi
不费功,bu'fei'gong
不分离,bu'fen'li
不服软,bu'fu'ruan
不敢担,bu'gan'dan
不见天,bu'jian'tian
不能容,bu'neng'rong
不认亲,bu'ren'qin
不随心,bu'sui'xin
不太平,bu'tai'ping
不为别的事,bu'wei'bie'de'shi
不相应,bu'xiang'ying
不孝男,bu'xiao'nan
不消停,bu'xiao'ting
不消闲,bu'xiao'xian
不一般,bu'yi'ban
不用人说知道了,bu'yong'ren'shuo'zhi'dao'le
不忠不贤,bu'zhong'bu'xian
不中听,bu'zhong'ting
不住声,bu'zhu'sheng
不作声,bu'zuo'sheng
才心安,cai'xin'an
草棵中,cao'ke'zhong
草青青,cao'qing'qing
差了声,cha'le'sheng
产后风,chan'hou'feng
长安地,chang'an'di
唱汴梁,chang'bian'liang
唱不穷,chang'bu'qiong
尝尝鲜,chang'chang'xian
唱到此,chang'dao'ci
唱的欢,chang'de'huan
唱佳音,chang'jia'yin
唱一段,chang'yi'duan
常有的,chang'you'de
陈世美,chen'shi'mei
成婚配,cheng'hun'pei
程咬金,cheng'yao'jin
逞英豪,cheng'ying'hao
吃一惊,chi'yi'jing
冲冲怒,chong'chong'nu
臭名扬,chou'ming'yang
出店房,chu'dian'fang
厨房下,chu'fang'xia
出火坑,chu'huo'keng
出门庭,chu'men'ting
传佳话,chuan'jia'hua
传留,chuan'liu
穿庙堂,chuan'miao'tang
穿身中,chuan'shen'zhong
传圣旨,chuan'sheng'zhi
传旨官,chuan'zhi'guan
从天降,cong'tian'jiang
崔莺莺,cui'ying'ying
大比年,da'bi'nian
大比之年,da'bi'zhi'nian
大恩情,da'en'qing
打法你,da'fa'ni
打法我,da'fa'wo
打个滚,da'ge'gun
打个冷战,da'ge'leng'zhan
大话云,da'hua'yun
打激淋,da'ji'lin
打金枝,da'jin'zhi
大面瓜,da'mian'gua
大山林,da'shan'lin
搭上言,da'shang'yan
大宋忠臣,da'song'zhong'chen
打算盘,da'suan'pan
大唐忠臣,da'tang'zhong'chen
打战表,da'zhan'biao
打颤颤,da'zhan'chan
带上堂,dai'shang'tang
当差官,dang'chai'guan
当总兵,dang'zong'bing
到汴梁,dao'bian'liang
到大厅,dao'da'ting
到家门,dao'jia'men
倒叫,dao'jiao
到如今,dao'ru'jin
到天边,dao'tian'bian
到天明,dao'tian'ming
到阵前,dao'zhen'qian
得得颤,de'de'chan
得了第,de'liao'di
得了好,de'liao'hao
得身安,de'shen'an
得知情,de'zhi'qing
