氨二泵,an'er'beng
氨二泥,an'er'ni
氨二泥桶,an'er'ni'tong
氨二泥压榨机,an'er'ni'ya'zha'ji
氨分,an'fen
氨分离器,an'fen'li'qi
氨分器,an'fen'qi
氨罐,an'guan
氨冷,an'leng
氨冷器,an'leng'qi
氨母液,an'mu'ye
氨母液二泥泵,an'mu'ye'er'ni'beng
氨母液二桶,an'mu'ye'er'tong
安全栅柜,an'quan'shan'gui
氨吸收冷却器,an'xi'shou'leng'que'qi
氨液分离器,an'ye'fen'li'qi
板换,ban'huan
半贫液,ban'pin'ye
半贫液泵,ban'pin'ye'beng
半贫液水冷器,ban'pin'ye'shui'leng'qi
板式换热器,ban'shi'huan're'qi
保护蒸汽,bao'hu'zheng'qi
包装,bao'zhuang
包装车间,bao'zhuang'che'jian
包装机,bao'zhuang'ji
备品备件,bei'pin'bei'jian
备用泵,bei'yong'beng
备用阀,bei'yong'fa
变换炉,bian'huan'lu
冰机,bing'ji
波浪型板式输送机,bo'lang'xing'ban'shi'shu'song'ji
补充气,bu'chong'qi
补充气氨冷器,bu'chong'qi'an'leng'qi
补充水氨冷器,bu'chong'shui'an'leng'qi
布袋除尘器,bu'dai'chu'chen'qi
采购部,cai'gou'bu
采样,cai'yang
仓壁振动器,cang'bi'zhen'dong'qi
差压变送器,cha'ya'bian'song'qi
超滤,chao'lv
超滤水箱,chao'lv'shui'xiang
超滤增压泵,chao'lv'zeng'ya'beng
超压,chao'ya
超正压,chao'zheng'ya
车间主任,che'jian'zhu'ren
沉淀泵,chen'dian'beng
成本部,cheng'ben'bu
成本核算部,cheng'ben'he'suan'bu
驰放气,chi'fang'qi
驰放气氨吸收塔,chi'fang'qi'an'xi'shou'ta
驰放气分离器,chi'fang'qi'fen'li'qi
驰放气加热器,chi'fang'qi'jia're'qi
稠厚器,chou'hou'qi
出碱槽,chu'jian'cao
出碱调节阀,chu'jian'tiao'jie'fa
出口阀,chu'kou'fa
出口流量,chu'kou'liu'liang
出口压力,chu'kou'ya'li
出料阀,chu'liao'fa
触媒层,chu'mei'ceng
储水槽,chu'shui'cao
串碱,chuan'jian
串碱螺旋输送机,chuan'jian'luo'xuan'shu'song'ji
袋除,dai'chu
袋式除尘器,dai'shi'chu'chen'qi
氮二段,dan'er'duan
氮气缓冲罐,dan'qi'huan'chong'guan
氮气压力贮罐,dan'qi'ya'li'zhu'guan
氮气压缩机,dan'qi'ya'suo'ji
氮三段,dan'san'duan
