忏绝望先生,chan'jue'wang'xian'sheng
超能力大战,chao'neng'li'da'zhan
川之光,chuan'zhi'guang
大正野球娘,da'zheng'ye'qiu'niang
东京地震级,dong'jing'di'zhen'ji
孵蛋萝莉,fu'dan'luo'li
公主恋人,gong'zhu'lian'ren
国拟人第期,guo'ni'ren'di'qi
海猫鸣泣之时,hai'mao'ming'qi'zhi'shi
海物语你的存在,hai'wu'yu'ni'de'cun'zai
化物语,hua'wu'yu
加奈日记,jia'nai'ri'ji
迦南,jia'nan
简单易懂的现代魔法,jian'dan'yi'dong'de'xian'dai'mo'fa
来来猫,lai'lai'mao
蓝花,lan'hua
浪漫追星社,lang'man'zhui'xing'she
狼与香辛料,lang'yu'xiang'xin'liao
铃三太郎,ling'san'tai'lang
魔力充电娘,mo'li'chong'dian'niang
青之花,qing'zhi'hua
艺术科美术设计班,yi'shu'ke'mei'shu'she'ji'ban
元素猎人,yuan'su'lie'ren
