阿里山小鲵,a'li'shan'xiao'ni
安徽疣螈,an'hui'you'yuan
安吉小鲵,an'ji'xiao'ni
版纳鱼螈,ban'na'yu'yuan
北鲵属,bei'ni'shu
秉志肥螈,bing'zhi'fei'yuan
潮汕蝾螈,chao'shan'rong'yuan
呈贡蝾螈,cheng'gong'rong'yuan
橙脊瘰螈,cheng'ji'luo'yuan
楚南小鲵,chu'nan'xiao'ni
川南疣螈,chuan'nan'you'yuan
大别瑶螈,da'bie'yao'yuan
大别疣螈,da'bie'you'yuan
大凉螈,da'liang'yuan
大凉螈属,da'liang'yuan'shu
大鲵,da'ni
滇南疣螈,dian'nan'you'yuan
滇螈,dian'yuan
滇螈属,dian'yuan'shu
东北小鲵,dong'bei'xiao'ni
东方蝾螈潜山亚种,dong'fang'rong'yuan'qian'shan'ya'zhong
东方蝾螈指名亚种,dong'fang'rong'yuan'zhi'ming'ya'zhong
肥鲵属,fei'ni'shu
费氏肥螈,fei'shi'fei'yuan
肥螈属,fei'yuan'shu
福鼎蝾螈,fu'ding'rong'yuan
富钟瘰螈,fu'zhong'luo'yuan
高山棘螈,gao'shan'ji'yuan
弓斑肥螈,gong'ban'fei'yuan
挂榜山小鲵,gua'bang'shan'xiao'ni
观雾小鲵,guan'wu'xiao'ni
广西瘰螈,guang'xi'luo'yuan
贵州拟小鲵,gui'zhou'ni'xiao'ni
贵州疣螈,gui'zhou'you'yuan
海南瑶螈,hai'nan'yao'yuan
海南疣螈,hai'nan'you'yuan
黑斑肥螈,hei'ban'fei'yuan
红瘰疣螈,hong'luo'you'yuan
黄斑拟小鲵,huang'ban'ni'xiao'ni
灰蓝蝾螈,hui'lan'rong'yuan
极北鲵,ji'bei'ni
极北鲵属,ji'bei'ni'shu
吉林爪鲵,ji'lin'zhao'ni
棘螈属,ji'yuan'shu
金佛拟小鲵,jin'fo'ni'xiao'ni
宽脊瑶螈,kuan'ji'yao'yuan
宽脊疣螈,kuan'ji'you'yuan
宽阔水拟小鲵,kuan'kuo'shui'ni'xiao'ni
蓝尾蝾螈楚雄亚种,lan'wei'rong'yuan'chu'xiong'ya'zhong
蓝尾蝾螈指名亚种,lan'wei'rong'yuan'zhi'ming'ya'zhong
丽色疣螈,li'se'you'yuan
辽宁爪鲵,liao'ning'zhao'ni
琉球棘螈,liu'qiu'ji'yuan
龙洞山溪鲵,long'dong'shan'xi'ni
龙里瘰螈,long'li'luo'yuan
瘰螈属,luo'yuan'shu
莽山瑶螈,mang'shan'yao'yuan
莽山疣螈,mang'shan'you'yuan
猫儿山小鲵,mao'er'shan'xiao'ni
茂兰瘰螈,mao'lan'luo'yuan
莫氏肥螈,mo'shi'fei'yuan
南湖小鲵,nan'hu'xiao'ni
拟小鲵属,ni'xiao'ni'shu
普雄原鲵,pu'xiong'yuan'ni
秦巴巴鲵,qin'ba'ba'ni
秦巴拟小鲵,qin'ba'ni'xiao'ni
蝾螈科,rong'yuan'ke
蝾螈属,rong'yuan'shu
蝾螈亚目,rong'yuan'ya'mu
弱唇褶山溪鲵,ruo'chun'zhe'shan'xi'ni
山溪鲵,shan'xi'ni
山溪鲵属,shan'xi'ni'shu
商城肥鲵,shang'cheng'fei'ni
水城拟小鲵,shui'cheng'ni'xiao'ni
台湾小鲵,tai'wan'xiao'ni
尾斑瘰螈,wei'ban'luo'yuan
文县瑶螈,wen'xian'yao'yuan
无斑瘰螈,wu'ban'luo'yuan
巫山北鲵,wu'shan'bei'ni
吴氏肥螈,wu'shi'fei'yuan
西藏山溪鲵,xi'zang'shan'xi'ni
细痣瑶螈,xi'zhi'yao'yuan
细痣疣螈,xi'zhi'you'yuan
香港瘰螈,xiang'gang'luo'yuan
小鲵科,xiao'ni'ke
小鲵属,xiao'ni'shu
新疆北鲵,xin'jiang'bei'ni
盐源山山溪鲵,yan'yuan'shan'shan'xi'ni
瑶山肥螈,yao'shan'fei'yuan
瑶螈属,yao'yuan'shu
义乌小鲵,yi'wu'xiao'ni
隐鳃鲵科,yin'sai'ni'ke
隐鳃鲵亚目,yin'sai'ni'ya'mu
蚓螈目,yin'yuan'mu
疣螈属,you'yuan'shu
鱼螈科,yu'yuan'ke
鱼螈属,yu'yuan'shu
原鲵属,yuan'ni'shu
云雾瘰螈,yun'wu'luo'yuan
张氏肥螈,zhang'shi'fei'yuan
爪鲵属,zhao'ni'shu
镇海棘螈,zhen'hai'ji'yuan
织金瘰螈,zhi'jin'luo'yuan
中国瘰螈,zhong'guo'luo'yuan
中国小鲵,zhong'guo'xiao'ni
棕黑疣螈,zong'hei'you'yuan
