暗埋段,an'mai'duan
安全阀,an'quan'fa
安全监测系统,an'quan'jian'ce'xi'tong
安全监测诊断系统,an'quan'jian'ce'zhen'duan'xi'tong
安全性,an'quan'xing
安全余量,an'quan'yu'liang
安全运行,an'quan'yun'xing
暗挖段,an'wa'duan
凹底平车,ao'di'ping'che
凹形,ao'xing
凹形地板,ao'xing'di'ban
摆门,bai'men
摆式,bai'shi
摆式动车组,bai'shi'dong'che'zu
摆式国体客车,bai'shi'guo'ti'ke'che
半体悬式悬挂,ban'ti'xuan'shi'xuan'gua
半悬挂式,ban'xuan'gua'shi
半循环式,ban'xun'huan'shi
半循环式短交路,ban'xun'huan'shi'duan'jiao'lu
半循环运转制,ban'xun'huan'yun'zhuan'zhi
半圆形,ban'yuan'xing
傍山隧道,bang'shan'sui'dao
包乘,bao'cheng
宝成线,bao'cheng'xian
包乘制,bao'cheng'zhi
包乘组,bao'cheng'zu
保护继电器,bao'hu'ji'dian'qi
包间,bao'jian
报警主机,bao'jing'zhu'ji
爆破,bao'po
保温车,bao'wen'che
北海号,bei'hai'hao
北京铁路局,bei'jing'tie'lu'ju
北亚号,bei'ya'hao
泵轮,beng'lun
避车洞,bi'che'dong
闭路电视,bi'lu'dian'shi
避人洞,bi'ren'dong
闭式,bi'shi
闭式高温冷却水系统,bi'shi'gao'wen'leng'que'shui'xi'tong
闭式水循环系统,bi'shi'shui'xun'huan'xi'tong
闭锁式变矩器,bi'suo'shi'bian'ju'qi
边盖,bian'gai
扁管肋片式,bian'guan'lei'pian'shi
变矩比,bian'ju'bi
变矩器,bian'ju'qi
变流器,bian'liu'qi
变扭箱,bian'niu'xiang
边墙,bian'qiang
变速箱,bian'su'xiang
扁铜管,bian'tong'guan
编组,bian'zu
编组模式,bian'zu'mo'shi
标定工况,biao'ding'gong'kuang
标记,biao'ji
标准轨,biao'zhun'gui
波滤网,bo'lv'wang
播音间,bo'yin'jian
补机,bu'ji
补机交路,bu'ji'jiao'lu
补机推送方式,bu'ji'tui'song'fang'shi
不可控,bu'ke'kong
不可调节式,bu'ke'tiao'jie'shi
部统型板式电加热器,bu'tong'xing'ban'shi'dian'jia're'qi
不稳定工况,bu'wen'ding'gong'kuang
补助装置,bu'zhu'zhuang'zhi
采暖,cai'nuan
采暖型式,cai'nuan'xing'shi
餐车,can'che
餐车定员,can'che'ding'yuan
槽形,cao'xing
操纵室,cao'zong'shi
操纵台,cao'zong'tai
操作指令,cao'zuo'zhi'ling
侧百叶窗,ce'bai'ye'chuang
侧壁,ce'bi
侧护板,ce'hu'ban
侧门,ce'men
侧墙,ce'qiang
厕所,ce'suo
侧向力,ce'xiang'li
侧向移动,ce'xiang'yi'dong
侧移装置,ce'yi'zhuang'zhi
差动继电器,cha'dong'ji'dian'qi
差示压力计,cha'shi'ya'li'ji
柴油发电机组,chai'you'fa'dian'ji'zu
柴油机,chai'you'ji
柴油机底壳,chai'you'ji'di'ke
柴油机压缩比,chai'you'ji'ya'suo'bi
柴油机转速,chai'you'ji'zhuan'su
长白山号,chang'bai'shan'hao
长编组,chang'bian'zu
敞车,chang'che
长春轨道客车,chang'chun'gui'dao'ke'che
长春客车厂,chang'chun'ke'che'chang
长钢轨,chang'gang'gui
长钢轨车,chang'gang'gui'che
长毂,chang'gu
长毂轮心,chang'gu'lun'xin
长交路,chang'jiao'lu
常开触头,chang'kai'chu'tou
敞口段,chang'kou'duan
长隧道,chang'sui'dao
长途列车,chang'tu'lie'che
常用制动,chang'yong'zhi'dong
超长交路,chao'chang'jiao'lu
超讯,chao'xun
超越工况,chao'yue'gong'kuang
车窗,che'chuang
车窗形式,che'chuang'xing'shi
车次,che'ci
车地板,che'di'ban
车底架,che'di'jia
车底架长度,che'di'jia'chang'du
车底架宽度,che'di'jia'kuan'du
车电,che'dian
车顶,che'ding
车顶单元式空调机组,che'ding'dan'yuan'shi'kong'tiao'ji'zu
车端阻尼装置,che'duan'zu'ni'zhuang'zhi
车耳,che'er
车钩,che'gou
车钩高,che'gou'gao
车钩缓冲装置,che'gou'huan'chong'zhuang'zhi
车号,che'hao
车机联控,che'ji'lian'kong
车辆编组,che'liang'bian'zu
车辆标记,che'liang'biao'ji
车辆长度,che'liang'chang'du
车辆定距,che'liang'ding'ju
车辆段,che'liang'duan
车辆构造,che'liang'gou'zao
车辆宽度,che'liang'kuan'du
车辆内部,che'liang'nei'bu
车辆内部设备,che'liang'nei'bu'she'bei
车辆制动机,che'liang'zhi'dong'ji
车辆制造,che'liang'zhi'zao
车辆制造能力,che'liang'zhi'zao'neng'li
车辆种类,che'liang'zhong'lei
车辆轴数,che'liang'zhou'shu
车辆周转,che'liang'zhou'zhuan
车辆自重,che'liang'zi'zhong
车列,che'lie
车轮,che'lun
车轮踏面,che'lun'ta'mian
车门,che'men
车内进气式,che'nei'jin'qi'shi
车内设备,che'nei'she'bei
车内设施,che'nei'she'shi
车墙,che'qiang
车体,che'ti
车体长,che'ti'chang
车体尺寸,che'ti'chi'cun
