博微安全,bo'wei'an'quan
博微安全电子,bo'wei'an'quan'dian'zi
曾杰,ceng'jie
超限检测系统,chao'xian'jian'ce'xi'tong
高清电子警察系统,gao'qing'dian'zi'jing'cha'xi'tong
高清治安卡口系统,gao'qing'zhi'an'ka'kou'xi'tong
合肥博微安全,he'fei'bo'wei'an'quan
合肥博微安全电子科技有限公司,he'fei'bo'wei'an'quan'dian'zi'ke'ji'you'xian'gong'si
视频检索,shi'pin'jian'suo
视频交通事件检测器,shi'pin'jiao'tong'shi'jian'jian'ce'qi
移动公交抓拍系统,yi'dong'gong'jiao'zhua'pai'xi'tong
移动警务通,yi'dong'jing'wu'tong
张威,zhang'wei
智能多目标跟踪分析系统,zhi'neng'duo'mu'biao'gen'zong'fen'xi'xi'tong
智能视频监控,zhi'neng'shi'pin'jian'kong
