巴戟,ba'ji
八角,ba'jiao
苍白,cang'bai
赤白,chi'bai
川断,chuan'duan
大云,da'yun
胆草,dan'cao
刀豆,dao'dou
地骨,di'gu
丁香,ding'xiang
冬花,dong'hua
儿茶,er'cha
二地,er'di
二花,er'hua
二芽,er'ya
甘麦玄桔汤,gan'mai'xuan'ju'tang
葛合,ge'he
公英,gong'ying
谷精,gu'jing
故纸,gu'zhi
瓜壳,gua'ke
瓜玉,gua'yu
海蛸,hai'xiao
酒芍,jiu'shao
九香虫,jiu'xiang'chong
桔核,ju'he
荔核,li'he
灵仙,ling'xian
六角亭,liu'jiao'ting
龙牡,long'mu
马兰根,ma'lan'gen
麻仁,ma'ren
蔓荆,man'jing
内金,nei'jin
前仁,qian'ren
全瓜,quan'gua
乳没,ru'mei
三仙,san'xian
桑皮,sang'pi
桑蛸,sang'xiao
砂木,sha'mu
蛇草,she'cao
生内金,sheng'nei'jin
石决,shi'jue
丝子,si'zi
碎补,sui'bu
条参,tiao'can
土苓,tu'ling
菟丝,tu'si
吴青松,wu'qing'song
舞阳坝,wu'yang'ba
吴芋,wu'yu
小渡船,xiao'du'chuan
玄胡,xuan'hu
炙草,zhi'cao
