安全生产,an'quan'sheng'chan
巴氏合金,ba'shi'he'jin
白砂糖,bai'sha'tang
白砂糖产率,bai'sha'tang'chan'lv
白砂糖袋,bai'sha'tang'dai
板式加热器,ban'shi'jia're'qi
板式压滤机,ban'shi'ya'lv'ji
绑甘蔗,bang'gan'zhe
绑蔗,bang'zhe
饱充,bao'chong
饱充罐,bao'chong'guan
饱充回流泵,bao'chong'hui'liu'beng
被动轮,bei'dong'lun
背压,bei'ya
泵轴,beng'zhou
并炉,bing'lu
丙糖,bing'tang
冰糖,bing'tang
丙糖膏,bing'tang'gao
丙糖糊,bing'tang'hu
并网,bing'wang
捕汁器,bu'zhi'qi
侧盖,ce'gai
查定,cha'ding
铲车,chan'che
产糖率,chan'tang'lv
车间,che'jian
沉降,chen'jiang
沉降器,chen'jiang'qi
澄清,cheng'qing
成糖,cheng'tang
称蔗台,cheng'zhe'tai
赤砂糖,chi'sha'tang
冲罐,chong'guan
冲甑,chong'zeng
冲甑工,chong'zeng'gong
抽出率,chou'chu'lv
抽蜜,chou'mi
抽汁汽,chou'zhi'qi
抽种,chou'zhong
除尘器,chu'chen'qi
初混汁,chu'hun'zhi
除皮,chu'pi
初压汁,chu'ya'zhi
除渣清灰剂,chu'zha'qing'hui'ji
出汁槽,chu'zhi'cao
串水串汽,chuan'shui'chuan'qi
串轴,chuan'zhou
串助滤剂,chuan'zhu'lv'ji
锤度,chui'du
吹管,chui'guan
纯度差,chun'du'cha
粗糖浆,cu'tang'jiang
打包间,da'bao'jian
打码机,da'ma'ji
打水,da'shui
打水温度,da'shui'wen'du
打水压力,da'shui'ya'li
大糖斗,da'tang'dou
待料,dai'liao
待箱,dai'xiang
单机试机,dan'ji'shi'ji
倒供,dao'gong
倒罐,dao'guan
刀片,dao'pian
倒蔗,dao'zhe
等外糖,deng'wai'tang
等外糖袋,deng'wai'tang'dai
地磅,di'bang
底梳,di'shu
底网,di'wang
垫板,dian'ban
电排,dian'pai
电修,dian'xiu
吊车,diao'che
吊蔗,diao'zhe
叠包带,die'bao'dai
叠蔗,die'zhe
顶磅,ding'bang
顶辊,ding'gun
顶笼,ding'long
