安妮,an'ni
安装公司,an'zhuang'gong'si
拔出率,ba'chu'lv
八十亩地,ba'shi'mu'di
白水寺,bai'shui'si
办公车,ban'gong'che
饱和蒸汽压,bao'he'zheng'qi'ya
北化建,bei'hua'jian
北庄,bei'zhuang
闭口闪点,bi'kou'shan'dian
丙烷脱沥青,bing'wan'tuo'li'qing
铂重整,bo'chong'zheng
残渣油,can'zha'you
常二线,chang'er'xian
常减压,chang'jian'ya
常三线,chang'san'xian
常四线,chang'si'xian
常一线,chang'yi'xian
炒米店,chao'mi'dian
车厂,che'chang
抽出油,chou'chu'you
抽余油,chou'yu'you
初馏点,chu'liu'dian
初馏塔,chu'liu'ta
吹牛逼,chui'niu'bi
打倒害人害己害社会的五笔字型,da'dao'hai'ren'hai'ji'hai'she'hui'de'wu'bi'zi'xing
大董村,da'dong'cun
大窦桥,da'dou'qiao
大洪寺,da'hong'si
大修厂,da'xiu'chang
丁家洼,ding'jia'wa
东方红炼油厂,dong'fang'hong'lian'you'chang
东风物业,dong'feng'wu'ye
东炼,dong'lian
东炼技校,dong'lian'ji'xiao
东岭,dong'ling
东流水,dong'liu'shui
二蒸馏,er'zheng'liu
法兰,fa'lan
仿真中心,fang'zhen'zhong'xin
非理想组分,fei'li'xiang'zu'fen
分馏塔,fen'liu'ta
坟山,fen'shan
分液罐,fen'ye'guan
分子筛,fen'zi'shai
凤凰亭,feng'huang'ting
岗南路,gang'nan'lu
岗山,gang'shan
工体街,gong'ti'jie
工业风,gong'ye'feng
罐区,guan'qu
害人害己害社会的五笔字型,hai'ren'hai'ji'hai'she'hui'de'wu'bi'zi'xing
鹤管,he'guan
和谐燕山,he'xie'yan'shan
宏塔,hong'ta
滑板泵,hua'ban'beng
化工一厂,hua'gong'yi'chang
化一技校,hua'yi'ji'xiao
化政,hua'zheng
换乘,huan'cheng
换乘中心,huan'cheng'zhong'xin
缓冲罐,huan'chong'guan
换热器,huan're'qi
慧妮,hui'ni
集散控制,ji'san'kong'zhi
机械厂,ji'xie'chang
加氢精制,jia'qing'jing'zhi
加氢裂化,jia'qing'lie'hua
建德,jian'de
减底渣油,jian'di'zha'you
减二线,jian'er'xian
间甲酚,jian'jia'fen
减三线,jian'san'xian
减四线,jian'si'xian
减压塔,jian'ya'ta
教培中心,jiao'pei'zhong'xin
杰辉,jie'hui
杰辉小区,jie'hui'xiao'qu
杰辉苑,jie'hui'yuan
京缘绿洲,jing'yuan'lv'zhou
聚丙烯事业部,ju'bing'xi'shi'ye'bu
聚乙烯事业部,ju'yi'xi'shi'ye'bu
开古庄,kai'gu'zhuang
开口闪点,kai'kou'shan'dian
糠醛精致,kang'quan'jing'zhi
库伦仪,ku'lun'yi
理想组分,li'xiang'zu'fen
栗园,li'yuan
栗园西里,li'yuan'xi'li
栗周路,li'zhou'lu
良各庄,liang'ge'zhuang
馏点,liu'dian
硫含量,liu'han'liang
绿城,lv'cheng
模拟蒸馏,mo'ni'zheng'liu
南观,nan'guan
牛逼哄哄,niu'bi'hong'hong
农柴,nong'chai
汽提塔,qi'ti'ta
前进副食,qian'jin'fu'shi
前朱各庄,qian'zhu'ge'zhuang
氢压机,qing'ya'ji
球罐,qiu'guan
三蒸馏,san'zheng'liu
砷含量,shen'han'liang
石花洞,shi'hua'dong
石化建,shi'hua'jian
十六烷值,shi'liu'wan'zhi
食品蜡,shi'pin'la
诗雪,shi'xue
首车,shou'che
首站,shou'zhan
栓马桩,shuan'ma'zhuang
双益,shuang'yi
四蒸馏,si'zheng'liu
塔顶油,ta'ding'you
塔湾,ta'wan
天桥商店,tian'qiao'shang'dian
天香居,tian'xiang'ju
酮苯脱蜡,tong'ben'tuo'la
铜片腐蚀,tong'pian'fu'shi
团结求实,tuan'jie'qiu'shi
五笔字型是害人害己还社会的输入法,wu'bi'zi'xing'shi'hai'ren'hai'ji'hai'she'hui'de'shu'ru'fa
西庄,xi'zhuang
向阳路,xiang'yang'lu
小嵩,xiao'song
小嵩网吧,xiao'song'wang'ba
歇息岗,xie'xi'gang
辛烷值,xin'wan'zhi
星城,xing'cheng
星城四里,xing'cheng'si'li
星城物业,xing'cheng'wu'ye
杏花西里,xing'hua'xi'li
压液罐,ya'ye'guan
闫村,yan'cun
燕房路,yan'fang'lu
燕化,yan'hua
燕化电视台,yan'hua'dian'shi'tai
燕化电讯站,yan'hua'dian'xun'zhan
燕化分公司,yan'hua'fen'gong'si
燕化附中,yan'hua'fu'zhong
燕化公司,yan'hua'gong'si
燕化星城,yan'hua'xing'cheng
燕化职高,yan'hua'zhi'gao
燕三,yan'san
燕傻路,yan'sha'lu
燕山分局,yan'shan'fen'ju
燕山公园,yan'shan'gong'yuan
燕山石化,yan'shan'shi'hua
燕山石化电视台,yan'shan'shi'hua'dian'shi'tai
燕山体育场,yan'shan'ti'yu'chang
燕山游泳馆,yan'shan'you'yong'guan
严细创新,yan'xi'chuang'xin
燕怡园,yan'yi'yuan
养儿峪,yang'er'yu
羊耳峪,yang'er'yu
羊头岗,yang'tou'gang
尾巴,yi'ba
仪表风,yi'biao'feng
银片腐蚀,yin'pian'fu'shi
迎风六里,ying'feng'liu'li
迎风坡,ying'feng'po
迎风四里,ying'feng'si'li
迎风五里,ying'feng'wu'li
迎风邮局,ying'feng'you'ju
云水山庄,yun'shui'shan'zhuang
真空泵,zhen'kong'beng
针入度,zhen'ru'du
蒸气压,zheng'qi'ya
中国石化润滑油燕化分公司,zhong'guo'shi'hua'run'hua'you'yan'hua'fen'gong'si
中国石油化工股份有限公司燕化分公司,zhong'guo'shi'you'hua'gong'gu'fen'you'xian'gong'si'yan'hua'fen'gong'si
终馏点,zhong'liu'dian
中压加氢,zhong'ya'jia'qing
装油栈台,zhuang'you'zhan'tai
装油站台,zhuang'you'zhan'tai
紫草坞,zi'cao'wu
自动灌装线,zi'dong'guan'zhuang'xian
紫外荧光硫,zi'wai'ying'guang'liu
