爆舱,bao'cang
报关,bao'guan
报关费,bao'guan'fei
报价,bao'jia
驳船,bo'chuan
仓库,cang'ku
操作,cao'zuo
操作费,cao'zuo'fei
查验,cha'yan
出口,chu'kou
船边直装,chuan'bian'zhi'zhuang
船舶信息,chuan'bo'xin'xi
船公司,chuan'gong'si
船期,chuan'qi
船证明费,chuan'zheng'ming'fei
大陆桥,da'lu'qiao
单证费,dan'zheng'fei
倒签,dao'qian
电放费,dian'fang'fei
电放提单,dian'fang'ti'dan
订舱,ding'cang
订舱费,ding'cang'fei
放行,fang'xing
封志费,feng'zhi'fei
附加费,fu'jia'fei
改单费,gai'dan'fei
改配,gai'pei
港区,gang'qu
高箱,gao'xiang
公路运输,gong'lu'yun'shu
海空联运,hai'kong'lian'yun
海铁联运,hai'tie'lian'yun
海外代理,hai'wai'dai'li
海运,hai'yun
海运费,hai'yun'fei
航程,hang'cheng
化工品,hua'gong'pin
货代公司,huo'dai'gong'si
集装箱称重费,ji'zhuang'xiang'cheng'zhong'fei
截关日,jie'guan'ri
进港,jin'gang
进港日,jin'gang'ri
进口,jin'kou
开顶箱,kai'ding'xiang
开航日,kai'hang'ri
靠泊日,kao'bo'ri
空班,kong'ban
空铁联运,kong'tie'lian'yun
空运,kong'yun
扣货,kou'huo
框架箱,kuang'jia'xiang
冷冻箱,leng'dong'xiang
漏装,lou'zhuang
码头,ma'tou
码头操作费,ma'tou'cao'zuo'fei
贸易公司,mao'yi'gong'si
门到门,men'dao'men
目的港,mu'di'gang
内陆运输,nei'lu'yun'shu
内装箱,nei'zhuang'xiang
平板箱,ping'ban'xiang
平箱,ping'xiang
普货,pu'huo
普箱,pu'xiang
起运港,qi'yun'gang
设备交接单费,she'bei'jiao'jie'dan'fei
顺签,shun'qian
私人物品,si'ren'wu'pin
坦克箱,tan'ke'xiang
特种箱,te'zhong'xiang
提单确认,ti'dan'que'ren
提单样本,ti'dan'yang'ben
提离港区,ti'li'gang'qu
提箱日,ti'xiang'ri
铁路运输,tie'lu'yun'shu
停航,ting'hang
退关,tui'guan
拖车,tuo'che
拖车公司,tuo'che'gong'si
晚开,wan'kai
危险品,wei'xian'pin
文件费,wen'jian'fei
箱单,xiang'dan
箱货信息,xiang'huo'xin'xi
小陆桥,xiao'lu'qiao
卸货港,xie'huo'gang
询价,xun'jia
油罐箱,you'guan'xiang
预配舱单,yu'pei'cang'dan
正本提单,zheng'ben'ti'dan
直客,zhi'ke
中转港,zhong'zhuan'gang
装船出场,zhuang'chuan'chu'chang
