八重樱,ba'chong'ying
百碧仙子,bai'bi'xian'zi
白王狮子,bai'wang'shi'zi
白云山高山牡丹园,bai'yun'shan'gao'shan'mu'dan'yuan
宝蓝冠,bao'lan'guan
宝石兰,bao'shi'lan
冰凌罩红石,bing'ling'zhao'hong'shi
彩蝶飞舞,cai'die'fei'wu
长颈芙蓉,chang'jing'fu'rong
赤龙换彩,chi'long'huan'cai
春花秋月区,chun'hua'qiu'yue'qu
大棕紫,da'zong'zi
丹炉焰,dan'lu'yan
岛锦,dao'jin
帝城春欲暮,di'cheng'chun'yu'mu
帝冠,di'guan
东海浪花,dong'hai'lang'hua
豆蔻年华,dou'kou'nian'hua
豆绿,dou'lv
二乔,er'qiao
飞燕红妆,fei'yan'hong'zhuang
粉兰托桂,fen'lan'tuo'gui
高山牡丹,gao'shan'mu'dan
高山牡丹园,gao'shan'mu'dan'yuan
葛巾紫,ge'jin'zi
共道牡丹时,gong'dao'mu'dan'shi
冠群芳,guan'qun'fang
冠世墨玉,guan'shi'mo'yu
贵妃插翠,gui'fei'cha'cui
贵妃赏月,gui'fei'shang'yue
国际牡丹精品区,guo'ji'mu'dan'jing'pin'qu
国际牡丹园,guo'ji'mu'dan'yuan
国色牡丹园,guo'se'mu'dan'yuan
海黄,hai'huang
寒牡丹,han'mu'dan
荷花型,he'hua'xing
黑海道,hei'hai'dao
黑桃皇后,hei'tao'huang'hou
红尘紫陌,hong'chen'zi'mo
红楼春梦,hong'lou'chun'meng
户川寒,hu'chuan'han
胡红,hu'hong
花开时节动京城,hua'kai'shi'jie'dong'jing'cheng
皇冠台阁型,huang'guan'tai'ge'xing
皇冠型,huang'guan'xing
火炼金丹,huo'lian'jin'dan
鸡冠洞高山牡丹园,ji'guan'dong'gao'shan'mu'dan'yuan
娇容三变,jiao'rong'san'bian
姣子红,jiao'zi'hong
金帝,jin'di
金阁,jin'ge
金谷春晴,jin'gu'chun'qing
金环型,jin'huan'xing
金丝贯顶,jin'si'guan'ding
锦绣九都,jin'xiu'jiu'du
金玉良缘,jin'yu'liang'yuan
酒醉杨妃,jiu'zui'yang'fei
菊花台阁型,ju'hua'tai'ge'xing
菊花型,ju'hua'xing
蓝田玉,lan'tian'yu
凌花晓翠,ling'hua'xiao'cui
刘师阁,liu'shi'ge
楼子台阁型,lou'zi'tai'ge'xing
洛神,luo'shen
洛阳春,luo'yang'chun
洛阳地脉花最宜,luo'yang'di'mai'hua'zui'yi
洛阳国家牡丹园,luo'yang'guo'jia'mu'dan'yuan
洛阳红,luo'yang'hong
洛阳牡丹甲天下,luo'yang'mu'dan'jia'tian'xia
洛阳牡丹图,luo'yang'mu'dan'tu
洛阳郁金香花园,luo'yang'yu'jin'xiang'hua'yuan
美艳,mei'yan
墨海金屑,mo'hai'jin'xie
墨撒金,mo'sa'jin
牡丹精品区,mu'dan'jing'pin'qu
牡丹尤为天下奇,mu'dan'you'wei'tian'xia'qi
泼墨紫,po'mo'zi
千层台阁型,qian'ceng'tai'ge'xing
蔷薇台阁型,qiang'wei'tai'ge'xing
蔷薇型,qiang'wei'xing
茄蓝丹砂,qie'lan'dan'sha
请君只看洛阳城,qing'jun'zhi'kan'luo'yang'cheng
青龙卧墨池,qing'long'wo'mo'chi
若问古今兴废事,ruo'wen'gu'jin'xing'fei'shi
珊瑚台,shan'hu'tai
神州牡丹园,shen'zhou'mu'dan'yuan
盛丹炉,sheng'dan'lu
什锦牡丹园,shi'jin'mu'dan'yuan
时雨云,shi'yu'yun
首案红,shou'an'hong
似荷莲,si'he'lian
隋唐城遗址植物园,sui'tang'cheng'yi'zhi'zhi'wu'yuan
台阁型,tai'ge'xing
托桂型,tuo'gui'xing
王城公园,wang'cheng'gong'yuan
王红,wang'hong
唯有牡丹真国色,wei'you'mu'dan'zhen'guo'se
魏紫,wei'zi
五星红,wu'xing'hong
西苑公园牡丹园,xi'yuan'gong'yuan'mu'dan'yuan
夏爽冬梅区,xia'shuang'dong'mei'qu
相随买花去,xiang'sui'mai'hua'qu
新七福神,xin'qi'fu'shen
绣球台阁型,xiu'qiu'tai'ge'xing
喧喧车马度,xuan'xuan'che'ma'du
胭脂点玉,yan'zhi'dian'yu
姚黄,yao'huang
夜光白,ye'guang'bai
银粉金鳞,yin'fen'jin'lin
玉版白,yu'ban'bai
玉面桃花,yu'mian'tao'hua
御袍黄,yu'pao'huang
赵粉,zhao'fen
昭和梦,zhao'he'meng
中国国花园,zhong'guo'guo'hua'yuan
朱砂垒,zhu'sha'lei
状元红,zhuang'yuan'hong
紫红呈艳,zi'hong'cheng'yan
紫楼点翠,zi'lou'dian'cui
紫霞贯,zi'xia'guan
