暗绿紫堇,an'lv'zi'jin
拔契,ba'qi
白苞南星,bai'bao'nan'xing
白背铁线蕨,bai'bei'tie'xian'jue
百合,bai'he
白鹤岭,bai'he'ling
百合属,bai'he'shu
白桦,bai'hua
白花蔷薇,bai'hua'qiang'wei
白花鼠尾,bai'hua'shu'wei
白花枝子花,bai'hua'zhi'zi'hua
白亮独活,bai'liang'du'huo
百脉根,bai'mai'gen
佰腾,bai'teng
白杨树,bai'yang'shu
白野薄荷,bai'ye'bo'he
白垔,bai'yin
瓣蕊唐松草,ban'rui'tang'song'cao
报春,bao'chun
宝兴报春,bao'xing'bao'chun
宝兴冷蕨,bao'xing'leng'jue
北京铁角蕨,bei'jing'tie'jiao'jue
贝叶蕨,bei'ye'jue
扁刺锦鸡儿,bian'ci'jin'ji'er
变绿异燕麦,bian'lv'yi'yan'mai
变异草玉梅,bian'yi'cao'yu'mei
冰川茶藨,bing'chuan'cha'biao
玻璃翠,bo'li'cui
卜领,bo'ling
薄叶猕猴桃,bo'ye'mi'hou'tao
薄叶鼠李,bo'ye'shu'li
卜勇,bo'yong
藏臭草,cang'chou'cao
糙独活,cao'du'huo
糙皮桦,cao'pi'hua
草芍药,cao'shao'yao
糙苏,cao'su
草叶耳蕨,cao'ye'er'jue
糙野青茅,cao'ye'qing'mao
草玉梅,cao'yu'mei
曾兵,ceng'bing
曾立勤,ceng'li'qin
曾思睿,ceng'si'rui
曾梓渝,ceng'zi'yu
茶藨,cha'biao
柴普,chai'pu
长距翠雀,chang'ju'cui'que
长蕊万寿竹,chang'rui'wan'shou'zhu
长藤草,chang'teng'cao
长藤悬钩子,chang'teng'xuan'gou'zi
长瓦韦,chang'wa'wei
常志勇,chang'zhi'yong
陈华,chen'hua
陈军良,chen'jun'liang
陈凉粉,chen'liang'fen
沉沙池,chen'sha'chi
臣相,chen'xiang
翅柄蟹甲草,chi'bing'xie'jia'cao
齿萼报春,chi'e'bao'chun
齿萼凤仙花,chi'e'feng'xian'hua
齿果酸模,chi'guo'suan'mo
重楼,chong'lou
重邮,chong'you
臭草,chou'cao
稠李,chou'li
川赤芍,chuan'chi'shao
川大,chuan'da
川滇斑叶兰,chuan'dian'ban'ye'lan
川滇高山栎,chuan'dian'gao'shan'li
川康栒子,chuan'kang'xun'zi
川外,chuan'wai
川西翠雀花,chuan'xi'cui'que'hua
川西高山栗,chuan'xi'gao'shan'li
川西荚蒾,chuan'xi'jia'mi
川西鳞毛蕨,chuan'xi'lin'mao'jue
川西柳叶菜,chuan'xi'liu'ye'cai
川西喜冬草,chuan'xi'xi'dong'cao
川西樱桃,chuan'xi'ying'tao
川西云杉,chuan'xi'yun'shan
川音,chuan'yin
垂花委陵菜,chui'hua'wei'ling'cai
唇形花科,chun'xing'hua'ke
唇形花科草,chun'xing'hua'ke'cao
刺黄花,ci'huang'hua
刺五加,ci'wu'jia
粗糙囊薹草,cu'cao'nang'tai'cao
粗茎秦艽,cu'jing'qin'jiao
粗野马先蒿,cu'ye'ma'xian'hao
粗枝云杉,cu'zhi'yun'shan
大池千井背斜,da'chi'qian'jing'bei'xie
大刺茶藨,da'ci'cha'biao
大佛寺,da'fo'si
大果悬钩子,da'guo'xuan'gou'zi
大禾,da'he
大花扁蕾,da'hua'bian'lei
大花糙苏,da'hua'cao'su
大花对叶兰,da'hua'dui'ye'lan
大火草,da'huo'cao
大戟,da'ji
大麦,da'mai
打破碗花花,da'po'wan'hua'hua
大伞形叶蕨,da'san'xing'ye'jue
大叶火烧兰,da'ye'huo'shao'lan
大叶蕨,da'ye'jue
大叶老鹳草,da'ye'lao'guan'cao
大叶鳞毛蕨大叶锯叶蕨,da'ye'lin'mao'jue'da'ye'ju'ye'jue
大叶毛大蕨,da'ye'mao'da'jue
大叶木姜子,da'ye'mu'jiang'zi
大叶忍冬,da'ye'ren'dong
大叶伞形草,da'ye'san'xing'cao
大叶鼠尾,da'ye'shu'wei
大叶唐松草,da'ye'tang'song'cao
大叶铁线蕨大扇叶铁线蕨,da'ye'tie'xian'jue'da'shan'ye'tie'xian'jue
大叶小檗,da'ye'xiao'bo
大叶绣线菊,da'ye'xiu'xian'ju
大叶悬钩子,da'ye'xuan'gou'zi
大叶栒子,da'ye'xun'zi
大叶榆,da'ye'yu
大猪殃殃,da'zhu'yang'yang
大竹叶草竹叶草,da'zhu'ye'cao'zhu'ye'cao
大紫菀,da'zi'wan
代彬杰,dai'bin'jie
代玉琴,dai'yu'qin
单叶菊,dan'ye'ju
单叶苦木,dan'ye'ku'mu
单叶细辛,dan'ye'xi'xin
倒提壶,dao'ti'hu
等梗报春,deng'geng'bao'chun
灯笼草,deng'long'cao
灯心草,deng'xin'cao
邓娅,deng'ya
地面硬化,di'mian'ying'hua
滇川唐松草,dian'chuan'tang'song'cao
吊兰,diao'lan
东方草莓,dong'fang'cao'mei
东陵八仙花椭圆叶树,dong'ling'ba'xian'hua'tuo'yuan'ye'shu
东陵绣球,dong'ling'xiu'qiu
冬青叶草,dong'qing'ye'cao
东翼,dong'yi
豆科草,dou'ke'cao
杜鹃,du'juan
独蒜兰,du'suan'lan
杜晓睿,du'xiao'rui
独叶草,du'ye'cao
短柄草,duan'bing'cao
短颖鹅观草,duan'ying'e'guan'cao
对叶草,dui'ye'cao
对叶长串果草对叶紫穗草,dui'ye'chang'chuan'guo'cao'dui'ye'zi'sui'cao
对叶灯笼草,dui'ye'deng'long'cao
对叶葛儿茶,dui'ye'ge'er'cha
对叶葛尔茶,dui'ye'ge'er'cha
对叶花楸,dui'ye'hua'qiu
对叶枯木,dui'ye'ku'mu
对叶鼠尾,dui'ye'shu'wei
对叶绣球,dui'ye'xiu'qiu
钝苞雪莲瑞苓草,dun'bao'xue'lian'rui'ling'cao
多花勾儿茶,duo'hua'gou'er'cha
多节雀麦,duo'jie'que'mai
多腺悬钩子,duo'xian'xuan'gou'zi
多叶草,duo'ye'cao
峨眉蕨,e'mei'jue
蛾眉蔷薇,e'mei'qiang'wei
峨嵋蔷薇,e'mei'qiang'wei
鹅掌草,e'zhang'cao
二色瓦韦,er'se'wa'wei
二形鳞薹草,er'xing'lin'tai'cao
耳叶凤仙花,er'ye'feng'xian'hua
二叶舌唇兰,er'ye'she'chun'lan
繁缕,fan'lv
防己叶菝葜,fang'ji'ye'ba'qia
房县野青茅,fang'xian'ye'qing'mao
粉花绣线菊裂叶变种,fen'hua'xiu'xian'ju'lie'ye'bian'zhong
分枝大油芒,fen'zhi'da'you'mang
附地菜,fu'di'cai
复叶花楸,fu'ye'hua'qiu
甘青锦鸡儿,gan'qing'jin'ji'er
甘青老鹳草,gan'qing'lao'guan'cao
甘肃棘豆,gan'su'ji'dou
甘肃瑞香,gan'su'rui'xiang
刚毛忍冬,gang'mao'ren'dong
高丛珍珠梅,gao'cong'zhen'zhu'mei
高蔊菜,gao'han'cai
高粱,gao'liang
高山冷蕨,gao'shan'leng'jue
高山柳,gao'shan'liu
高山露珠草,gao'shan'lu'zhu'cao
高山羌活,gao'shan'qiang'huo
