艾绿,ai'lv
暗橙,an'cheng
暗粉,an'fen
暗粉红,an'fen'hong
暗黑,an'hei
暗红,an'hong
暗黄,an'huang
暗灰,an'hui
暗绛红,an'jiang'hong
暗兰,an'lan
暗绿,an'lv
暗麦绿,an'mai'lv
暗水绿,an'shui'lv
暗夜蓝,an'ye'lan
暗紫,an'zi
暗紫色,an'zi'se
白米色,bai'mi'se
白浅橙,bai'qian'cheng
白色,bai'se
半漂,ban'piao
半漂白,ban'piao'bai
宝贝蓝,bao'bei'lan
宝兰,bao'lan
宝蓝,bao'lan
宝蓝色,bao'lan'se
宝石红,bao'shi'hong
宝石蓝,bao'shi'lan
本白,ben'bai
本厂白,ben'chang'bai
本厂黑,ben'chang'hei
本厂克,ben'chang'ke
本厂漂白,ben'chang'piao'bai
碧海蓝,bi'hai'lan
碧绿,bi'lv
冰湖蓝,bing'hu'lan
冰雪蓝,bing'xue'lan
冰洋蓝,bing'yang'lan
薄荷绿,bo'he'lv
薄菏绿,bo'he'lv
薄荷色,bo'he'se
彩虹色,cai'hong'se
彩兰,cai'lan
彩蓝,cai'lan
藏兰,cang'lan
草地绿,cao'di'lv
草绿,cao'lv
草莓红,cao'mei'hong
茶白,cha'bai
茶褐,cha'he
茶绿,cha'lv
橙红,cheng'hong
橙黄,cheng'huang
橙色,cheng'se
橙王,cheng'wang
纯白,chun'bai
瓷器蓝,ci'qi'lan
磁铁紫,ci'tie'zi
丛林绿,cong'lin'lv
葱绿,cong'lv
翠兰,cui'lan
翠绿,cui'lv
大白,da'bai
大红,da'hong
大红灰,da'hong'hui
黛蓝,dai'lan
玳瑁红,dai'mao'hong
淡白紫,dan'bai'zi
淡粉,dan'fen
淡粉红,dan'fen'hong
淡红,dan'hong
旦黄,dan'huang
淡黄,dan'huang
蛋黄,dan'huang
淡黄色,dan'huang'se
淡灰,dan'hui
淡蓝,dan'lan
淡绿,dan'lv
淡玫瑰,dan'mei'gui
淡青,dan'qing
淡王,dan'wang
蛋王,dan'wang
淡子,dan'zi
淡紫,dan'zi
稻草黄,dao'cao'huang
淀蓝,dian'lan
靛青,dian'qing
