暗脉菜粉蝶,an'mai'cai'fen'die
巴黎翠凤蝶,ba'li'cui'feng'die
白带凤蝶,bai'dai'feng'die
白点褐蚬蝶,bai'dian'he'xian'die
白角星弄蝶,bai'jiao'xing'nong'die
白弄蝶,bai'nong'die
白室蚬蝶,bai'shi'xian'die
白蚬蝶,bai'xian'die
斑凤蝶,ban'feng'die
宝镜凤蝶,bao'jing'feng'die
报喜斑粉蝶,bao'xi'ban'fen'die
碧凤蝶,bi'feng'die
檗黄粉蝶,bo'huang'fen'die
布莱荫眼蝶,bu'lai'yin'yan'die
长尾青凤蝶,chang'wei'qing'feng'die
长须蝶,chang'xu'die
橙翅方粉蝶,cheng'chi'fang'fen'die
橙粉蝶,cheng'fen'die
橙黄豆粉蝶,cheng'huang'dou'fen'die
赤顶粉蝶,chi'ding'fen'die
齿缘红蛱蝶,chi'yuan'hong'jia'die
串珠环蝶,chuan'zhu'huan'die
槌果藤粉蝶,chui'guo'teng'fen'die
粗纹青斑蝶,cu'wen'qing'ban'die
翠袖锯眼蝶,cui'xiu'ju'yan'die
大翅绢粉蝶,da'chi'juan'fen'die
大绢斑蝶,da'juan'ban'die
大伞弄蝶,da'san'nong'die
大透翅斑蝶,da'tou'chi'ban'die
大纹白粉蝶,da'wen'bai'fen'die
大紫蛱蝶,da'zi'jia'die
淡纹青斑蝶,dan'wen'qing'ban'die
地珠环蝶,di'zhu'huan'die
电蛱蝶,dian'jia'die
颠眼蝶,dian'yan'die
东方菜粉蝶,dong'fang'cai'fen'die
东亚矍眼蝶,dong'ya'jue'yan'die
多型凤蝶,duo'xing'feng'die
峨眉大弄蝶,e'mei'da'nong'die
二尾蛱蝶,er'wei'jia'die
飞龙粉蝶,fei'long'fen'die
凤蝶,feng'die
凤尾青凤蝶,feng'wei'qing'feng'die
凤眼方环蝶,feng'yan'fang'huan'die
柑橘凤蝶,gan'ju'feng'die
果神粉蝶,guo'shen'fen'die
鹤顶粉蝶,he'ding'fen'die
合欢黄粉蝶,he'huan'huang'fen'die
黑斑伞弄蝶,hei'ban'san'nong'die
黑豹弄蝶,hei'bao'nong'die
黑点菜粉蝶,hei'dian'cai'fen'die
黑点小粉蝶,hei'dian'xiao'fen'die
黑凤蝶,hei'feng'die
黑绢斑蝶,hei'juan'ban'die
黑流蛱蝶,hei'liu'jia'die
黑脉桦斑蝶,hei'mai'hua'ban'die
黑脉园粉蝶,hei'mai'yuan'fen'die
黑燕尾蚬蝶,hei'yan'wei'xian'die
横纹环蝶,heng'wen'huan'die
红灰蝶,hong'hui'die
红襟粉蝶,hong'jin'fen'die
红锯蛱蝶,hong'ju'jia'die
红裙凤蝶,hong'qun'feng'die
红纹凤蝶,hong'wen'feng'die
红缘凤蝶,hong'yuan'feng'die
红缘灰蝶,hong'yuan'hui'die
红珠凤蝶,hong'zhu'feng'die
虎斑蝶,hu'ban'die
虎纹斑蝶,hu'wen'ban'die
虎纹剑尾凤蝶,hu'wen'jian'wei'feng'die
虎纹针凤蝶,hu'wen'zhen'feng'die
桦斑蝶,hua'ban'die
花椒凤蝶,hua'jiao'feng'die
幻紫斑蝶,huan'zi'ban'die
黄带褐蚬蝶,huang'dai'he'xian'die
黄凤蝶,huang'feng'die
黄扇蝶,huang'shan'die
黄裳凤蝶,huang'shang'feng'die
黄帅蛱蝶,huang'shuai'jia'die
灰翅串珠环蝶,hui'chi'chuan'zhu'huan'die
尖翅弄蝶,jian'chi'nong'die
尖翅银灰蝶,jian'chi'yin'hui'die
箭环蝶,jian'huan'die
姜黄弄蝶,jiang'huang'nong'die
金斑蝶,jin'ban'die
金凤蝶,jin'feng'die
金扇凤蝶,jin'shan'feng'die
金裳凤蝶,jin'shang'feng'die
锯粉蝶,ju'fen'die
绢斑蝶,juan'ban'die
枯叶蝶,ku'ye'die
枯叶蛱蝶,ku'ye'jia'die
宽边黄粉蝶,kuan'bian'huang'fen'die
宽带黛眼蝶,kuan'dai'dai'yan'die
宽带凤蝶,kuan'dai'feng'die
宽带青凤蝶,kuan'dai'qing'feng'die
宽尾凤蝶,kuan'wei'feng'die
莱灰蝶,lai'hui'die
蓝点紫斑蝶,lan'dian'zi'ban'die
蓝凤蝶,lan'feng'die
楞凤蝶,leng'feng'die
梨花粉蝶,li'hua'fen'die
梨花迁粉蝶,li'hua'qian'fen'die
连纹黛眼蝶,lian'wen'dai'yan'die
裂斑金灰蝶,lie'ban'jin'hui'die
琉璃波纹小灰蝶,liu'li'bo'wen'xiao'hui'die
琉璃纹凤蝶,liu'li'wen'feng'die
绿斑凤蝶,lv'ban'feng'die
绿凤蝶,lv'feng'die
绿灰蝶,lv'hui'die
美凤蝶,mei'feng'die
迷蛱蝶,mi'jia'die
密纱眉眼蝶,mi'sha'mei'yan'die
密纹飒弄蝶,mi'wen'sa'nong'die
木兰青凤蝶,mu'lan'qing'feng'die
拟斑凤蝶,ni'ban'feng'die
拟幻紫斑蝶,ni'huan'zi'ban'die
拟旖斑蝶,ni'yi'ban'die
浓紫彩灰蝶,nong'zi'cai'hui'die
朴喙蝶,pu'hui'die
迁粉蝶,qian'fen'die
牵牛灰蝶,qian'niu'hui'die
青斑蝶,qing'ban'die
青城箭环蝶,qing'cheng'jian'huan'die
青凤蝶,qing'feng'die
蜻蜓蝶,qing'ting'die
曲纹袖弄蝶,qu'wen'xiu'nong'die
啬青斑蝶,se'qing'ban'die
僧袈眉眼蝶,seng'jia'mei'yan'die
裳凤蝶,shang'feng'die
蛇目褐蚬蝶,she'mu'he'xian'die
榺凤蝶,sheng'feng'die
鼠李粉蝶,shu'li'fen'die
双色带蛱蝶,shuang'se'dai'jia'die
双尾蛱蝶,shuang'wei'jia'die
双星箭环蝶,shuang'xing'jian'huan'die
双眼蚬蝶,shuang'yan'xian'die
丝链荫眼蝶,si'lian'yin'yan'die
碎斑凤蝶,sui'ban'feng'die
碎斑青凤蝶,sui'ban'qing'feng'die
藤粉蝶,teng'fen'die
藤果蚬蝶,teng'guo'xian'die
天狗蝶,tian'gou'die
铁刀木粉蝶,tie'dao'mu'fen'die
铁木莱异灰蝶,tie'mu'lai'yi'hui'die
铁锈灰蝶,tie'xiu'hui'die
统帅青凤蝶,tong'shuai'qing'feng'die
透翅斑蝶,tou'chi'ban'die
