保卫处,bao'wei'chu
北区图书馆,bei'qu'tu'shu'guan
采购与招投标管理中心,cai'gou'yu'zhao'tou'biao'guan'li'zhong'xin
财务处,cai'wu'chu
出版社,chu'ban'she
大学科技园,da'xue'ke'ji'yuan
档案馆,dang'an'guan
党群部门,dang'qun'bu'men
党委,dang'wei
党委办公室,dang'wei'ban'gong'shi
党委保卫部,dang'wei'bao'wei'bu
党委统战部,dang'wei'tong'zhan'bu
党委网络工作部,dang'wei'wang'luo'gong'zuo'bu
党委宣传部,dang'wei'xuan'chuan'bu
党委学生工作部,dang'wei'xue'sheng'gong'zuo'bu
党委研究生工作部,dang'wei'yan'jiu'sheng'gong'zuo'bu
党委组织部,dang'wei'zu'zhi'bu
对外联络部,dui'wai'lian'luo'bu
发展规划处,fa'zhan'gui'hua'chu
附属小学,fu'shu'xiao'xue
附属中学,fu'shu'zhong'xue
港澳台办公室,gang'ao'tai'ban'gong'shi
工会,gong'hui
国防生选拔培养办公室,guo'fang'sheng'xuan'ba'pei'yang'ban'gong'shi
国际合作与交流处,guo'ji'he'zuo'yu'jiao'liu'chu
国有资产管理处,guo'you'zi'chan'guan'li'chu
后勤集团,hou'qin'ji'tuan
基本建设管理处,ji'ben'jian'she'guan'li'chu
基础教育投资管理有限公司,ji'chu'jiao'yu'tou'zi'guan'li'you'xian'gong'si
机构部门,ji'gou'bu'men
机关党委,ji'guan'dang'wei
纪委办公室,ji'wei'ban'gong'shi
监察处,jian'cha'chu
教代会,jiao'dai'hui
教师教学发展中心,jiao'shi'jiao'xue'fa'zhan'zhong'xin
教师教育学院,jiao'shi'jiao'yu'xue'yuan
教务处,jiao'wu'chu
科学技术处,ke'xue'ji'shu'chu
离退休党委,li'tui'xiu'dang'wei
离退休工作处,li'tui'xiu'gong'zuo'chu
南区图书馆,nan'qu'tu'shu'guan
培训学院,pei'xun'xue'yuan
期刊社,qi'kan'she
企业单位,qi'ye'dan'wei
人事处,ren'shi'chu
社会科学处,she'hui'ke'xue'chu
审计处,shen'ji'chu
实验农场,shi'yan'nong'chang
实验室与设备管理处,shi'yan'shi'yu'she'bei'guan'li'chu
实验幼儿园,shi'yan'you'er'yuan
图书馆,tu'shu'guan
团委,tuan'wei
网络与继续教育学院,wang'luo'yu'ji'xu'jiao'yu'xue'yuan
武装部,wu'zhuang'bu
校地合作处,xiao'de'he'zuo'chu
校医院,xiao'yi'yuan
校长办公室,xiao'zhang'ban'gong'shi
信息中心,xin'xi'zhong'xin
行政部门,xing'zheng'bu'men
学生工作处,xue'sheng'gong'zuo'chu
学术机构,xue'shu'ji'gou
学术委员会办公室,xue'shu'wei'yuan'hui'ban'gong'shi
研究生院,yan'jiu'sheng'yuan
招生就业处,zhao'sheng'jiu'ye'chu
直附属单位,zhi'fu'shu'dan'wei
中心图书馆,zhong'xin'tu'shu'guan
资产经营有限公司,zi'chan'jing'ying'you'xian'gong'si
组织机构,zu'zhi'ji'gou
