阿比拉玛勒达,a'bi'la'ma'le'da
阿部记之,a'bu'ji'zhi
阿布维洛,a'bu'wei'luo
阿尔图罗,a'er'tu'luo
阿绯,a'fei
阿近,a'jin
阿莱桑多罗德尔,a'lai'sang'duo'luo'de'er
阿帕契,a'pa'qi
阿散井,a'san'jing
阿散井恋次,a'san'jing'lian'ci
爱川罗武,ai'chuan'luo'wu
爱川罗武原七番队队长,ai'chuan'luo'wu'yuan'qi'fan'dui'dui'zhang
艾多拉德,ai'duo'la'de
艾鲁鲁耶利,ai'lu'lu'ye'li
艾斯灵卡,ai'si'ling'ka
爱心枪,ai'xin'qiang
爱心屋,ai'xin'wu
岸尾大辅,an'wei'da'fu
安元洋贵,an'yuan'yang'gui
奥斯卡皇金迪拉洛沙,ao'si'ka'huang'jin'di'la'luo'sha
八千流,ba'qian'liu
八十千,ba'shi'qian
八头炎大蛇,ba'tou'yan'da'she
巴瓦巴瓦,ba'wa'ba'wa
巴温特,ba'wen'te
百步阑干,bai'bu'lan'gan
白草莓,bai'cao'mei
百刺毒娼,bai'ci'du'chang
白打,bai'da
白刀,bai'dao
白伏,bai'fu
拜勒岗,bai'le'gang
白雷,bai'lei
白梨,bai'li
白涟,bai'lian
白莲,bai'lian
百连闩,bai'lian'shuan
白露,bai'lu
白露为霜,bai'lu'wei'shuang
白蔷薇之刑,bai'qiang'wei'zhi'xing
白刃,bai'ren
白蛇姬,bai'she'ji
白桃,bai'tao
白一护,bai'yi'hu
白一露,bai'yi'lu
白哉,bai'zai
白粥,bai'zhou
斑木一角,ban'mu'yi'jiao
斑目一角,ban'mu'yi'jiao
半虚,ban'xu
邦德,bang'de
暴风男爵,bao'feng'nan'jue
豹王,bao'wang
豹王之爪,bao'wang'zhi'zhao
贝罗纳,bei'luo'na
本匠千鹤,ben'jiang'qian'he
本体,ben'ti
本田贵子,ben'tian'gui'zi
崩点,beng'dian
崩玉,beng'yu
毕尔斯坦,bi'er'si'tan
比巨入道,bi'ju'ru'dao
碧鹿斗女,bi'lu'dou'nv
变成沙吧石波,bian'cheng'sha'ba'shi'bo
冰龙旋尾,bing'long'xuan'wei
冰龙旋尾绝空,bing'long'xuan'wei'jue'kong
冰轮丸,bing'lun'wan
冰天百华葬,bing'tian'bai'hua'zang
冰雪系斩魄刀,bing'xue'xi'zhan'po'dao
狛村,bo'cun
狛村队长,bo'cun'dui'zhang
狛村左阵,bo'cun'zuo'zhen
狛树左阵,bo'shu'zuo'zhen
不精独乐,bu'jing'du'le
不良商人,bu'liang'shang'ren
布鲁巴艾,bu'lu'ba'ai
彩虹言灵,cai'hong'yan'ling
苍火坠,cang'huo'zhui
苍剑炮,cang'jian'pao
苍角王子,cang'jiao'wang'zi
藏人,cang'ren
草鹿,cao'lu
草鹿八千流,cao'lu'ba'qian'liu
草鹿八千留,cao'lu'ba'qian'liu
草莓,cao'mei
草莓君,cao'mei'jun
叄舞白刃,cen'wu'bai'ren
茶渡,cha'du
茶渡泰虎,cha'du'tai'hu
柴田,chai'tian
柴田勇一,chai'tian'yong'yi
长岛雄一,chang'dao'xiong'yi
长嶝高士,chang'deng'gao'shi
车谷善之介,che'gu'shan'zhi'jie
车轮铁燕,che'lun'tie'yan
成田剑,cheng'tian'jian
成一,cheng'yi
赤火炮,chi'huo'pao
赤火炮白雷,chi'huo'pao'bai'lei
炽热的小锤,chi're'de'xiao'chui
赤烟遁,chi'yan'dun
紬屋雨,chou'wu'yu
初代死神代理,chu'dai'si'shen'dai'li
雏根,chu'gen
雏根先生,chu'gen'xian'sheng
初曲止绷,chu'qu'zhi'beng
雏森,chu'sen
雏森桃,chu'sen'tao
初舞,chu'wu
初舞月白,chu'wu'yue'bai
穿点,chuan'dian
穿点崩点,chuan'dian'beng'dian
穿界门,chuan'jie'men
传令部,chuan'ling'bu
川上友子,chuan'shang'you'zi
椿鬼,chun'gui
春秋,chun'qiu
春水,chun'shui
慈楼坊,ci'lou'fang
次舞,ci'wu
次舞白涟,ci'wu'bai'lian
从属官,cong'shu'guan
翠绿射枪,cui'lv'she'qiang
大白,da'bai
大川透,da'chuan'tou
大岛丽一,da'dao'li'yi
大鬼道长,da'gui'dao'zhang
大红莲冰轮丸,da'hong'lian'bing'lun'wan
大红莲氷轮丸,da'hong'lian'bing'lun'wan
大雷雨阵射鱼,da'lei'yu'zhen'she'yu
达鲁克,da'lu'ke
大前田,da'qian'tian
大前田希千代,da'qian'tian'xi'qian'dai
大前田希千和,da'qian'tian'xi'qian'he
大虚,da'xu
大原,da'yuan
大冢芳忠,da'zhong'fang'zhong
大冢明夫,da'zhong'ming'fu
戴斯拉,dai'si'la
戴斯乐,dai'si'le
岛本须美,dao'ben'xu'mei
刀剑解放,dao'jian'jie'fang
倒山晶,dao'shan'jing
稲田彻,dao'tian'che
德莫乌拉,de'mo'wu'la
第二号花鹤射法拘之花开,di'er'hao'hua'he'she'fa'ju'zhi'hua'kai
第二十席,di'er'shi'xi
地缚灵,di'fu'ling
迪罗伊,di'luo'yi
第七席,di'qi'xi
第三席,di'san'xi
狄堂春信,di'tang'chun'xin
荻堂春信,di'tang'chun'xin
第五席官,di'wu'xi'guan
蒂雅赫丽贝尔,di'ya'he'li'bei'er
地狱蝶,di'yu'die
吊星,diao'xing
钉宫,ding'gong
钉宫病,ding'gong'bing
钉宫理恵,ding'gong'li'hui
钉宫理惠,ding'gong'li'hui
冬德恰卡,dong'de'qia'ka
咚德恰卡,dong'de'qia'ka
冬狮郎,dong'shi'lang
东仙,dong'xian
东仙要,dong'xian'yao
冻云,dong'yun
都大人,dou'da'ren
毒峰莉露卡,du'feng'li'lu'ka
独眼罩,du'yan'zhao
断蔵丸,duan'cang'wan
断地风,duan'di'feng
断界,duan'jie
断空,duan'kong
断瀑,duan'pu
端坐霜天,duan'zuo'shuang'tian
端坐于霜天,duan'zuo'yu'shuang'tian
对灵子的隶属,dui'ling'zi'de'li'shu
对灵子的收束,dui'ling'zi'de'shou'shu
队舍,dui'she
盾舜六花,dun'shun'liu'hua
多尔多尼,duo'er'duo'ni
多鲁托尼,duo'lu'tuo'ni
仛助,duo'zhu
恶魔的左臂,e'mo'de'zuo'bi
二段归刃,er'duan'gui'ren
发动语,fa'dong'yu
饭岛肇,fan'dao'zhao
反鬼相杀,fan'gui'xiang'sha
反膜,fan'mo
反膜之匪,fan'mo'zhi'fei
仿破面,fang'po'mian
非番队,fei'fan'dui
狒狒王蛇尾丸,fei'fei'wang'she'wei'wan
狒骨大炮,fei'gu'da'pao
飞帘脚,fei'lian'jiao
飞廉脚,fei'lian'jiao
飞镰脚,fei'lian'jiao
飞龙击贼震天雷炮,fei'long'ji'zei'zhen'tian'lei'pao
飞梅,fei'mei
飞田展男,fei'tian'zhan'nan
飞翔水车突,fei'xiang'shui'che'tu
狒牙绝咬,fei'ya'jue'yao
废炎,fei'yan
飞燕连哭,fei'yan'lian'ku
绯真,fei'zhen
芬朵尔凯利亚司,fen'duo'er'kai'li'ya'si
愤兽,fen'shou
风花水月,feng'hua'shui'yue
蜂家,feng'jia
凤镜夜,feng'jing'ye
封灵铐,feng'ling'kao
凤桥楼十郎,feng'qiao'lou'shi'lang
蜂梢绫,feng'shao'ling
风水缚止,feng'shui'fu'zhi
风死,feng'si
蜂纹华,feng'wen'hua
佛瑞德,fo'rui'de
缚道九十九第二番卍禁,fu'dao'jiu'shi'jiu'di'er'fan'wan'jin
缚道九十九禁,fu'dao'jiu'shi'jiu'jin
缚道六十一六杖光牢,fu'dao'liu'shi'yi'liu'zhang'guang'lao
福岛敏行,fu'dao'min'xing
缚道七十七天挺空罗,fu'dao'qi'shi'qi'tian'ting'kong'luo
缚道之五十八掴趾追雀,fu'dao'zhi'wu'shi'ba'guai'zhi'zhui'que
伏火,fu'huo
弗勒,fu'le
福利多,fu'li'duo
浮露,fu'lu
富美子,fu'mei'zi
福山润,fu'shan'run
抚斩,fu'zhan
浮竹,fu'zhu
浮竹队长,fu'zhu'dui'zhang
浮竹十四郎,fu'zhu'shi'si'lang
浮竹十四郎家,fu'zhu'shi'si'lang'jia
咖喱饭,ga'li'fan
改造魂魄,gai'zao'hun'po
钢皮,gang'pi
刚腾拜恩,gang'teng'bai'en
刚藤拜恩,gang'teng'bai'en
刚藤拜恩摩斯凯达,gang'teng'bai'en'mo'si'kai'da
高木涉,gao'mu'she
高木渉,gao'mu'she
高木佐和子,gao'mu'zuo'he'zi
歌德,ge'de
葛力姆乔,ge'li'mu'qiao
葛力姆乔贾卡杰克,ge'li'mu'qiao'jia'ka'jie'ke
葛露,ge'lu
戈薇,ge'wei
葛织,ge'zhi
更木队长,geng'mu'dui'zhang
更木剣八,geng'mu'jian'ba
弓亲,gong'qin
工藤昌史,gong'teng'chang'shi
宫田幸季,gong'tian'xing'ji
狗狗,gou'gou
古德云特,gu'de'yun'te
古贺刚,gu'he'gang
古兰兹,gu'lan'zi
孤天斩盾,gu'tian'zhan'dun
古泽彻,gu'ze'che
贯坂兕丹坊,guan'ban'si'dan'fang
关俊彦,guan'jun'yan
观音寺,guan'yin'si
广濑正志,guang'lai'zheng'zhi
光明女神,guang'ming'nv'shen
光之女神,guang'zhi'nv'shen
光之雨,guang'zhi'yu
鬼道,gui'dao
鬼道之烈火炮,gui'dao'zhi'lie'huo'pao
鬼道众,gui'dao'zhong
鬼灯丸,gui'deng'wan
鬼燈丸,gui'deng'wan
归刃,gui'ren
桧山修之,gui'shan'xiu'zhi
桧佐木修兵,gui'zuo'mu'xiu'bing
馘大蛇,guo'da'she
国枝铃,guo'zhi'ling
国枝铃角,guo'zhi'ling'jiao
海露,hai'lu
海燕大,hai'yan'da
海燕大人,hai'yan'da'ren
赫丽贝儿,he'li'bei'er
赫丽贝尔,he'li'bei'er
赫丽贝尔古罗比瓦斯,he'li'bei'er'gu'luo'bi'wa'si
黑草莓,hei'cao'mei
黑棺,hei'guan
黒棺,hei'guan
黑崎,hei'qi
黑崎草莓,hei'qi'cao'mei
黑崎君,hei'qi'jun
黑崎同学,hei'qi'tong'xue
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黑崎真关,hei'qi'zhen'guan
黑崎真咲,hei'qi'zhen'xiao
黑色的月牙天冲,hei'se'de'yue'ya'tian'chong
黑绳天谴明王,hei'sheng'tian'qian'ming'wang
黑虚闪,hei'xu'shan
黑翼大魔,hei'yi'da'mo
黑之月,hei'zhi'yue
红飞蝗,hong'fei'huang
红姬,hong'ji
虹霞,hong'xia
红姫,hong'zhen
虎彻,hu'che
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
壶府琳,hu'fu'lin
呼唤你的名字,hu'huan'ni'de'ming'zi
弧雀,hu'que
护庭十三队,hu'ting'shi'san'dui
护廷十三队,hu'ting'shi'san'dui
护廷十三番队,hu'ting'shi'san'fan'dui
瓠丸,hu'wan
虎牙迅风,hu'ya'xun'feng
虎音,hu'yin
花风乱花神啼,hua'feng'luan'hua'shen'ti
花鹤射法,hua'he'she'fa
花露,hua'lu
花太郎,hua'tai'lang
花天狂骨,hua'tian'kuang'gu
花刈甚太,hua'yi'shen'tai
花葬,hua'zang
皇鲛后,huang'jiao'hou
荒卷真木造,huang'juan'zhen'mu'zao
毁鷇,hui'kou
灰猫,hui'mao
灰绳,hui'sheng
魂兽,hun'shou
魂狩,hun'shou
混兽神,hun'shou'shen
魂吸,hun'xi
魂葬,hun'zang
火焚城郭,huo'fen'cheng'guo
火山兽,huo'shan'shou
火无菊,huo'wu'ju
吉尔加,ji'er'jia
基力安,ji'li'an
吉良,ji'liang
吉良井鹤,ji'liang'jing'he
吉良伊鹤,ji'liang'yi'he
吉罗晓彦,ji'luo'xiao'yan
吉欧魏格,ji'ou'wei'ge
技术开发局,ji'shu'kai'fa'ju
加地葵,jia'di'kui
贾卡杰克,jia'ka'jie'ke
假面,jia'mian
假面军团,jia'mian'jun'tuan
剑八,jian'ba
健根,jian'gen
键根先生,jian'gen'xian'sheng
歼景,jian'jing
歼景千本桜景厳,jian'jing'qian'ben'ying'jing'yan
歼景千本樱景严,jian'jing'qian'ben'ying'jing'yan
菅生隆之,jian'sheng'long'zhi
将贵,jiang'gui
结城比吕,jie'cheng'bi'lv
解除限定,jie'chu'xian'ding
解放语,jie'fang'yu
津村,jin'cun
尽敌蛰杀,jin'di'zhe'sha
