阿部丰,a'bu'feng
名画雅盗,ming'hua'ya'dao
冥间使者,ming'jian'shi'zhe
明朗的记忆,ming'lang'de'ji'yi
名犬的功劳,ming'quan'de'gong'lao
名探侦,ming'tan'zhen
名探侦柯南,ming'tan'zhen'ke'nan
名陶艺家杀人事件,ming'tao'yi'jia'sha'ren'shi'jian
名嫌疑犯,ming'xian'yi'fan
命样的预言,ming'yang'de'yu'yan
名侦探的会集,ming'zhen'tan'de'hui'ji
名侦探柯南,ming'zhen'tan'ke'nan
名侦探小兰,ming'zhen'tan'xiao'lan
名著的陷阱,ming'zhu'de'xian'jing
名字的秘密,ming'zi'de'mi'mi
缪博士,miu'bo'shi
魔法的咒文,mo'fa'de'zhou'wen
魔封波,mo'feng'bo
魔贯光杀炮,mo'guan'guang'sha'pao
魔鬼现身,mo'gui'xian'shen
魔女栖息的糖果之家,mo'nv'qi'xi'de'tang'guo'zhi'jia
魔人普乌,mo'ren'pu'wu
魔人乌普,mo'ren'wu'pu
魔闪光,mo'shan'guang
陌生的访客,mo'sheng'de'fang'ke
魔术爱好者杀人事件,mo'shu'ai'hao'zhe'sha'ren'shi'jian
魔术快斗,mo'shu'kuai'dou
魔术师失格,mo'shu'shi'shi'ge
魔术师之馆,mo'shu'shi'zhi'guan
目标毛利小五郎,mu'biao'mao'li'xiao'wu'lang
目标是小五郎少年侦探团的秘密调查,mu'biao'shi'xiao'wu'lang'shao'nian'zhen'tan'tuan'de'mi'mi'diao'cha
牧场的悲剧,mu'chang'de'bei'ju
目黑的秋刀鱼事件,mu'hei'de'qiu'dao'yu'shi'jian
目暮碧,mu'mu'bi
目暮尘封的秘密,mu'mu'chen'feng'de'mi'mi
目暮绿,mu'mu'lv
目暮十三,mu'mu'shi'san
母亲的遗物,mu'qin'de'yi'wu
那个地方,na'ge'di'fang
那里有危机,na'li'you'wei'ji
钠美克星,na'mei'ke'xing
拿帕,na'pa
南纪白滨的神秘之旅,nan'ji'bai'bin'de'shen'mi'zhi'lv
南界王,nan'jie'wang
内田麻美,nei'tian'ma'mei
能回来的受害者,neng'hui'lai'de'shou'hai'zhe
你是何许人,ni'shi'he'xu'ren
逆转的神秘,ni'zhuan'de'shen'mi
年前的恶梦,nian'qian'de'e'meng
年前的男人,nian'qian'de'nan'ren
鸟取县蜘蛛公馆的怪事,niao'qu'xian'zhi'zhu'gong'guan'de'guai'shi
钮扣型扩音器,niu'kou'xing'kuo'yin'qi
偶像的秘密,ou'xiang'de'mi'mi
偶像们的秘密,ou'xiang'men'de'mi'mi
偶像们的误解,ou'xiang'men'de'wu'jie
偶像密室杀人事件,ou'xiang'mi'shi'sha'ren'shi'jian
叛变的街角,pan'bian'de'jie'jiao
彷徨的红蝴蝶,pang'huang'de'hong'hu'die
螃蟹和鲸鱼绑架事件,pang'xie'he'jing'yu'bang'jia'shi'jian
烹饪教室杀人事件,peng'ren'jiao'shi'sha'ren'shi'jian
匹斯可,pi'si'ke
片桐枫,pian'tong'feng
平次的愤怒,ping'ci'de'fen'nu
平次的回忆,ping'ci'de'hui'yi
平次的叫喊,ping'ci'de'jiao'han
平次呼叫,ping'ci'hu'jiao
迫近的包围网,po'jin'de'bao'wei'wang
破碎的十二星座图,po'sui'de'shi'er'xing'zuo'tu
旗本家一族,qi'ben'jia'yi'zu
汽车爆炸事件的真相,qi'che'bao'zha'shi'jian'de'zhen'xiang
奇怪的聚会,qi'guai'de'ju'hui
奇怪的寻人事件,qi'guai'de'xun'ren'shi'jian
奇怪的移动,qi'guai'de'yi'dong
奇幻的尸体,qi'huan'de'shi'ti
奇迹,qi'ji
奇妙的回忆,qi'miao'de'hui'yi
奇妙一家的委托,qi'miao'yi'jia'de'wei'tuo
七尾,qi'wei
企业家千金杀人事件,qi'ye'jia'qian'jin'sha'ren'shi'jian
气元斩,qi'yuan'zhan
妻子的纪念品,qi'zi'de'ji'nian'pin
牵拌的友情,qian'ban'de'you'qing
牵绊的友情,qian'ban'de'you'qing
潜藏杀机的陶艺教室,qian'cang'sha'ji'de'tao'yi'jiao'shi
前田聪,qian'tian'cong
千叶,qian'ye
千叶警部,qian'ye'jing'bu
前奏曲,qian'zou'qu
强盗犯人住院事件,qiang'dao'fan'ren'zhu'yuan'shi'jian
枪声的秘密,qiang'sheng'de'mi'mi
枪田郁美,qiang'tian'yu'mei
巧妙的剑士,qiao'miao'de'jian'shi
窃盗集团别墅事件,qie'dao'ji'tuan'bie'shu'shi'jian
切腹之佛,qie'fu'zhi'fo
琴酒,qin'jiu
寝室的酒窖,qin'shi'de'jiu'jiao
清纯的香味,qing'chun'de'xiang'wei
清纯香味,qing'chun'xiang'wei
清洁车杀人事件,qing'jie'che'sha'ren'shi'jian
晴了的记忆,qing'le'de'ji'yi
情人节的真实,qing'ren'jie'de'zhen'shi
情人节杀人事件,qing'ren'jie'sha'ren'shi'jian
青山冈昌,qing'shan'gang'chang
青山刚昌,qing'shan'gang'chang
青之暗号,qing'zhi'an'hao
青子,qing'zi
然后又,ran'hou'you
染血的案件,ran'xue'de'an'jian
染血的绷带,ran'xue'de'beng'dai
热血侦探,re'xue'zhen'tan
人鱼的诅咒,ren'yu'de'zu'zhou
人鱼又再度哭泣,ren'yu'you'zai'du'ku'qi
人造人号,ren'zao'ren'hao
如潮的谴责,ru'chao'de'qian'ze
三胞胎别墅杀人事件,san'bao'tai'bie'shu'sha'ren'shi'jian
三船,san'chuan
三个计谋,san'ge'ji'mou
三个禁忌,san'ge'jin'ji
三个提示,san'ge'ti'shi
三条鱼,san'tiao'yu
三泽,san'ze
丧失记忆的美少女事件,sang'shi'ji'yi'de'mei'shao'nv'shi'jian
森谷帝二,sen'gu'di'er
杀机正浓,sha'ji'zheng'nong
莎朗,sha'lang
杀人的理由,sha'ren'de'li'you
杀意的咖啡,sha'yi'de'ka'fei
杀意的真相,sha'yi'de'zhen'xiang
山岸荣,shan'an'rong
杉本优,shan'ben'you
山村刑事,shan'cun'xing'shi
山口胜平,shan'kou'sheng'ping
山姥的刀,shan'lao'de'dao
山崎和佳奈,shan'qi'he'jia'nai
山庄绷带怪人杀人事件,shan'zhuang'beng'dai'guai'ren'sha'ren'shi'jian
上野出发的北斗星,shang'ye'chu'fa'de'bei'dou'xing
少年侦探队,shao'nian'zhen'tan'dui
少年侦探队消失事件,shao'nian'zhen'tan'dui'xiao'shi'shi'jian
少年侦探团,shao'nian'zhen'tan'tuan
少年侦探团遇难事件,shao'nian'zhen'tan'tuan'yu'nan'shi'jian
神谷明,shen'gu'ming
神秘的狙击者杀人事件,shen'mi'de'ju'ji'zhe'sha'ren'shi'jian
神秘的世界,shen'mi'de'shi'jie
神秘老人失踪事件,shen'mi'lao'ren'shi'zong'shi'jian
神秘凶器杀人事件,shen'mi'xiong'qi'sha'ren'shi'jian
神鸟蝶子,shen'niao'die'zi
神器,shen'qi
神社鸟居之惊悚暗号,shen'she'niao'ju'zhi'jing'song'an'hao
伸缩吊带,shen'suo'diao'dai
圣佛尼号连续杀人事件,sheng'fo'ni'hao'lian'xu'sha'ren'shi'jian
生日葡萄酒之谜,sheng'ri'pu'tao'jiu'zhi'mi
声优,sheng'you
时差的圈套,shi'cha'de'quan'tao
事隔多年的聚会,shi'ge'duo'nian'de'ju'hui
世纪末的魔术师,shi'ji'mo'de'mo'shu'shi
尸体隐蔽,shi'ti'yin'bi
时效成立,shi'xiao'cheng'li
使用了魔法,shi'yong'le'mo'fa
狮子掉下的东西,shi'zi'diao'xia'de'dong'xi
手表灯,shou'biao'deng
手表型麻醉枪,shou'biao'xing'ma'zui'qiang
手机语言,shou'ji'yu'yan
手套的罪恶,shou'tao'de'zui'e
收于胸前,shou'yu'xiong'qian
暑假的暗号,shu'jia'de'an'hao
谁的推理秀,shui'de'tui'li'xiu
谁都不在了,shui'dou'bu'zai'le
水流石庭的玄机,shui'liu'shi'ting'de'xuan'ji
睡美人,shui'mei'ren
水平线上的阴谋,shui'ping'xian'shang'de'yin'mou
水无怜奈,shui'wu'lian'nai
水无伶奈,shui'wu'ling'nai
水中的钥匙密室事件,shui'zhong'de'yao'shi'mi'shi'shi'jian
瞬间移动,shun'jian'yi'dong
四处辗转的游戏软件,si'chu'zhan'zhuan'de'you'xi'ruan'jian
死的回转,si'de'hui'zhuan
四个关键词,si'ge'guan'jian'ci
似乎是绑架的事件,si'hu'shi'bang'jia'de'shi'jian
四井,si'jing
四辆保时捷,si'liang'bao'shi'jie
死罗神大人,si'luo'shen'da'ren
死神阵内杀人事件,si'shen'zhen'nei'sha'ren'shi'jian
斯特拉迪瓦里小提琴的不和谐音,si'te'la'di'wa'li'xiao'ti'qin'de'bu'he'xie'yin
斯特拉迪瓦里小提琴的不和谐音前奏曲,si'te'la'di'wa'li'xiao'ti'qin'de'bu'he'xie'yin'qian'zou'qu
死亡之岛,si'wang'zhi'dao
死之旋律,si'zhi'xuan'lv
松本清长,song'ben'qing'chang
松本小百合,song'ben'xiao'bai'he
松江玉造连句十四回合定胜负,song'jiang'yu'zao'lian'ju'shi'si'hui'he'ding'sheng'fu
松井菜樱子,song'jing'cai'ying'zi
松茸和熊与侦探队,song'rong'he'xiong'yu'zhen'tan'dui
松田阵平,song'tian'zhen'ping
搜查开始,sou'cha'kai'shi
抬起之谜,tai'qi'zhi'mi
太阳能滑板,tai'yang'neng'hua'ban
太阳拳,tai'yang'quan
叹气赶海,tan'qi'gan'hai
叹气拾潮,tan'qi'shi'chao
探险失手,tan'xian'shi'shou
探长的推理,tan'zhang'de'tui'li
糖果和茶,tang'guo'he'cha
汤屋墩子,tang'wu'dun'zi
躺下洗脸,tang'xia'xi'lian
陶伯伯,tao'bo'bo
逃跑的凶器,tao'pao'de'xiong'qi
桃太郎解密之旅,tao'tai'lang'jie'mi'zhi'lv
逃亡者,tao'wang'zhe
特别篇第卷,te'bie'pian'di'juan
特兰克斯,te'lan'ke'si
藤峰有希子,teng'feng'you'xi'zi
藤崎直,teng'qi'zhi
提问婆婆失踪事件,ti'wen'po'po'shi'zong'shi'jian
鹈泽恒夫,ti'ze'heng'fu
天津饭,tian'jin'fan
天空的近道,tian'kong'de'jin'dao
天气预报小姐诱拐事件,tian'qi'yu'bao'xiao'jie'you'guai'shi'jian
田山凉成,tian'shan'liang'cheng
舔手指头,tian'shou'zhi'tou
天下第一夜祭杀人事件,tian'xia'di'yi'ye'ji'sha'ren'shi'jian
天下人之宝,tian'xia'ren'zhi'bao
天下人之城,tian'xia'ren'zhi'cheng
天下之城,tian'xia'zhi'cheng
田中秀幸,tian'zhong'xiu'xing
跳楼自杀,tiao'lou'zi'sha
铁锤男,tie'chui'nan
铁剑十郎,tie'jian'shi'lang
铁刃,tie'ren
同乘者,tong'cheng'zhe
瞳孔中的暗杀者,tong'kong'zhong'de'an'sha'zhe
同时进行的舞台和绑架,tong'shi'jin'xing'de'wu'tai'he'bang'jia
通往天国的倒计时,tong'wang'tian'guo'de'dao'ji'shi
透明人现身,tou'ming'ren'xian'shen
图书馆杀人事件,tu'shu'guan'sha'ren'shi'jian
推理的答案,tui'li'de'da'an
推理对决,tui'li'dui'jue
推理小说家失踪事件,tui'li'xiao'shuo'jia'shi'zong'shi'jian
吞口重彦,tun'kou'zhong'yan
外交官杀人事件,wai'jiao'guan'sha'ren'shi'jian
丸传次郎,wan'chuan'ci'lang
晚饭的菜单,wan'fan'de'cai'dan
万国惊天掌,wan'guo'jing'tian'zhang
玩具熊之谜,wan'ju'xiong'zhi'mi
完美的名推理,wan'mei'de'ming'tui'li
完美解读,wan'mei'jie'du
完全没事,wan'quan'mei'shi
完全一半犯罪之谜,wan'quan'yi'ban'fan'zui'zhi'mi
网里面的是,wang'li'mian'de'shi
未出口的话,wei'chu'kou'de'hua
维黛儿,wei'dai'er
蔚蓝的灵柩,wei'lan'de'ling'jiu
危命的复活第三个选择,wei'ming'de'fu'huo'di'san'ge'xuan'ze
危命的复活洞窟内的侦探团,wei'ming'de'fu'huo'dong'ku'nei'de'zhen'tan'tuan
危命的复活负伤之下的名侦探,wei'ming'de'fu'huo'fu'shang'zhi'xia'de'ming'zhen'tan
危命的复活黑衣骑士,wei'ming'de'fu'huo'hei'yi'qi'shi
危命的复活新一回来了,wei'ming'de'fu'huo'xin'yi'hui'lai'le
危命的复活约定的场所,wei'ming'de'fu'huo'yue'ding'de'chang'suo
维纳斯之吻,wei'na'si'zhi'wen
危险的处方笺,wei'xian'de'chu'fang'jian
危险的来访者,wei'xian'de'lai'fang'zhe
危险的味道,wei'xian'de'wei'dao
危险的相逢,wei'xian'de'xiang'feng
危险的香味,wei'xian'de'xiang'wei
危险的牙医,wei'xian'de'ya'yi
危险讯号,wei'xian'xun'hao
伪者的真实,wei'zhe'de'zhen'shi
伪者登场,wei'zhe'deng'chang
伪装的少女,wei'zhuang'de'shao'nv
伪装自杀,wei'zhuang'zi'sha
稳定的时期,wen'ding'de'shi'qi
温暖的大海,wen'nuan'de'da'hai
温暖的海洋,wen'nuan'de'hai'yang
我没有忘记,wo'mei'you'wang'ji
我喜爱的神秘旅行,wo'xi'ai'de'shen'mi'lv'xing
五彩传说的水底龙宫,wu'cai'chuan'shuo'de'shui'di'long'gong
无法归来的二人,wu'fa'gui'lai'de'er'ren
无法消灭的证据,wu'fa'xiao'mie'de'zheng'ju
无极心,wu'ji'xin
无聊的比赛,wu'liao'de'bi'sai
无声的证据,wu'sheng'de'zheng'ju
舞台女演员杀人事件,wu'tai'nv'yan'yuan'sha'ren'shi'jian
雾天狗传说杀人事件,wu'tian'gou'chuan'shuo'sha'ren'shi'jian
武天老师,wu'tian'lao'shi
五条,wu'tiao
屋形船震惊的钓鱼,wu'xing'chuan'zhen'jing'de'diao'yu
乌鸦之歌,wu'ya'zhi'ge
吴越同舟,wu'yue'tong'zhou
西村警部,xi'cun'jing'bu
西村雅彦,xi'cun'ya'yan
西界王,xi'jie'wang
息命的复活,xi'ming'de'fu'huo
夕阳染红的女儿节人偶,xi'yang'ran'hong'de'nv'er'jie'ren'ou
夕阳与楼梯,xi'yang'yu'lou'ti
夏蕾绿,xia'lei'lv
现场取证,xian'chang'qu'zheng
仙人掌花杀人事件,xian'ren'zhang'hua'sha'ren'shi'jian
限时时,xian'shi'shi
限时十五时,xian'shi'shi'wu'shi
线索包围网,xian'suo'bao'wei'wang
显现魔术,xian'xian'mo'shu
嫌疑犯毛利小五郎,xian'yi'fan'mao'li'xiao'wu'lang
像公主的人,xiang'gong'zhu'de'ren
向日葵馆的枪声,xiang'ri'kui'guan'de'qiang'sheng
相同的命运,xiang'tong'de'ming'yun
象牙之塔,xiang'ya'zhi'ta
香椎由宇,xiang'zhui'you'yu
消不去的回忆,xiao'bu'qu'de'hui'yi
小岛元太,xiao'dao'yuan'tai
小兰的眼泪,xiao'lan'de'yan'lei
小栗旬,xiao'li'xun
小泉红子,xiao'quan'hong'zi
小山茉美,xiao'shan'mo'mei
消失的绑架逃逸车,xiao'shi'de'bang'jia'tao'yi'che
消失的钝器,xiao'shi'de'dun'qi
消失的光彦,xiao'shi'de'guang'yan
消失的记忆,xiao'shi'de'ji'yi
消失的恋人,xiao'shi'de'lian'ren
消失的男人,xiao'shi'de'nan'ren
消失的尸体,xiao'shi'de'shi'ti
消失的尸体杀人事件,xiao'shi'de'shi'ti'sha'ren'shi'jian
消失的新娘,xiao'shi'de'xin'niang
消失的凶器,xiao'shi'de'xiong'qi
消失的凶器搜索事件,xiao'shi'de'xiong'qi'sou'suo'shi'jian
消失的巡警,xiao'shi'de'xun'jing
消失的一页,xiao'shi'de'yi'ye
消失的音符,xiao'shi'de'yin'fu
小委托人,xiao'wei'tuo'ren
小五郎大失态,xiao'wu'lang'da'shi'tai
小五郎的选择,xiao'wu'lang'de'xuan'ze
小五郎同学会杀人事件,xiao'wu'lang'tong'xue'hui'sha'ren'shi'jian
小五郎约会杀人事件,xiao'wu'lang'yue'hui'sha'ren'shi'jian
小小的靶子,xiao'xiao'de'ba'zi
小小的目标,xiao'xiao'de'mu'biao
小小的目击者,xiao'xiao'de'mu'ji'zhe
小小的委托者,xiao'xiao'de'wei'tuo'zhe
小小的证据,xiao'xiao'de'zheng'ju
些许的脚印,xie'xu'de'jiao'yin
新兵器,xin'bing'qi
新出智明,xin'chu'zhi'ming
新的老师,xin'de'lao'shi
新的指令,xin'de'zhi'ling
新干线大爆炸事件,xin'gan'xian'da'bao'zha'shi'jian
新干线护送事件,xin'gan'xian'hu'song'shi'jian
新黑衣成员,xin'hei'yi'cheng'yuan
新婚的悲剧,xin'hun'de'bei'ju
辛辣苦口却又甘甜的汤,xin'la'ku'kou'que'you'gan'tian'de'tang
新兰永恒,xin'lan'yong'heng
新邻居,xin'lin'ju
新名香保里,xin'ming'xiang'bao'li
新闻照片杀人事件,xin'wen'zhao'pian'sha'ren'shi'jian
新一的恋人,xin'yi'de'lian'ren
新一回来了,xin'yi'hui'lai'le
新一少年时的冒险,xin'yi'shao'nian'shi'de'mao'xian
行本第卷,xing'ben'di'juan
星期一晚上七时三十分杀人事件,xing'qi'yi'wan'shang'qi'shi'san'shi'fen'sha'ren'shi'jian
星星的许愿,xing'xing'de'xu'yuan
星星都知道,xing'xing'dou'zhi'dao
星星和香烟的暗号,xing'xing'he'xiang'yan'de'an'hao
幸运的雪茄盒,xing'yun'de'xue'jia'he
凶器的下落,xiong'qi'de'xia'luo
凶手企图,xiong'shou'qi'tu
秀吉转大运,xiu'ji'zhuan'da'yun
修行室,xiu'xing'shi
秀一,xiu'yi
绪方贤一,xu'fang'xian'yi
虚幻之路,xu'huan'zhi'lu
虚假的爱情,xu'jia'de'ai'qing
虚假的病人,xu'jia'de'bing'ren
虚假的友情,xu'jia'de'you'qing
虚假日期,xu'jia'ri'qi
虚伪的人,xu'wei'de'ren
选婿盛宴,xuan'xu'sheng'yan
旋转的凶器,xuan'zhuan'de'xiong'qi
血迹的机关,xue'ji'de'ji'guan
雪女传说杀人事件,xue'nv'chuan'shuo'sha'ren'shi'jian
雪女的计谋,xue'nv'de'ji'mou
雪女之计,xue'nv'zhi'ji
血染英雄,xue'ran'ying'xiong
血染幽灵船,xue'ran'you'ling'chuan
雪山山庄杀人事件,xue'shan'shan'zhuang'sha'ren'shi'jian
学校的怪事,xue'xiao'de'guai'shi
学校奇谈,xue'xiao'qi'tan
血腥情人节,xue'xing'qing'ren'jie
寻宝去,xun'bao'qu
寻找屁股上的印记,xun'zhao'pi'gu'shang'de'yin'ji
雅木茶,ya'mu'cha
演讲厅神秘事件,yan'jiang'ting'shen'mi'shi'jian
岩井由希子,yan'jing'you'xi'zi
岩居由希子,yan'ju'you'xi'zi
鷃鼠星人之谜事件,yan'shu'xing'ren'zhi'mi'shi'jian
盐泽兼人,yan'ze'jian'ren
岩佐真悠子,yan'zuo'zhen'you'zi
阳光普照的地方,yang'guang'pu'zhao'de'di'fang
摇动的餐馆,yao'dong'de'can'guan
夜路杀人事件,ye'lu'sha'ren'shi'jian
遗产的去向,yi'chan'de'qu'xiang
一个信念,yi'ge'xin'nian
疑惑的不在场证明,yi'huo'de'bu'zai'chang'zheng'ming
疑惑的咖喱饭,yi'huo'de'ga'li'fan
疑惑的咖哩,yi'huo'de'ka'li
疑惑的枪声,yi'huo'de'qiang'sheng
疑惑的天体观测,yi'huo'de'tian'ti'guan'ce
疑惑的推理,yi'huo'de'tui'li
疑惑的瑛祐,yi'huo'de'ying'you
疑惑的邮件,yi'huo'de'you'jian
疑惑的真相,yi'huo'de'zhen'xiang
伊卡尔斯的黑色之翼,yi'ka'er'si'de'hei'se'zhi'yi
意料之外,yi'liao'zhi'wai
遗漏的东西,yi'lou'de'dong'xi
艺人总动员,yi'ren'zong'dong'yuan
遗书之谜,yi'shu'zhi'mi
一套证据,yi'tao'zheng'ju
一条成优子,yi'tiao'cheng'you'zi
意外的靶子,yi'wai'de'ba'zi
意外的对手,yi'wai'de'dui'shou
意外的理由,yi'wai'de'li'you
意外的目标,yi'wai'de'mu'biao
意外的启发,yi'wai'de'qi'fa
意外之宝,yi'wai'zhi'bao
伊武雅刀,yi'wu'ya'dao
一枝,yi'zhi
一直说谎的委托人,yi'zhi'shuo'huang'de'wei'tuo'ren
一族灭门,yi'zu'mie'men
一族之宝,yi'zu'zhi'bao
引爆摩天楼,yin'bao'mo'tian'lou
银包内的,yin'bao'nei'de
银行抢匪,yin'hang'qiang'fei
银行抢匪杀人事件,yin'hang'qiang'fei'sha'ren'shi'jian
阴和雷,yin'he'lei
饮料瓶之怪,yin'liao'ping'zhi'guai
银杏色的初恋,yin'xing'se'de'chu'lian
银翼的魔术师,yin'yi'de'mo'shu'shi
因缘和友情的试映会,yin'yuan'he'you'qing'de'shi'ying'hui
隐约的足迹,yin'yue'de'zu'ji
应该相同,ying'gai'xiang'tong
樱田门怪事,ying'tian'men'guai'shi
樱田门之变,ying'tian'men'zhi'bian
樱庭佑司,ying'ting'you'si
瑛祐的表白,ying'you'de'biao'bai
英语教师和西部名侦探,ying'yu'jiao'shi'he'xi'bu'ming'zhen'tan
影子设计师,ying'zi'she'ji'shi
勇敢的决定,yong'gan'de'jue'ding
勇敢的决断,yong'gan'de'jue'duan
涌起的杀意,yong'qi'de'sha'yi
用声音杀人,yong'sheng'yin'sha'ren
幼的目击者,you'de'mu'ji'zhe
诱拐现场特定事件,you'guai'xian'chang'te'ding'shi'jian
诱惑的赤马,you'huo'de'chi'ma
游乐园高空弹跳事件,you'le'yuan'gao'kong'tan'tiao'shi'jian
幽灵船杀人事件,you'ling'chuan'sha'ren'shi'jian
幽灵大厦,you'ling'da'sha
幽灵摩天轮,you'ling'mo'tian'lun
幽灵屋的真相,you'ling'wu'de'zhen'xiang
幽灵屋之谜,you'ling'wu'zhi'mi
友情与杀意的关门海峡,you'qing'yu'sha'yi'de'guan'men'hai'xia
优胜锦旗被割事件,you'sheng'jin'qi'bei'ge'shi'jian
有氧潜水杀人事件,you'yang'qian'shui'sha'ren'shi'jian
优作,you'zuo
愚蠢的模仿,yu'chun'de'mo'fang
与黑暗组织的再会,yu'hei'an'zu'zhi'de'zai'hui
鱼事件,yu'shi'jian
浴室密室事件,yu'shi'mi'shi'shi'jian
语言不通,yu'yan'bu'tong
鱼邮件的追踪,yu'you'jian'de'zhui'zong
雨中的答案,yu'zhong'de'da'an
雨中的刻印,yu'zhong'de'ke'yin
猿渡秀朗,yuan'du'xiu'lang
远方操作,yuan'fang'cao'zuo
圆谷光彦,yuan'gu'guang'yan
元气弹,yuan'qi'tan
远山和叶,yuan'shan'he'ye
远山警官,yuan'shan'jing'guan
元太的必杀曲线球,yuan'tai'de'bi'sha'qu'xian'qiu
元太的圈套,yuan'tai'de'quan'tao
元太的灾难,yuan'tai'de'zai'nan
元太少年的灾难,yuan'tai'shao'nian'de'zai'nan
原子笔之谜,yuan'zi'bi'zhi'mi
园子的红手帕,yuan'zi'de'hong'shou'pa
园子的夏日海滩冒险物语,yuan'zi'de'xia'ri'hai'tan'mao'xian'wu'yu
约定的场所,yue'ding'de'chang'suo
月亮和星星与太阳的秘密,yue'liang'he'xing'xing'yu'tai'yang'de'mi'mi
月日之谜,yue'ri'zhi'mi
云霄飞车杀人事件,yun'xiao'fei'che'sha'ren'shi'jian
在法国,zai'fa'guo
在黑暗中传出的神秘枪声,zai'hei'an'zhong'chuan'chu'de'shen'mi'qiang'sheng
再会,zai'hui
在图画里面的绑架犯,zai'tu'hua'li'mian'de'bang'jia'fan
在雾里,zai'wu'li
在雪原之中,zai'xue'yuan'zhi'zhong
憎恨之村,zeng'hen'zhi'cun
炸弹的下落,zha'dan'de'xia'luo
炸弹犯,zha'dan'fan
战栗,zhan'li
战栗的乐谱,zhan'li'de'yue'pu
战栗的总谱,zhan'li'de'zong'pu
詹姆斯布莱克,zhan'mu'si'bu'lai'ke
詹姆斯约翰,zhan'mu'si'yue'han
照片的下落,zhao'pian'de'xia'luo
照片说话了,zhao'pian'shuo'hua'le
照片为证,zhao'pian'wei'zheng
肇事逃逸,zhao'shi'tao'yi
沼渊己一郎,zhao'yuan'ji'yi'lang
沼渊已一郎,zhao'yuan'yi'yi'lang
这个世上最,zhe'ge'shi'shang'zui
这就是真相,zhe'jiu'shi'zhen'xiang
这世上最,zhe'shi'shang'zui
这是真实的,zhe'shi'zhen'shi'de
震动的警视厅,zhen'dong'de'jing'shi'ting
珍贵的邮戳,zhen'gui'de'you'chuo
镇魂曲,zhen'hun'qu
真假人质绑票事件,zhen'jia'ren'zhi'bang'piao'shi'jian
真空的杀人,zhen'kong'de'sha'ren
阵内孝则,zhen'nei'xiao'ze
侦探徽章,zhen'tan'hui'zhang
侦探甲子园,zhen'tan'jia'zi'yuan
侦探们的安魂曲,zhen'tan'men'de'an'hun'qu
侦探们的镇魂歌,zhen'tan'men'de'zhen'hun'ge
侦探团大追击事件,zhen'tan'tuan'da'zhui'ji'shi'jian
侦探团和青虫四兄弟,zhen'tan'tuan'he'qing'chong'si'xiong'di
侦探团生还事件,zhen'tan'tuan'sheng'huan'shi'jian
真相的大门,zhen'xiang'de'da'men
证据,zheng'ju
证人生还,zheng'ren'sheng'huan
证人生还了,zheng'ren'sheng'huan'le
支持新兰,zhi'chi'xin'lan
直球定输赢,zhi'qiu'ding'shu'ying
直球胜负,zhi'qiu'sheng'fu
治愈之森的不在场称证明,zhi'yu'zhi'sen'de'bu'zai'chang'cheng'zheng'ming
制造密室,zhi'zao'mi'shi
蜘蛛公馆,zhi'zhu'gong'guan
终点站,zhong'dian'zhan
中华街雨中的似曾相识,zhong'hua'jie'yu'zhong'de'si'ceng'xiang'shi
中森警官,zhong'sen'jing'guan
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
重松明男,zhong'song'ming'nan
中头奖,zhong'tou'jiang
重要的人,zhong'yao'de'ren
重要嫌疑人,zhong'yao'xian'yi'ren
猪保满雄,zhu'bao'man'xiong
朱蒂,zhu'di
坠落的尸体,zhui'luo'de'shi'ti
坠落事件的隐情,zhui'luo'shi'jian'de'yin'qing
追逐声音,zhui'zhu'sheng'yin
追踪目标,zhui'zong'mu'biao
兹夫尔行星,zi'fu'er'xing'xing
紫红之爪,zi'hong'zhi'zhao
综合病院杀人事件,zong'he'bing'yuan'sha'ren'shi'jian
纵火狂,zong'huo'kuang
走头无路的名侦探,zou'tou'wu'lu'de'ming'zhen'tan
走投无路的名侦探连续两大杀人事件,zou'tou'wu'lu'de'ming'zhen'tan'lian'xu'liang'da'sha'ren'shi'jian
足球选手恐吓事件,zu'qiu'xuan'shou'kong'he'shi'jian
诅咒面具的冷笑,zu'zhou'mian'ju'de'leng'xiao
最初的招呼,zui'chu'de'zhao'hu
最后的可能性,zui'hou'de'ke'neng'xing
最后的闪光,zui'hou'de'shan'guang
最后的王牌,zui'hou'de'wang'pai
最后的心,zui'hou'de'xin
最后的遗言,zui'hou'de'yi'yan
最后一箭,zui'hou'yi'jian
醉在萨摩的小五郎,zui'zai'sa'mo'de'xiao'wu'lang
最终播映杀人事件,zui'zhong'bo'ying'sha'ren'shi'jian
最终手段,zui'zhong'shou'duan
作梦的地方,zuo'meng'de'di'fang
佐山明子,zuo'shan'ming'zi
佐藤的感情,zuo'teng'de'gan'qing
佐藤的胜算,zuo'teng'de'sheng'suan
佐藤的心意,zuo'teng'de'xin'yi
佐藤警官,zuo'teng'jing'guan
佐藤美和子,zuo'teng'mei'he'zi
佐藤相亲,zuo'teng'xiang'qin
佐佐木藏之介,zuo'zuo'mu'cang'zhi'jie
