安正文,an'zheng'wen
白蕉,bai'jiao
白壽章,bai'shou'zhang
包弼臣,bao'bi'chen
边景昭,bian'jing'zhao
边鲁,bian'lu
邊壽民,bian'shou'min
卞文瑜,bian'wen'yu
薄殿俊,bo'dian'jun
蔡嘉,cai'jia
蔡升,cai'sheng
蔡元培,cai'yuan'pei
曹容,cao'rong
曹知白,cao'zhi'bai
曾鯨,ceng'jing
曾熙,ceng'xi
查士标,cha'shi'biao
陳寶琛,chen'bao'chen
陈道復,chen'dao'fu
陈栝,chen'gua
陳恒安,chen'heng'an
陳衡恪,chen'heng'ke
陈洪纲,chen'hong'gang
陈洪绶,chen'hong'shou
陳煥,chen'huan
陳繼儒,chen'ji'ru
陳嘉言,chen'jia'yan
陈琳,chen'lin
陈錄,chen'lu
陈枚,chen'mei
陈谟,chen'mo
陳無垢,chen'mo'gou
陳其采,chen'qi'cai
陳三立,chen'san'li
陈选,chen'xuan
陈英,chen'ying
陳撰,chen'zhuan
陈卓,chen'zhuo
陈字,chen'zi
陳子奮,chen'zi'fen
陳子莊,chen'zi'zhuang
陈宗渊,chen'zong'yuan
程嘉燧,cheng'jia'sui
程邃,cheng'sui
程正揆,cheng'zheng'kui
崔彦铺,cui'yan'pu
崔子忠,cui'zi'zhong
戴本孝,dai'ben'xiao
戴进,dai'jin
戴熙,dai'xi
戴应宏,dai'ying'hong
鄧爾雅,deng'er'ya
鄧散木,deng'san'mu
狄葆賢,di'bao'xian
丁佛言,ding'fo'yan
丁观鹏,ding'guan'peng
丁惠民,ding'hui'min
丁云鵬,ding'yun'peng
董邦达,dong'bang'da
董必武,dong'bi'wu
董其昌,dong'qi'chang
董壽平,dong'shou'ping
董作賓,dong'zuo'bin
杜堇,du'jin
杜牧,du'mu
杜瓊,du'qiong
法若真,fa'ruo'zhen
樊圻,fan'qi
范雪仪,fan'xue'yi
樊增祥,fan'zeng'xiang
方从义,fang'cong'yi
方亨咸,fang'heng'xian
方介堪,fang'jie'kan
方世庶,fang'shi'shu
方旭,fang'xu
方薰,fang'xun
方厓,fang'ya
費丹旭,fei'dan'xu
费新我,fei'xin'wo
冯仙湜,feng'xian'shi
豐子愷,feng'zi'kai
傅眉,fu'mei
傅山,fu'shan
傅增湘,fu'zeng'xiang
符鑄,fu'zhu
改琦,gai'qi
高岑,gao'cen
高二適,gao'er'shi
高鳳翰,gao'feng'han
高简,gao'jian
高克恭,gao'ke'gong
高其佩,gao'qi'pei
高時顯,gao'shi'xian
高翔,gao'xiang
高燮,gao'xie
高邕,gao'yong
高遇,gao'yu
龚贤,gong'xian
顾安,gu'an
顧春,gu'chun
顾大申,gu'da'shen
顾符稹,gu'fu'zhen
顾见龙,gu'jian'long
顾琳,gu'lin
顧仲清,gu'zhong'qing
郭畀,guo'bi
郭纯,guo'chun
郭沫若,guo'mo'ruo
郭紹虞,guo'shao'yu
郭诩,guo'xu
过仪,guo'yi
何澄,he'cheng
何浩,he'hao
弘仁,hong'ren
侯达,hou'da
胡聪,hu'cong
胡錫珪,hu'xi'gui
胡小石,hu'xiao'shi
胡遠,hu'yuan
胡慥,hu'zao
胡宗仁,hu'zong'ren
华浚,hua'jun
華世奎,hua'shi'kui
华嵒,hua'yan
华祖立,hua'zu'li
黃葆戉,huang'bao'yue
黃賓虹,huang'bin'hong
黄鼎,huang'ding
黄公望,huang'gong'wang
黄济,huang'ji
黃節,huang'jie
黃侃,huang'kan
黃慎,huang'shen
黄向坚,huang'xiang'jian
黃興,huang'xing
黃炎培,huang'yan'pei
黄应谌,huang'ying'shen
黃稚荃,huang'zhi'quan
计盛,ji'sheng
坚白子,jian'bai'zi
江春霖,jiang'chun'lin
姜實節,jiang'shi'jie
蒋崧,jiang'song
蒋廷锡,jiang'ting'xi
蔣吟秋,jiang'yin'qiu
喬大壯,jiao'da'zhuang
金城,jin'cheng
金黼,jin'fu
金俊明,jin'jun'ming
金農,jin'nong
金润,jin'run
金湜,jin'shi
金铉,jin'xuan
金玥,jin'yue
靳志,jin'zhi
經亨頤,jing'heng'yi
康有為,kang'you'wei
柯璜,ke'huang
柯九思,ke'jiu'si
髡残,kun'can
來楚生,lai'chu'sheng
蓝孟,lan'meng
蓝涛,lan'tao
藍瑛,lan'ying
郎世宁,lang'shi'ning
雷浚,lei'jun
冷枚,leng'mei
李昶,li'chang
李方膺,li'fang'ying
李灝,li'hao
李华,li'hua
黎簡,li'jian
李衎,li'kan
李可染,li'ke'ran
李流芳,li'liu'fang
李駱公,li'luo'gong
李容瑾,li'rong'jin
李瑞清,li'rui'qing
李士達,li'shi'da
李士行,li'shi'xing
李世倬,li'shi'zhuo
李叔同,li'shu'tong
李鱓,li'tuo
李寅,li'yin
李永昌,li'yong'chang
李在,li'zai
李著,li'zhu
梁啟超,liang'qi'chao
林長民,lin'chang'min
林垍,lin'ji
林卷阿,lin'juan'a
林良,lin'liang
林散之,lin'san'zhi
林紓,lin'shu
刘秉谦,liu'bing'qian
陸燦,liu'can
劉春霖,liu'chun'lin
劉東父,liu'dong'fu
刘度,liu'du
劉鳳起,liu'feng'qi
刘贯道,liu'guan'dao
劉海粟,liu'hai'su
刘珏,liu'jue
刘俊,liu'jun
刘堪,liu'kan
劉孟伉,liu'meng'kang
劉詧,liu'qie
陸士仁,liu'shi'ren
劉世儒,liu'shi'ru
陸維釗,liu'wei'zhao
柳亞子,liu'ya'zi
劉彥沖,liu'yan'chong
陸儼少,liu'yan'shao
柳詒徵,liu'yi'zheng
柳遇,liu'yu
柳堉,liu'yu
劉鐘龢,liu'zhong'he
陆薪,lu'xin
陆行直,lu'xing'zhi
魯迅,lu'xun
陆远,lu'yuan
陆治,lu'zhi
羅惇,luo'dun
罗牧,luo'mu
羅聘,luo'pin
羅振玉,luo'zhen'yu
吕端俊,lv'duan'jun
呂鳳子,lv'feng'zi
吕焕成,lv'huan'cheng
吕纪,lv'ji
呂希文,lv'xi'wen
呂學,lv'xue
馬公愚,ma'gong'yu
馬灌父,ma'guan'fu
馬衡,ma'heng
马荃,ma'quan
马轼,ma'shi
馬守真,ma'shou'zhen
马琬,ma'wan
馬相伯,ma'xiang'bo
馬敘倫,ma'xu'lun
馬一浮,ma'yi'fu
马元驭,ma'yuan'yu
矛盾,mao'dun
茅麐,mao'lin
毛澤東,mao'ze'dong
梅清,mei'qing
閔貞,min'zhen
缪铺,miu'pu
莫是龍,mo'shi'long
倪端,ni'duan
倪荣,ni'rong
倪元璐,ni'yuan'lu
倪瓒,ni'zan
寧斧成,ning'fu'cheng
歐陽漸,ou'yang'jian
潘伯鷹,pan'bo'ying
潘飛聲,pan'fei'sheng
潘恭壽,pan'gong'shou
潘齡皋,pan'ling'gao
潘天壽,pan'tian'shou
潘主蘭,pan'zhu'lan
龐白虹,pang'bai'hong
馮幵,ping'jian
馮建吳,ping'jian'wu
馮寧,ping'ning
馮恕,ping'shu
蒲華,pu'hua
溥儒,pu'ru
溥伒,pu'yin
齊白石,qi'bai'shi
啟功,qi'gong
錢杜,qian'du
錢灃,qian'feng
钱榖,qian'gu
錢罕,qian'han
錢君匋,qian'jun'yao
錢維喬,qian'wei'jiao
钱选,qian'xuan
錢厓,qian'ya
錢振鍠,qian'zhen'huang
秦咢生,qin'e'sheng
欽式,qin'shi
仇英,qiu'ying
任黛,ren'dai
任淇,ren'qi
任仁发,ren'ren'fa
任熊,ren'xiong
任頤,ren'yi
容庚,rong'geng
茹欲立,ru'yu'li
三多,san'duo
沙孟海,sha'meng'hai
商承祚,shang'cheng'zuo
商琦,shang'qi
上睿,shang'rui
商喜,shang'xi
商衍鎏,shang'yan'liu
邵彌,shao'mi
邵章,shao'zhang
沈曾植,shen'ceng'zhi
沈颢,shen'hao
沈覲壽,shen'jin'shou
沈鈞儒,shen'jun'ru
沈铨,shen'quan
沈仕,shen'shi
沈時,shen'shi
沈碩,shen'shi
沈士充,shen'shi'chong
沈衛,shen'wei
沈五集,shen'wu'ji
沈炫,shen'xuan
沈延毅,shen'yan'yi
沈尹默,shen'yin'mo
沈周,shen'zhou
沈從文,shen'zong'wen
盛昌年,sheng'chang'nian
盛光衛,sheng'guang'wei
盛懋,sheng'mao
