阿古泰兴,a'gu'tai'xing
阿克塞利,a'ke'sai'li
埃德克特,ai'de'ke'te
爱佛卢蒂,ai'fo'lu'di
爱塔罗坦思卡特,ai'ta'luo'tan'si'ka'te
暗黑龙枪,an'hei'long'qiang
暗红泪珠,an'hong'lei'zhu
安其丽,an'qi'li
奥格雷特帝国,ao'ge'lei'te'di'guo
巴山,ba'shan
巴托神锤,ba'tuo'shen'chui
贝尔蒂娜,bei'er'di'na
碧丽莎,bi'li'sha
比同可尼撒流斯,bi'tong'ke'ni'sa'liu'si
冰河倒泄,bing'he'dao'xie
冰裂震雷,bing'lie'zhen'lei
冰锐锋芒,bing'rui'feng'mang
冰之绝壁,bing'zhi'jue'bi
博索斯,bo'suo'si
尘暴笼罩,chen'bao'long'zhao
成达维尔,cheng'da'wei'er
大地战车,da'di'zhan'che
达克,da'ke
达克托,da'ke'tuo
德雷刻丝,de'lei'ke'si
蒂可罗尼,di'ke'luo'ni
地狱火,di'yu'huo
恩莱科,en'lai'ke
法兰妮,fa'lan'ni
梵陀思,fan'tuo'si
菲安娜,fei'an'na
费尔,fei'er
斐尔特,fei'er'te
费尔提兰,fei'er'ti'lan
妃丽思蒂娜,fei'li'si'di'na
费纳希雅,fei'na'xi'ya
菲斯勒,fei'si'le
愤怒的血液,fen'nu'de'xue'ye
风蝓,feng'yu
风之号角,feng'zhi'hao'jiao
风之守护,feng'zhi'shou'hu
父神论,fu'shen'lun
感恩日,gan'en'ri
戈尔斯罗,ge'er'si'luo
格兰特,ge'lan'te
歌铃,ge'ling
格洛里恩,ge'luo'li'en
恭塔古,gong'ta'gu
光辉日,guang'hui'ri
海格埃洛,hai'ge'ai'luo
豪猛,hao'meng
荷科尔斯,he'ke'er'si
赫克特儿,he'ke'te'er
荷里,he'li
赫利斯,he'li'si
黑暗旌旗,hei'an'jing'qi
红云之铠,hong'yun'zhi'kai
混沌晶壁,hun'dun'jing'bi
杰瑞,jie'rui
镜湖城,jing'hu'cheng
精神风暴,jing'shen'feng'bao
精神振荡,jing'shen'zhen'dang
镜月宫,jing'yue'gong
救赎日,jiu'shu'ri
绝对冰封,jue'dui'bing'feng
卡敖奇,ka'ao'qi
卡拉丹,ka'la'dan
卡立特,ka'li'te
卡内里奥,ka'nei'li'ao
卡兹,ka'zi
凯琴岛,kai'qin'dao
凯特,kai'te
考伦斯,kao'lun'si
科比李奥,ke'bi'li'ao
克丽丝,ke'li'si
克维志,ke'wei'zhi
拉多克斯克拉尼斯,la'duo'ke'si'ke'la'ni'si
拉丝科尔,la'si'ke'er
莱丁,lai'ding
莱福特,lai'fu'te
赖特,lai'te
劳德,lao'de
勒克累斯,le'ke'lei'si
雷尔塔,lei'er'ta
雷光护壁,lei'guang'hu'bi
莉拉,li'la
莉特儿,li'te'er
理智之心,li'zhi'zhi'xin
莲娜,lian'na
灵魂匕首,ling'hun'bi'shou
灵魂之眼,ling'hun'zhi'yan
流光水影,liu'guang'shui'ying
鲁西亚,lu'xi'ya
鲁西亚神杖,lu'xi'ya'shen'zhang
罗兰,luo'lan
罗塞姆,luo'sai'mu
罗塞维尔,luo'sai'wei'er
玛多士,ma'duo'shi
马克鲁,ma'ke'lu
玛雷奥菲努斯,ma'lei'ao'fei'nu'si
麦考伦,mai'kao'lun
毛斯,mao'si
美卡顿,mei'ka'dun
梅卡鲁斯,mei'ka'lu'si
梅龙,mei'long
美纱莉,mei'sha'li
梦幻魔林,meng'huan'mo'lin
蒙提塔,meng'ti'ta
米琳达,mi'lin'da
米霞依提斯,mi'xia'yi'ti'si
魔法帝国,mo'fa'di'guo
魔法皇帝,mo'fa'huang'di
魔法协会,mo'fa'xie'hui
魔法学徒,mo'fa'xue'tu
魔幻森林,mo'huan'sen'lin
莫妮纱,mo'ni'sha
末日浩劫,mo'ri'hao'jie
莫斯特,mo'si'te
莫斯特卡所弥雷斯,mo'si'te'ka'suo'mi'lei'si
莫斯特拉卡奥费斯,mo'si'te'la'ka'ao'fei'si
墨苏亚,mo'su'ya
纳加,na'jia
凝血冻枪,ning'xue'dong'qiang
帕斯廷,pa'si'ting
派罗,pai'luo
培安,pei'an
普尔多可,pu'er'duo'ke
齐斯拉山谷,qi'si'la'shan'gu
屈埃菲克,qu'ai'fei'ke
塞根特,sai'gen'te
赛纳斯,sai'na'si
塞维纳,sai'wei'na
三头魔狼,san'tou'mo'lang
桑特,sang'te
森林妖精,sen'lin'yao'jing
闪电风暴,shan'dian'feng'bao
舍格瑞,she'ge'rui
神圣守护,shen'sheng'shou'hu
胜利日,sheng'li'ri
生命圣水,sheng'ming'sheng'shui
水之晶壁,shui'zhi'jing'bi
水之纹章,shui'zhi'wen'zhang
斯崔尔,si'cui'er
斯德布,si'de'bu
思利尔长矛,si'li'er'chang'mao
死灵魔仆,si'ling'mo'pu
死灵神仆,si'ling'shen'pu
斯塔特,si'ta'te
斯泰特利,si'tai'te'li
四贤者,si'xian'zhe
索德,suo'de
索菲恩,suo'fei'en
索米雷特,suo'mi'lei'te
塔纳德,ta'na'de
泰尔波特,tai'er'bo'te
泰米尔,tai'mi'er
泰斯金克,tai'si'jin'ke
特罗德,te'luo'de
天地崩塌,tian'di'beng'ta
托德,tuo'de
托木尔,tuo'mu'er
瓦尔克斯山脉,wa'er'ke'si'shan'mai
维德斯克,wei'de'si'ke
维尔短剑,wei'er'duan'jian
维卡多利,wei'ka'duo'li
维克多,wei'ke'duo
韦斯顿,wei'si'dun
维雪,wei'xue
乌提夫,wu'ti'fu
席贝尔,xi'bei'er
希莱娅,xi'lai'ya
希里妮丝爱莲娜,xi'li'ni'si'ai'lian'na
希玲,xi'ling
希茜莉亚,xi'qian'li'ya
辛洛安,xin'luo'an
新拿,xin'na
星盘,xing'pan
旭日城,xu'ri'cheng
血狐,xue'hu
雪蜜儿,xue'mi'er
血之禁咒,xue'zhi'jin'zhou
依德特,yi'de'te
夷寇纳美,yi'kou'na'mei
依斯开普,yi'si'kai'pu
银潮城,yin'chao'cheng
因珀斯,yin'po'si
因塞杰恩特,yin'sai'jie'en'te
因塔,yin'ta
鹰之锐眼,ying'zhi'rui'yan
由德士,you'de'shi
幽冥之禁,you'ming'zhi'jin
由斯普,you'si'pu
云中之城,yun'zhong'zhi'cheng
战神怒吼,zhan'shen'nu'hou
掌控者,zhang'kong'zhe
真实幻影,zhen'shi'huan'ying
制裁之戒,zhi'cai'zhi'jie
灼热砾石,zhuo're'li'shi
