阿尔塞斯,a'er'sai'si
阿卡那瑟德刺人,a'ka'na'se'de'ci'ren
阿卡那瑟德掘地者,a'ka'na'se'de'jue'di'zhe
阿卡那瑟德领主,a'ka'na'se'de'ling'zhu
阿卡那瑟德战士,a'ka'na'se'de'zhan'shi
阿利亚之笛,a'li'ya'zhi'di
艾鲁尼之优雅,ai'lu'ni'zhi'you'ya
矮人火枪手,ai'ren'huo'qiang'shou
矮人狙击手,ai'ren'ju'ji'shou
矮人直升机,ai'ren'zhi'sheng'ji
矮人直升机炸弹,ai'ren'zhi'sheng'ji'zha'dan
艾西菲的远古祭祀,ai'xi'fei'de'yuan'gu'ji'si
暗黑耀,an'hei'yao
暗黑游侠,an'hei'you'xia
黯灭,an'mie
黯灭刀,an'mie'dao
黯灭刃,an'mie'ren
暗牧,an'mu
暗夜精灵形态,an'ye'jing'ling'xing'tai
暗夜老农,an'ye'lao'nong
暗夜魔王,an'ye'mo'wang
暗影,an'ying
暗影猎手,an'ying'lie'shou
暗影猎手小,an'ying'lie'shou'xiao
暗影牧师,an'ying'mu'shi
暗影萨满,an'ying'sa'man
暗影突袭,an'ying'tu'xi
拔线,ba'xian
白虎,bai'hu
白牛,bai'niu
板甲,ban'jia
半人马刺客,ban'ren'ma'ci'ke
半人马弓箭手,ban'ren'ma'gong'jian'shou
半人马可汗,ban'ren'ma'ke'han
半人马苦工,ban'ren'ma'ku'gong
半人马酋长,ban'ren'ma'qiu'zhang
半人马巫师,ban'ren'ma'wu'shi
半人马先行者,ban'ren'ma'xian'xing'zhe
半人猛犸,ban'ren'meng'ma
半兽人之斧,ban'shou'ren'zhi'fu
保护卷轴,bao'hu'juan'zhou
保护领地,bao'hu'ling'di
包鸡,bao'ji
暴击,bao'ji
暴怒枭兽,bao'nu'xiao'shou
保塔,bao'ta
爆小黑,bao'xiao'hei
包眼,bao'yan
暴走,bao'zou
背背兽,bei'bei'shou
臂章,bi'zhang
蝙蝠骑士,bian'fu'qi'shi
变近身,bian'jin'shen
变近战,bian'jin'zhan
变体攻击,bian'ti'gong'ji
变体精灵,bian'ti'jing'ling
变相移动,bian'xiang'yi'dong
变熊,bian'xiong
变羊,bian'yang
