八月未央,ba'yue'wei'yang
半夏锦年,ban'xia'jin'nian
彼岸花,bi'an'hua
薄荷微光少年时,bo'he'wei'guang'shao'nian'shi
苍耳,cang'er
第一夜的蔷薇,di'yi'ye'de'qiang'wei
对的时间对的人,dui'de'shi'jian'dui'de'ren
放弃我抓紧我,fang'qi'wo'zhua'jin'wo
浮生物语,fu'sheng'wu'yu
告别薇安,gao'bie'wei'an
孤芳不自赏,gu'fang'bu'zi'shang
何所冬暖何所夏凉,he'suo'dong'nuan'he'suo'xia'liang
何以笙箫默,he'yi'sheng'xiao'mo
很想很想你,hen'xiang'hen'xiang'ni
会有天使替我爱你,hui'you'tian'shi'ti'wo'ai'ni
骄阳似我,jiao'yang'si'wo
锦绣未央,jin'xiu'wei'yang
乐小米天已微凉,le'xiao'mi'tian'yi'wei'liang
恋爱之城,lian'ai'zhi'cheng
恋恋不忘,lian'lian'bu'wang
凉生我们可不可以不忧伤,liang'sheng'wo'men'ke'bu'ke'yi'bu'you'shang
烈火如歌,lie'huo'ru'ge
落樱,luo'ying
绿色生死恋,lv'se'sheng'si'lian
满满都是我对你的爱,man'man'dou'shi'wo'dui'ni'de'ai
美人如玉剑如虹,mei'ren'ru'yu'jian'ru'hong
美人为馅,mei'ren'wei'xian
明若晓溪,ming'ruo'xiao'xi
逆臣,ni'chen
你的纸飞机还回来吗,ni'de'zhi'fei'ji'hai'hui'lai'ma
你和我的倾城时光,ni'he'wo'de'qing'cheng'shi'guang
念念不忘,nian'nian'bu'wang
念念不想忘,nian'nian'bu'xiang'wang
泡沫之夏,pao'mo'zhi'xia
怦然心动,peng'ran'xin'dong
七年,qi'nian
七月和安生,qi'yue'he'an'sheng
千金女贼,qian'jin'nv'zei
蔷薇岛屿,qiang'wei'dao'yu
亲爱的你还在不在,qin'ai'de'ni'hai'zai'bu'zai
青城,qing'cheng
青春微凉不离伤,qing'chun'wei'liang'bu'li'shang
轻易放火,qing'yi'fang'huo
轻易靠近,qing'yi'kao'jin
全世界陪我终结,quan'shi'jie'pei'wo'zhong'jie
如果萌请深萌,ru'guo'meng'qing'shen'meng
如果蜗牛有爱情,ru'guo'wo'niu'you'ai'qing
若不是因为爱着你,ruo'bu'shi'yin'wei'ai'zhe'ni
三生不幸遇贱你,san'sheng'bu'xing'yu'jian'ni
三生三世里桃花,san'sheng'san'shi'li'tao'hua
三生三世枕上书,san'sheng'san'shi'zhen'shang'shu
杉杉来吃,shan'shan'lai'chi
是你路过我的倾城时光,shi'ni'lu'guo'wo'de'qing'cheng'shi'guang
谁教白马踏梦船,shui'jiao'bai'ma'ta'meng'chuan
他来了请闭眼,ta'lai'le'qing'bi'yan
他与月光为邻,ta'yu'yue'guang'wei'lin
天空不要为我掉眼泪,tian'kong'bu'yao'wei'wo'diao'yan'lei
听说我们不曾落泪,ting'shuo'wo'men'bu'ceng'luo'lei
万年女配,wan'nian'nv'pei
微微一笑很倾城,wei'wei'yi'xiao'hen'qing'cheng
唯有你不可辜负,wei'you'ni'bu'ke'gu'fu
我的青春从爱你开始,wo'de'qing'chun'cong'ai'ni'kai'shi
我一直在你身边,wo'yi'zhi'zai'ni'shen'bian
我站在桥上看风景,wo'zhan'zai'qiao'shang'kan'feng'jing
午后薰衣茶,wu'hou'xun'yi'cha
梧桐那么伤,wu'tong'na'me'shang
旋风少女,xuan'feng'shao'nv
一见你就笑,yi'jian'ni'jiu'xiao
一厘米的阳光,yi'li'mi'de'yang'guang
一起来看流星雨,yi'qi'lai'kan'liu'xing'yu
一起又看流星雨,yi'qi'you'kan'liu'xing'yu
一生一世,yi'sheng'yi'shi
一生一世梵唱,yi'sheng'yi'shi'fan'chang
一生一世美人骨,yi'sheng'yi'shi'mei'ren'gu
樱花落海洋,ying'hua'luo'hai'yang
永安调,yong'an'tiao
至此终年,zhi'ci'zhong'nian
致亲爱的你,zhi'qin'ai'de'ni
