背後,bei'hou
北迴歸線,bei'hui'gui'xian
筆畫,bi'hua
彆扭,bie'niu
併肩,bing'jian
綵筆生花,cai'bi'sheng'hua
採集,cai'ji
採納,cai'na
參差,cen'cha
吃麵,chi'mian
衝啊,chong'a
衝動,chong'dong
衝鋒,chong'feng
沖壓,chong'ya
窗明几淨,chuang'ming'ji'jing
詞彙,ci'hui
存摺,cun'zhe
岱嶽,dai'yue
弔喪,diao'sang
弔唁,diao'yan
鼕鼕,dong'dong
鬥爭,dou'zheng
髮帶,fa'dai
髮絲,fa'si
繁複,fan'fu
泛濫,fan'lan
範圍,fan'wei
方便麵,fang'bian'mian
防範,fang'fan
復甦,fu'su
複習,fu'xi
複印,fu'yin
複雜,fu'za
幹部,gan'bu
幹掉,gan'diao
干戈,gan'ge
幹了事,gan'liao'shi
幹了一壇法,gan'liao'yi'tan'fa
干涉,gan'she
幹事,gan'shi
歌舞昇平,ge'wu'sheng'ping
骨幹,gu'gan
穀物,gu'wu
穀子,gu'zi
颳風,gua'feng
規範,gui'fan
合併,he'bing
河嶽,he'yue
洪昇,hong'sheng
後背,hou'bei
後宮,hou'gong
後來,hou'lai
划船,hua'chuan
划得來,hua'de'lai
劃分,hua'fen
畫畫,hua'hua
劃火柴,hua'huo'chai
劃傷,hua'shang
畫押,hua'ya
滙豐銀行,hui'feng'yin'xing
夥伴,huo'ban
藉故,ji'gu
計劃,ji'hua
兼併,jian'bing
姦淫,jian'yin
獎盃,jiang'bei
強姦,jiang'jian
金盃,jin'bei
酒罈,jiu'tan
開採,kai'cai
開天闢地,kai'tian'bi'di
靠後,kao'hou
纍臣,lei'chen
纍紲,lei'xie
裡面,li'mian
連年有餘,lian'nian'you'yu
兩罈,liang'tan
另闢蹊徑,ling'bi'xi'jing
龍須麵,long'xu'mian
嚕囌,lu'su
毛髮,mao'fa
麵粉,mian'fen
麵食,mian'shi
麵條,mian'tiao
名勝古蹟,ming'sheng'gu'ji
模範,mo'fan
哪裡,na'li
那裡,na'li
泡麵,pao'mian
披紅挂綵,pi'gong'gua'cai
憑藉,ping'ji
其後,qi'hou
祇是,qi'shi
七星壇,qi'xing'tan
乾了一杯,qian'le'yi'bei
乾了一瓶,qian'le'yi'ping
乾了一碗,qian'le'yi'wan
乾了一壺,qian'liao'yi'hu
乾了一罈,qian'liao'yi'tan
乾乾巴巴,qian'qian'ba'ba
乾乾脆脆,qian'qian'cui'cui
乾乾的嚥,qian'qian'de'yan
乾乾淨淨,qian'qian'jing'jing
乾乾瘦瘦,qian'qian'shou'shou
乾乾爽爽,qian'qian'shuang'shuang
前線,qian'xian
簽寫,qian'xie
簽字,qian'zi
囚繫,qiu'xi
熱線,re'xian
人蔘,ren'shen
若干,ruo'gan
山嶽,shan'yue
傷痕纍纍,shang'hen'lei'lei
身後,shen'hou
什麼,shen'mo
神祇,shen'qi
甚於,shen'yu
勝於,sheng'yu
生於,sheng'yu
事蹟,shi'ji
世界盃,shi'jie'bei
樹幹,shu'gan
書籤,shu'qian
甦醒,su'xing
台泥,tai'ni
台灣,tai'wan
特徵,te'zheng
天干,tian'gan
銅盃,tong'bei
通姦,tong'jian
頭髮,tou'fa
遺蹟,wei'ji
慰藉,wei'jie
為什麼,wei'shen'mo
五穀,wu'gu
五穀雜糧,wu'gu'za'liang
五嶽,wu'yue
醃菜,yan'cai
醃肉,yan'rou
醃製,yan'zhi
一併,yi'bing
一沖淡,yi'chong'dan
一沖激,yi'chong'ji
一沖積,yi'chong'ji
一沖涼,yi'chong'liang
一沖氣,yi'chong'qi
一沖蝕,yi'chong'shi
一沖刷,yi'chong'shua
一沖水,yi'chong'shui
一沖喜,yi'chong'xi
一沖洗,yi'chong'xi
一沖壓,yi'chong'ya
一齣電影,yi'chu'dian'ying
一齣好戲,yi'chu'hao'hu
一齣戲,yi'chu'hu
一出戲院,yi'chu'hu'yuan
一齣話劇,yi'chu'hua'ju
一齣京劇,yi'chu'jing'ju
一齣劇,yi'chu'ju
一出劇院,yi'chu'ju'yuan
一鬥不,yi'dou'bu
一鬥到,yi'dou'dao
一斗斗,yi'dou'dou
一鬥上,yi'dou'shang
一鬥再鬥,yi'dou'zai'dou
一髮千鈞,yi'fa'qian'jun
一髮之差,yi'fa'zhi'cha
一髮之間,yi'fa'zhi'jian
一幹便,yi'gan'bian
一干部下,yi'gan'bu'xia
一干弟兄,yi'gan'di'xiong
一干弟子,yi'gan'di'zi
一干兒郎,yi'gan'er'lang
一干兒女,yi'gan'er'nv
一幹就,yi'gan'jiu
一干土匪,yi'gan'tu'fei
一箭雙鵰,yi'jian'shuang'diao
一目瞭然,yi'mu'liao'ran
一乾而盡,yi'qian'er'jin
一乾二淨,yi'qian'er'jing
一日鐘,yi'ri'zhong
一手幹,yi'shou'gan
一手乾脆,yi'shou'qian'cui
一手乾淨,yi'shou'qian'jing
一罈,yi'tan
一隻,yi'zhi
一隻只夠,yi'zhi'zhi'gou
一隻只有,yi'zhi'zhi'you
銀盃,yin'bei
有線電視,you'xian'dian'shi
有餘,you'yu
語彙,yu'hui
淵渟嶽峙,yuan'ting'yue'zhi
在線,zai'xian
怎麼,zen'mo
怎麼樣,zen'mo'yang
張燈結綵,zhang'deng'jie'cai
摺尺,zhe'chi
這裡,zhe'li
摺扇,zhe'shan
褶皺,zhe'zhou
爭鬥,zheng'dou
整齊畫一,zheng'qi'hua'yi
徵象,zheng'xiang
祗奉,zhi'feng
之後,zhi'hou
至於,zhi'yu
重複,zhong'fu
皺彆,zhou'bie
註冊,zhu'ce
竹籤,zhu'qian
註釋,zhu'shi
奏摺,zou'zhe
最後,zui'hou
