阿斗,a'dou
爱卿世受皇恩,ai'qing'shi'shou'huang'en
哀求吧,ai'qiu'ba
哀一逝而异乡,ai'yi'shi'er'yi'xiang
安东将军,an'dong'jiang'jun
暗黑的傀儡师,an'hei'de'kui'lei'shi
暗箭,an'jian
暗将,an'jiang
安乐公,an'le'gong
安然无恙,an'ran'wu'yang
安娴,an'xian
安恤,an'xu
暗置,an'zhi
傲才,ao'cai
八斗之才,ba'dou'zhi'cai
八卦,ba'gua
八卦阵,ba'gua'zhen
八号位,ba'hao'wei
罢了,ba'le
八门金锁,ba'men'jin'suo
八人局,ba'ren'ju
八位反,ba'wei'fan
八血,ba'xue
霸业的继承者,ba'ye'de'ji'cheng'zhe
霸业继承者,ba'ye'ji'cheng'zhe
霸业可图,ba'ye'ke'tu
霸业未成,ba'ye'wei'cheng
八阵,ba'zhen
百步穿杨,bai'bu'chuan'yang
摆好阵势,bai'hao'zhen'shi
白马将军,bai'ma'jiang'jun
白马先锋,bai'ma'xian'feng
白马义从,bai'ma'yi'cong
白衣渡江,bai'yi'du'jiang
拜印,bai'yin
白银狮子,bai'yin'shi'zi
百战不殆,bai'zhan'bu'dai
半入我手,ban'ru'wo'shou
搬石砸脚,ban'shi'za'jiao
豹变,bao'bian
爆发,bao'fa
暴发户,bao'fa'hu
暴怒标记,bao'nu'biao'ji
暴怒的战神,bao'nu'de'zhan'shen
暴虐,bao'nue
保佑吾儿之基业,bao'you'wu'er'zhi'ji'ye
被兵,bei'bing
被兵粮,bei'bing'liang
被猜到了,bei'cai'dao'le
悲歌,bei'ge
悲歌可以当泣,bei'ge'ke'yi'dang'qi
背黑锅,bei'hei'guo
背黑锅我来,bei'hei'guo'wo'lai
被急火,bei'ji'huo
被看穿了吗,bei'kan'chuan'le'ma
被乐,bei'le
被拼,bei'pin
被杀,bei'sha
背水一战,bei'shui'yi'zhan
被顺,bei'shun
被无懈,bei'wu'xie
备战待敌,bei'zhan'dai'di
本初,ben'chu
本是同根生,ben'shi'tong'gen'sheng
崩坏,beng'huai
笔伐,bi'fa
必亡矣,bi'wang'yi
陛下何故先降,bi'xia'he'gu'xian'jiang
陛下为何不救臣妾,bi'xia'wei'he'bu'jiu'chen'qie
避嫌远疑,bi'xian'yuan'yi
庇佑江东,bi'you'jiang'dong
闭月,bi'yue
闭月羞花,bi'yue'xiu'hua
变化万千,bian'hua'wan'qian
贬酒阙色,bian'jiu'que'se
变拙成巧,bian'zhuo'cheng'qiao
标风,biao'feng
标准版,biao'zhun'ban
别打脸,bie'da'lian
别紧张,bie'jin'zhang
别怕,bie'pa
别着急扔,bie'zhao'ji'reng
别着急呦,bie'zhao'ji'you
濒死,bin'si
濒死状态,bin'si'zhuang'tai
兵不血刃,bing'bu'xue'ren
秉公无私,bing'gong'wu'si
兵精粮足,bing'jing'liang'zu
兵粮,bing'liang
兵粮寸断,bing'liang'cun'duan
兵上,bing'shang
兵上他,bing'shang'ta
兵无常势,bing'wu'chang'shi
秉忠贞之志,bing'zhong'zhen'zhi'zhi
伯符,bo'fu
薄幸的美人,bo'xing'de'mei'ren
伯言,bo'yan
伯约,bo'yue
不兵,bu'bing
不兵你,bu'bing'ni
不兵他,bu'bing'ta
不兵我,bu'bing'wo
不拆,bu'chai
