阿里布哥,a'li'bu'ge
阿鲁浑河,a'lu'hun'he
阿鲁温,a'lu'wen
艾穆,ai'mu
爱猷识理达腊,ai'you'shi'li'da'la
安定门,an'ding'men
安丰,an'feng
安国寺惠琼,an'guo'si'hui'qiong
安陆,an'lu
安南,an'nan
安息国,an'xi'guo
八思尔不花,ba'si'er'bu'hua
八秃儿,ba'tu'er
百川书志,bai'chuan'shu'zhi
白沟河之战,bai'gou'he'zhi'zhan
百人斩,bai'ren'zhan
稗史汇编,bai'shi'hui'bian
百眼井,bai'yan'jing
绊马丁,ban'ma'ding
帮理不帮亲,bang'li'bu'bang'qin
鲍崇德,bao'chong'de
保甲连坐,bao'jia'lian'zuo
宝剑记,bao'jian'ji
保境安民,bao'jing'an'min
包食宿,bao'shi'su
北人派,bei'ren'pai
北狩,bei'shou
北镇抚司,bei'zhen'fu'si
本能寺之变,ben'neng'si'zhi'bian
本雅失里,ben'ya'shi'li
碧蹄馆,bi'ti'guan
笔下亦显风流,bi'xia'yi'xian'feng'liu
边贡,bian'gong
表疏律令,biao'shu'lv'ling
别云间,bie'yun'jian
镔铁大刀,bin'tie'da'dao
秉笔监,bing'bi'jian
兵部,bing'bu
哱拜,bo'bai
渤林邦国,bo'lin'bang'guo
薄彦征,bo'yan'zheng
不负平生所学,bu'fu'ping'sheng'suo'xue
不拘格套,bu'ju'ge'tao
不世出之名将,bu'shi'chu'zhi'ming'jiang
捕鱼儿海,bu'yu'er'hai
布政使参议,bu'zheng'shi'can'yi
财才不分家,cai'cai'bu'fen'jia
蔡福,cai'fu
蔡国照,cai'guo'zhao
蔡震,cai'zhen
残唐五代史演义,can'tang'wu'dai'shi'yan'yi
曹邦辅,cao'bang'fu
曹忭,cao'bian
曹吉祥,cao'ji'xiang
曹钦,cao'qin
曹文诏,cao'wen'zhao
察罕帖木儿,cha'han'tie'mu'er
茶陵派,cha'ling'pai
插田,cha'tian
查应奎,cha'ying'kui
柴田胜家,chai'tian'sheng'jia
缠夹二先生,chan'jia'er'xian'sheng
常例钱,chang'li'qian
常茂,chang'mao
阊门,chang'men
长期饭票,chang'qi'fan'piao
长随,chang'sui
长筱,chang'xiao
常遇春,chang'yu'chun
长宗我不元津,chang'zong'wo'bu'yuan'jin
朝天子咏喇叭,chao'tian'zi'yong'la'ba
朝阳门,chao'yang'men
彻彻儿山,che'che'er'shan
车脚钱,che'jiao'qian
车军,che'jun
扯立克,che'li'ke
陈铎,chen'duo
陈洪,chen'hong
