安踏,an'ta
巴塘,ba'tang
暴风影音,bao'feng'ying'yin
北门,bei'men
北山超市,bei'shan'chao'shi
滨江大道,bin'jiang'da'dao
不是人,bu'shi'ren
陈功,chen'gong
陈奎,chen'kui
穿越火线,chuan'yue'huo'xian
大河,da'he
大河镇,da'he'zhen
大南街,da'nan'jie
德惠,de'hui
德惠超市,de'hui'chao'shi
德仁,de'ren
东坝,dong'ba
东坝场,dong'ba'chang
董家沟,dong'jia'gou
杜建飞,du'jian'fei
度门小学,du'men'xiao'xue
度门镇,du'men'zhen
对火,dui'huo
队长,dui'zhang
二小,er'xiao
赶场,gan'chang
高石坎,gao'shi'kan
桂花,gui'hua
锅盔,guo'kui
锅盔凉粉,guo'kui'liang'fen
郭世柱,guo'shi'zhu
何东,he'dong
何飞,he'fei
荷花池,he'hua'chi
何家垭口,he'jia'ya'kou
何思弦,he'si'xian
何为,he'wei
何伟,he'wei
何学海,he'xue'hai
红岩子电站,hong'yan'zi'dian'zhan
红岩子广场,hong'yan'zi'guang'chang
胡明珍,hu'ming'zhen
黄金网吧,huang'jin'wang'ba
火峰山,huo'feng'shan
嘉陵江,jia'ling'jiang
京都,jing'du
京都大酒店,jing'du'da'jiu'dian
柯燕兰,ke'yan'lan
老杜,lao'du
老杂毛,lao'za'mao
雷小江,lei'xiao'jiang
李柏林,li'bai'lin
李保林,li'bao'lin
李达,li'da
李慧娟,li'hui'juan
李家沟,li'jia'gou
李金鹏,li'jin'peng
李兰萍,li'lan'ping
李良,li'liang
李梅菊,li'mei'ju
李明,li'ming
李松林,li'song'lin
李旭凌,li'xu'ling
李直波,li'zhi'bo
李直刚,li'zhi'gang
镰刀,lian'dao
凉粉,liang'fen
凌云山,ling'yun'shan
刘涛,liu'tao
龙门阵,long'men'zhen
龙泉,long'quan
龙泉驿,long'quan'yi
罗群路,luo'qun'lu
毛概,mao'gai
茅坑,mao'keng
南部二中,nan'bu'er'zhong
南部三中,nan'bu'san'zhong
南部四中,nan'bu'si'zhong
南部五中,nan'bu'wu'zhong
南部中学,nan'bu'zhong'xue
你妈的,ni'ma'de
你奶奶的,ni'nai'nai'de
你是我的哟,ni'shi'wo'de'yo
牛仔裤,niu'zai'ku
盘龙,pan'long
盘龙场,pan'long'chang
盘龙镇中,pan'long'zhen'zhong
盘龙中学,pan'long'zhong'xue
漂洋过海,piao'yang'guo'hai
群龙,qun'long
群龙场,qun'long'chang
群龙乡,qun'long'xiang
人情事故,ren'qing'shi'gu
瑞安路,rui'an'lu
三小,san'xiao
山湾堰塘,shan'wan'yan'tang
沈肥肠,shen'fei'chang
沈万三,shen'wan'san
升钟水库,sheng'zhong'shui'ku
石河场,shi'he'chang
石河小学,shi'he'xiao'xue
石河镇,shi'he'zhen
石河中学,shi'he'zhong'xue
狮子岭,shi'zi'ling
蜀北大道,shu'bei'da'dao
双飞,shuang'fei
水壶,shui'hu
说书,shuo'shu
四不像,si'bu'xiang
思维家,si'wei'jia
四小,si'xiao
思修,si'xiu
他妈的,ta'ma'de
涛声依旧,tao'sheng'yi'jiu
体育路,ti'yu'lu
听书,ting'shu
弯刀,wan'dao
王家,wang'jia
王家场,wang'jia'chang
王莉,wang'li
汪姗姗,wang'shan'shan
我操,wo'cao
我的天啊,wo'de'tian'a
我日,wo'ri
西街,xi'jie
西南大学,xi'nan'da'xue
小南街,xiao'nan'jie
小杂毛,xiao'za'mao
新华路,xin'hua'lu
徐泽明,xu'ze'ming
学海,xue'hai
学海无涯,xue'hai'wu'ya
杨柏林,yang'bo'lin
杨家弯,yang'jia'wan
杨魄,yang'po
仪陇,yi'long
一小,yi'xiao
袁静,yuan'jing
张家弯,zhang'jia'wan
赵海洋,zhao'hai'yang
振兴路,zhen'xing'lu
振兴南街,zhen'xing'nan'jie
祝福东,zhu'fu'dong
转盘山,zhuan'pan'shan
状元桥,zhuang'yuan'qiao
自由人,zi'you'ren
