板电,ban'dian
半固化片,ban'gu'hua'pian
板面电镀,ban'mian'dian'du
补料,bu'liao
补投,bu'tou
补线,bu'xian
槽刀,cao'dao
层偏,ceng'pian
层压,ceng'ya
沉金,chen'jin
沉铜,chen'tong
沉锡,chen'xi
沉银,chen'yin
成品仓,cheng'pin'cang
成品清洗,cheng'pin'qing'xi
冲孔机,chong'kong'ji
除油缸,chu'you'gang
打开机,da'kai'ji
打磨,da'mo
倒角,dao'jiao
导气孔,dao'qi'kong
电测,dian'ce
调度,diao'du
叠层,die'ceng
订单中心,ding'dan'zhong'xin
镀厚金,du'hou'jin
镀软金,du'ruan'jin
镀水金,du'shui'jin
镀锡,du'xi
镀锡不良,du'xi'bu'liang
镀硬金,du'ying'jin
断刀,duan'dao
短路,duan'lu
对位,dui'wei
返冲,fan'chong
返洗,fan'xi
防焊,fang'han
菲林,fei'lin
飞针测试机,fei'zhen'ce'shi'ji
覆铜板,fu'tong'ban
干膜检查,gan'mo'jian'cha
干区,gan'qu
隔纸,ge'zhi
工艺,gong'yi
工艺工程师,gong'yi'gong'cheng'shi
光绘,guang'hui
烘板,hong'ban
会议室,hui'yi'shi
活化缸,huo'hua'gang
计划投料,ji'hua'tou'liao
技术员,ji'shu'yuan
夹边,jia'bian
夹具,jia'ju
碱性除油剂,jian'xing'chu'you'ji
金手指,jin'shou'zhi
聚油,ju'you
开口,kai'kou
开料,kai'liao
开料员,kai'liao'yuan
开路,kai'lu
可焊性,ke'han'xing
孔无铜,kong'wu'tong
冷压,leng'ya
流胶,liu'jiao
流水号,liu'shui'hao
锣板,luo'ban
铝片塞孔,lv'pian'sai'kong
冒油,mao'you
内层短路,nei'ceng'duan'lu
内层干膜,nei'ceng'gan'mo
内层开路,nei'ceng'kai'lu
内层蚀刻,nei'ceng'shi'ke
内短,nei'duan
内开,nei'kai
镍钯金,nie'ba'jin
排版,pai'ban
喷印,pen'yin
偏位,pian'wei
切片,qie'pian
去毛刺,qu'mao'ci
热压,re'ya
入库,ru'ku
塞孔,sai'kong
沙纸,sha'zhi
市场部,shi'chang'bu
蚀刻不净,shi'ke'bu'jing
湿区,shi'qu
实验室,shi'yan'shi
树脂塞孔,shu'zhi'sai'kong
水平沉铜,shui'ping'chen'tong
水平电镀,shui'ping'dian'du
酸性除油剂,suan'xing'chu'you'ji
填胶,tian'jiao
填孔电镀,tian'kong'dian'du
贴膜,tie'mo
铜厚不足,tong'hou'bu'zu
投料,tou'liao
图镀铜镍金,tu'du'tong'nie'jin
图形电镀,tu'xing'dian'du
外层干膜,wai'ceng'gan'mo
外协,wai'xie
微蚀,wei'shi
微蚀过度,wei'shi'guo'du
文字,wen'zi
物控,wu'kong
无铅喷锡,wu'qian'pen'xi
铣刀,xi'dao
铣金属化槽,xi'jin'shu'hua'cao
纤维丝,xian'wei'si
压合,ya'he
印蓝胶,yin'lan'jiao
印油不良,yin'you'bu'liang
有铅喷锡,you'qian'pen'xi
预审,yu'shen
预投,yu'tou
中和缸,zhong'he'gang
终检,zhong'jian
中性包装,zhong'xing'bao'zhuang
中性纸箱,zhong'xing'zhi'xiang
字符打印机,zi'fu'da'yin'ji
字符喷印机,zi'fu'pen'yin'ji
棕化,zong'hua
总经办,zong'jing'ban
总经理,zong'jing'li
阻焊,zu'han
阻焊起泡,zu'han'qi'pao
阻抗,zu'kang
阻抗测试,zu'kang'ce'shi
钻刀,zuan'dao
钻机,zuan'ji
钻孔,zuan'kong
