爱好由来落笔难,ai'hao'you'lai'luo'bi'nan
哀民生之多艰,ai'min'sheng'zhi'duo'jian
爱上层楼,ai'shang'ceng'lou
爱子心无尽,ai'zi'xin'wu'jin
黯黯生天际,an'an'sheng'tian'ji
安不忘危,an'bu'wang'wei
安得广厦千万间,an'de'guang'sha'qian'wan'jian
暗滴花梢,an'di'hua'shao
安能摧眉折腰事权贵,an'neng'cui'mei'zhe'yao'shi'quan'gui
黯然销魂者,an'ran'xiao'hun'zhe
暗思何事断人肠,an'si'he'shi'duan'ren'chang
暗损韶华,an'sun'shao'hua
暗香浮动月黄昏,an'xiang'fu'dong'yue'huang'hun
暗忆欢期真似梦,an'yi'huan'qi'zhen'si'meng
拔剑四顾心茫然,ba'jian'si'gu'xin'mang'ran
把酒问青天,ba'jiu'wen'qing'tian
八千里路云和月,ba'qian'li'lu'yun'he'yue
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
巴山夜雨涨秋池,ba'shan'ye'yu'zhang'qiu'chi
八声甘州,ba'sheng'gan'zhou
把盏常恨无娉婷,ba'zhan'chang'hen'wu'ping'ting
百川东到海,bai'chuan'dong'dao'hai
白发三千丈,bai'fa'san'qian'zhang
白发谁家翁媪,bai'fa'shui'jia'weng'ao
白发他时不放君,bai'fa'ta'shi'bu'fang'jun
白了少年头,bai'le'shao'nian'tou
白毛浮绿水,bai'mao'fu'lv'shui
百年多病独登台,bai'nian'duo'bing'du'deng'tai
百年树人,bai'nian'shu'ren
白日放歌须纵酒,bai'ri'fang'ge'xu'zong'jiu
白日依山尽,bai'ri'yi'shan'jin
白首方悔读书迟,bai'shou'fang'hui'du'shu'chi
白水绕东城,bai'shui'rao'dong'cheng
白头搔更短,bai'tou'sao'geng'duan
白兔捣药成,bai'tu'dao'yao'cheng
败絮其中,bai'xu'qi'zhong
白雪歌,bai'xue'ge
白雪却嫌春色晚,bai'xue'que'xian'chun'se'wan
白雁哀鸣去黄叶下,bai'yan'ai'ming'qu'huang'ye'xia
白也诗无敌,bai'ye'shi'wu'di
白衣裳凭朱阑立,bai'yi'shang'ping'zhu'lan'li
白银盘里一青螺,bai'yin'pan'li'yi'qing'luo
拜迎长官心欲碎,bai'ying'zhang'guan'xin'yu'sui
白雨跳珠乱入船,bai'yu'tiao'zhu'luan'ru'chuan
白云千载空悠悠,bai'yun'qian'zai'kong'you'you
白云深处有人家,bai'yun'shen'chu'you'ren'jia
白云生处有人家,bai'yun'sheng'chu'you'ren'jia
白云一片去悠悠,bai'yun'yi'pian'qu'you'you
百战不殆,bai'zhan'bu'dai
百啭千声随意移,bai'zhuan'qian'sheng'sui'yi'yi
百转千声随意移,bai'zhuan'qian'sheng'sui'yi'yi
百啭无人能解,bai'zhuan'wu'ren'neng'jie
百字令,bai'zi'ling
板荡识诚臣,ban'dang'shi'cheng'chen
半江瑟瑟半江红,ban'jiang'se'se'ban'jiang'hong
半卷红旗临易水,ban'juan'hong'qi'lin'yi'shui
半亩方塘一鉴开,ban'mu'fang'tang'yi'jian'kai
半匹红绡一丈绫,ban'pi'hong'xiao'yi'zhang'ling
半入江风半入云,ban'ru'jiang'feng'ban'ru'yun
半生已分孤眠过,ban'sheng'yi'fen'gu'mian'guo
半世浮萍随逝水,ban'shi'fu'ping'sui'shi'shui
半醒半醉日复日,ban'xing'ban'zui'ri'fu'ri
半缘修道半缘君,ban'yuan'xiu'dao'ban'yuan'jun
斑骓一系无寻处,ban'zhui'yi'xi'wu'xun'chu
傍花随柳过前川,bang'hua'sui'liu'guo'qian'chuan
傍柳系马,bang'liu'xi'ma
