粑粑,ba'ba
粑粑卷,ba'ba'juan
八宝饭,ba'bao'fan
白沙井水煮白扎肉,bai'sha'jing'shui'zhu'bai'zha'rou
包浆豆腐,bao'jiang'dou'fu
宝珠梨,bao'zhu'li
蚕豆粉,can'dou'fen
炒饵块,chao'er'kuai
炒饵丝,chao'er'si
炒米线,chao'mi'xian
炒面,chao'mian
澄江抗浪鱼,cheng'jiang'kang'lang'yu
虫草汽锅鸡,chong'cao'qi'guo'ji
春卷,chun'juan
刺菱角,ci'ling'jiao
大救驾,da'jiu'jia
大理砂锅鱼,da'li'sha'guo'yu
大理雪梨,da'li'xue'li
大头菜,da'tou'cai
滇八件,dian'ba'jian
滇八件糕点,dian'ba'jian'gao'dian
滇味炒面,dian'wei'chao'mian
豆焖饭,dou'men'fan
豆末糖,dou'mo'tang
豆沙包,dou'sha'bao
都督烧麦,du'du'shao'mai
都督烧卖,du'du'shao'mai
铒,er
洱海弓鱼,er'hai'gong'yu
洱海海菜,er'hai'hai'cai
饵块,er'kuai
饵丝,er'si
风庆粑粑卷,feng'qing'ba'ba'juan
抚仙湖抗浪鱼,fu'xian'hu'kang'lang'yu
干巴菌,gan'ba'jun
高河菜,gao'he'cai
个旧小卷粉,ge'jiu'xiao'juan'fen
骨头汤饵丝,gu'tou'tang'er'si
骨头汤米线,gu'tou'tang'mi'xian
过桥米线,guo'qiao'mi'xian
海菜,hai'cai
海菜花,hai'cai'hua
海东雪梨,hai'dong'xue'li
海水煮海鱼,hai'shui'zhu'hai'yu
荷叶粥,he'ye'zhou
花雕,hua'diao
花雕醉虾,hua'diao'zui'xia
火腿饼,huo'tui'bing
火腿大头菜酥,huo'tui'da'tou'cai'su
火腿豆焖饭,huo'tui'dou'men'fan
火腿鸡杂饵丝,huo'tui'ji'za'er'si
芰,ji
鸡蛋包藕,ji'dan'bao'ou
鸡丝虎掌菌,ji'si'hu'zhang'jun
鸡纵,ji'zong
鸡棕酥,ji'zong'su
接骨糯,jie'gu'nuo
韭菜包,jiu'cai'bao
韭菜包子,jiu'cai'bao'zi
韭菜花,jiu'cai'hua
卷粉,juan'fen
抗浪鱼,kang'lang'yu
烤豆腐,kao'dou'fu
烤乳猪,kao'ru'zhu
烤小猪,kao'xiao'zhu
烤鸭,kao'ya
荔枝酥,li'zhi'su
凉拌藕,liang'ban'ou
凉粉,liang'fen
两面火,liang'mian'huo
菱角,ling'jiao
卤饵块,lu'er'kuai
卤饵丝,lu'er'si
卤米线,lu'mi'xian
路南乳饼,lu'nan'ru'bing
绿茶蛋糕,lv'cha'dan'gao
绿茶糕点,lv'cha'gao'dian
绿茶软糖,lv'cha'ruan'tang
麻仁酥,ma'ren'su
满台飞,man'tai'fei
玫瑰米凉虾,mei'gui'mi'liang'xia
玫瑰酥,mei'gui'su
蒙自年糕,meng'zi'nian'gao
米凉粉,mi'liang'fen
米凉虾,mi'liang'xia
米线,mi'xian
南糖,nan'tang
牛板筋,niu'ban'jin
糯米粑粑,nuo'mi'ba'ba
糯米八宝饭,nuo'mi'ba'bao'fan
糯米团,nuo'mi'tuan
糯米砣,nuo'mi'tuo
排骨炖藕,pai'gu'dun'ou
破酥包,po'su'bao
破酥包子,po'su'bao'zi
普洱茶,pu'er'cha
普洱茶糕点,pu'er'cha'gao'dian
普者黑黑鱼,pu'zhe'hei'hei'yu
普者黑清汤鱼,pu'zhe'hei'qing'tang'yu
普者黑银鱼,pu'zhe'hei'yin'yu
汽锅,qi'guo
汽锅鸡,qi'guo'ji
气磺蛋,qi'huang'dan
漆蜡妙食,qi'la'miao'shi
漆树,qi'shu
漆油,qi'you
漆油炒米酒,qi'you'chao'mi'jiu
漆油炖鸡,qi'you'dun'ji
漆油米酒,qi'you'mi'jiu
荞面包,qiao'mian'bao
荞面包子,qiao'mian'bao'zi
清汤饵丝,qing'tang'er'si
清汤米线,qing'tang'mi'xian
清汤鱼,qing'tang'yu
丘北黑鱼,qiu'bei'hei'yu
丘北银鱼,qiu'bei'yin'yu
曲靖韭菜花,qu'jing'jiu'cai'hua
全羊汤锅,quan'yang'tang'guo
热水藕,re'shui'ou
乳饼,ru'bing
乳扇,ru'shan
三七,san'qi
三七汽锅鸡,san'qi'qi'guo'ji
砂锅鱼,sha'guo'yu
杀猪饭,sha'zhu'fan
烧豆腐,shao'dou'fu
烧饵块,shao'er'kuai
石屏荔枝酥,shi'ping'li'zhi'su
师宗牛肉干,shi'zong'niu'rou'gan
水晶酥,shui'jing'su
水煮白扎肉,shui'zhu'bai'zha'rou
松茸,song'rong
酸汤饵丝,suan'tang'er'si
酸汤米线,suan'tang'mi'xian
酸腌菜炒藕,suan'yan'cai'chao'ou
太极干巴菌,tai'ji'gan'ba'jun
汤包,tang'bao
糖腿包,tang'tui'bao
糖腿包子,tang'tui'bao'zi
糖腿破酥包子,tang'tui'po'su'bao'zi
天麻,tian'ma
天麻汽锅鸡,tian'ma'qi'guo'ji
田七,tian'qi
通海豆末糖,tong'hai'dou'mo'tang
土豆粑粑,tu'dou'ba'ba
豌豆粉,wan'dou'fen
温酒醉虾,wen'jiu'zui'xia
温泉菜,wen'quan'cai
温泉蛋,wen'quan'dan
温泉鸡,wen'quan'ji
文山三七,wen'shan'san'qi
文山田七,wen'shan'tian'qi
伍仁酥,wu'ren'su
洗沙,xi'sha
洗沙白酥,xi'sha'bai'su
喜洲鱼,xi'zhou'yu
鲜奶鱼,xian'nai'yu
鲜奶煮鱼,xian'nai'zhu'yu
鲜牛奶煮鱼,xian'niu'nai'zhu'yu
鲜肉包,xian'rou'bao
鲜肉包子,xian'rou'bao'zi
香菇包,xiang'gu'bao
香菇包子,xiang'gu'bao'zi
小卷粉,xiao'juan'fen
宣威大土豆,xuan'wei'da'tu'dou
宣威大洋芋,xuan'wei'da'yang'yu
宣威火腿,xuan'wei'huo'tui
宣威土豆,xuan'wei'tu'dou
宣威洋芋,xuan'wei'yang'yu
雪梨,xue'li
盐饼,yan'bing
盐饼子,yan'bing'zi
腌牛脚筋,yan'niu'jiao'jin
漾濞核桃,yang'bi'he'tao
洋芋粑粑,yang'yu'ba'ba
彝家花雕醉虾,yi'jia'hua'diao'zui'xia
彝家醉虾,yi'jia'zui'xia
宜良烤鸭,yi'liang'kao'ya
银耳汽锅鸡,yin'er'qi'guo'ji
银鱼,yin'yu
硬壳火腿饼,ying'ke'huo'tui'bing
油鸡纵,you'ji'zong
鱼茸乳扇卷,yu'rong'ru'shan'juan
鱼三味,yu'san'wei
云腿,yun'tui
云腿豆焖饭,yun'tui'dou'men'fan
杂糖,za'tang
沾益粑粑,zhan'yi'ba'ba
沾益小粑粑,zhan'yi'xiao'ba'ba
昭通天麻,zhao'tong'tian'ma
抓抓粉,zhua'zhua'fen
紫米,zi'mi
紫米八宝饭,zi'mi'ba'bao'fan
紫糯米,zi'nuo'mi
紫糯米八宝饭,zi'nuo'mi'ba'bao'fan
