安全班前会,an'quan'ban'qian'hui
安全标志使用导则,an'quan'biao'zhi'shi'yong'dao'ze
安全色,an'quan'se
安全生产管理,an'quan'sheng'chan'guan'li
班前会,ban'qian'hui
班前会记录,ban'qian'hui'ji'lu
搬运分析,ban'yun'fen'xi
班组建设,ban'zu'jian'she
备品备件,bei'pin'bei'jian
闭环,bi'huan
闭环与关闭,bi'huan'yu'guan'bi
必需品,bi'xu'pin
必要动作,bi'yao'dong'zuo
表单系统,biao'dan'xi'tong
不合格品登记表,bu'he'ge'pin'deng'ji'biao
采购量,cai'gou'liang
彩色管理,cai'se'guan'li
仓储管理,cang'chu'guan'li
仓储与物料管理,cang'chu'yu'wu'liao'guan'li
操作规程,cao'zuo'gui'cheng
产能分析,chan'neng'fen'xi
产品工序分析,chan'pin'gong'xu'fen'xi
车间成本,che'jian'cheng'ben
车间平面布局图,che'jian'ping'mian'bu'ju'tu
成本分析会,cheng'ben'fen'xi'hui
成品质量控制,cheng'pin'zhi'liang'kong'zhi
出货质量控制,chu'huo'zhi'liang'kong'zhi
错误模式分析,cuo'wu'mo'shi'fen'xi
定置管理,ding'zhi'guan'li
动态库存法,dong'tai'ku'cun'fa
动作分析,dong'zuo'fen'xi
对策表,dui'ce'biao
非必需品,fei'bi'xu'pin
非线性回归,fei'xian'xing'hui'gui
改善报告,gai'shan'bao'gao
岗位设置,gang'wei'she'zhi
岗位作业规程,gang'wei'zuo'ye'gui'cheng
岗位作业指导书,gang'wei'zuo'ye'zhi'dao'shu
工序分析,gong'xu'fen'xi
工业工厂,gong'ye'gong'chang
工业工程,gong'ye'gong'cheng
工艺波动,gong'yi'bo'dong
工艺波动记录单,gong'yi'bo'dong'ji'lu'dan
工艺要求,gong'yi'yao'qiu
供应商库存控制,gong'ying'shang'ku'cun'kong'zhi
故障成本,gu'zhang'cheng'ben
关闭,guan'bi
过程质量控制,guo'cheng'zhi'liang'kong'zhi
宏观定置管理,hong'guan'ding'zhi'guan'li
红牌作战,hong'pai'zuo'zhan
回归法,hui'gui'fa
霍桑试验,huo'sang'shi'yan
稼动率,jia'dong'lv
鉴定成本,jian'ding'cheng'ben
交接班数字化,jiao'jie'ban'shu'zi'hua
节拍控制,jie'pai'kong'zhi
进货质量控制,jin'huo'zhi'liang'kong'zhi
净时间,jing'shi'jian
精益生产管理专刊,jing'yi'sheng'chan'guan'li'zhuan'kan
精准生产管理,jing'zhun'sheng'chan'guan'li
看板管理,kan'ban'guan'li
可视化管理,ke'shi'hua'guan'li
控制到机台,kong'zhi'dao'ji'tai
控制图,kong'zhi'tu
库位策划,ku'wei'ce'hua
快速切模,kuai'su'qie'mo
浪费成本,lang'fei'cheng'ben
流程改进,liu'cheng'gai'jin
落地到岗位,luo'di'dao'gang'wei
目视管理,mu'shi'guan'li
内部故障成本,nei'bu'gu'zhang'cheng'ben
内部损失成本,nei'bu'sun'shi'cheng'ben
内切模,nei'qie'mo
能源费用,neng'yuan'fei'yong
年度生产管理工作计划,nian'du'sheng'chan'guan'li'gong'zuo'ji'hua
排列图,pai'lie'tu
培训班前会,pei'xun'ban'qian'hui
品管圈,pin'guan'quan
平均绝对偏差,ping'jun'jue'dui'pian'cha
七大浪费,qi'da'lang'fei
清洁,qing'jie
清扫,qing'sao
全面生产保全体制,quan'mian'sheng'chan'bao'quan'ti'zhi
人机关系分析,ren'ji'guan'xi'fen'xi
人均产值,ren'jun'chan'zhi
人员工序分析,ren'yuan'gong'xu'fen'xi
散布图,san'bu'tu
三级质量管控系统,san'ji'zhi'liang'guan'kong'xi'tong
设备安全操作规程,she'bei'an'quan'cao'zuo'gui'cheng
设备点检表,she'bei'dian'jian'biao
设备管理,she'bei'guan'li
设备润滑表,she'bei'run'hua'biao
设备维护,she'bei'wei'hu
设备维护数字化,she'bei'wei'hu'shu'zi'hua
设备维修,she'bei'wei'xiu
设备维修记录单,she'bei'wei'xiu'ji'lu'dan
生产成本,sheng'chan'cheng'ben
生产计划会,sheng'chan'ji'hua'hui
生产现场管理准则,sheng'chan'xian'chang'guan'li'zhun'ze
生产运营管理,sheng'chan'yun'ying'guan'li
生产运作管理,sheng'chan'yun'zuo'guan'li
十大习惯性违章,shi'da'xi'guan'xing'wei'zhang
时间分析,shi'jian'fen'xi
事务工序分析,shi'wu'gong'xu'fen'xi
受控文件,shou'kong'wen'jian
数字化,shu'zi'hua
数字化交接班,shu'zi'hua'jiao'jie'ban
素养,su'yang
损失成本,sun'shi'cheng'ben
外部故障成本,wai'bu'gu'zhang'cheng'ben
外部损失成本,wai'bu'sun'shi'cheng'ben
外切模,wai'qie'mo
微观定置管理,wei'guan'ding'zhi'guan'li
问题班前会,wen'ti'ban'qian'hui
五大类非必需品,wu'da'lei'fei'bi'xu'pin
物料控制,wu'liao'kong'zhi
无用动作,wu'yong'dong'zuo
洗手间文化,xi'shou'jian'wen'hua
系统,xi'tong
现场管理,xian'chang'guan'li
现象排列图,xian'xiang'pai'lie'tu
线性回归,xian'xing'hui'gui
相关图,xiang'guan'tu
小工具小发明,xiao'gong'ju'xiao'fa'ming
延迟动作,yan'chi'dong'zuo
延单分析,yan'dan'fen'xi
颜色线条标准,yan'se'xian'tiao'biao'zhun
移动平均法,yi'dong'ping'jun'fa
一岗多能,yi'gang'duo'neng
易损易耗件,yi'sun'yi'hao'jian
应急预案,ying'ji'yu'an
预测技术,yu'ce'ji'shu
鱼刺图,yu'ci'tu
预防成本,yu'fang'cheng'ben
娱乐班前会,yu'le'ban'qian'hui
余裕时间,yu'yu'shi'jian
原辅包材料,yuan'fu'bao'cai'liao
员工质量手册,yuan'gong'zhi'liang'shou'ce
原因排列图,yuan'yin'pai'lie'tu
月度工作汇报会,yue'du'gong'zuo'hui'bao'hui
运行系统,yun'xing'xi'tong
整顿,zheng'dun
正交分析,zheng'jiao'fen'xi
整理,zheng'li
职场文化建设,zhi'chang'wen'hua'jian'she
直接材料,zhi'jie'cai'liao
直接人工,zhi'jie'ren'gong
质量班前会,zhi'liang'ban'qian'hui
质量曝光台,zhi'liang'bao'guang'tai
质量保证,zhi'liang'bao'zheng
质量成本,zhi'liang'cheng'ben
质量成本特征曲线,zhi'liang'cheng'ben'te'zheng'qu'xian
质量分析会,zhi'liang'fen'xi'hui
质量管理,zhi'liang'guan'li
质量审核,zhi'liang'shen'he
指数平滑法,zhi'shu'ping'hua'fa
制造费用,zhi'zao'fei'yong
组织系统,zu'zhi'xi'tong
最低库存,zui'di'ku'cun
最高库存,zui'gao'ku'cun
最佳库存,zui'jia'ku'cun
最佳投料量,zui'jia'tou'liao'liang
作业单元,zuo'ye'dan'yuan
作业单元集合,zuo'ye'dan'yuan'ji'he
作业流程图,zuo'ye'liu'cheng'tu
