昂,ang
昂呚,ang'wen
拔,ba
巴起,ba'qi
巴起拾坐,ba'qi'shi'zuo
白道,bai'dao
白嚼,bai'jiao
白毛儿雪,bai'mao'er'xue
白生生,bai'sheng'sheng
白眼儿狼,bai'yan'er'lang
半吊吊儿,ban'diao'diao'er
半生不熟,ban'sheng'bu'shou
背锅打蛋,bei'guo'da'dan
屄抖,bi'dou
屄筛,bi'shai
屄筛耳刮,bi'shai'er'gua
冰倒擦滑,bing'dao'ca'hua
兵慌马乱,bing'huang'ma'luan
拨拉,bo'la
不大会儿,bu'da'hui'er
不大大点儿,bu'dai'dai'dian'er
不大些,bu'dai'xie
不当花花,bu'dang'hua'hua
不顶,bu'ding
不赖,bu'lai
长何圆短,chang'he'yuan'duan
敞豁缭乱,chang'huo'liao'luan
朝天八卦,chao'tian'ba'gua
尘更旋天,chen'geng'xuan'tian
赤厾撩戏,chi'du'liao'xi
充庄,chong'zhuang
丑姿巴怪,chou'zi'ba'guai
呲牙裂嘴,ci'ya'lie'zui
粗麻圪瘆,cu'ma'ge'shen
粗声幺气,cu'sheng'yao'qi
打屄抖,da'bi'dou
打啵儿,da'bo'er
打惊失怪,da'jing'shi'guai
打狼,da'lang
打牙擅嘴,da'ya'shan'zui
打拙,da'zhuo
待二不意,dai'er'bu'yi
呆眉矂眼,dai'mei'sao'yan
呆矂矂,dai'sao'sao
单眉悻眼,dan'mei'xing'yan
弹挠挠,dan'nao'nao
单身利撒,dan'shen'li'sa
到本儿,dao'ben'er
倒插,dao'cha
提溜连挂,di'liu'lian'gua
电棒儿,dian'bang'er
点头忽潲,dian'tou'hu'shao
点着,dian'zhuo
屌,diao
屌你,diao'ni
顶事,ding'shi
丢东拽西,diu'dong'zhuai'xi
丢人败兴,diu'ren'bai'xing
都,du
对搭,dui'da
多会儿,duo'hui'er
二不溜秋,er'bu'liu'qiu
二流打胯,er'liu'da'kua
二球打蛋,er'qiu'da'dan
尔娃,er'wa
翻屄麻眼,fan'bi'ma'yan
翻滚不牢,fan'gun'bu'lao
翻江倒海,fan'jiang'dao'hai
妨祖,fang'zu
费辛巴苦,fei'xin'ba'ku
缝缝溜隙,feng'feng'liu'xi
富富有余,fu'fu'you'yu
浮皮潦草,fu'pi'liao'cao
盖屄筛,gai'bi'shai
干巴巴,gan'ba'ba
个,ge
圪摆,ge'bai
圪绊,ge'ban
圪绷绷,ge'beng'beng
圪笾,ge'bian
圪秉秉,ge'bing'bing
胳膊,ge'bo
圪擦,ge'ca
圪产,ge'chan
圪搀,ge'chan
圪吵,ge'chao
圪瞅,ge'chou
圪蹙,ge'cu
圪蹙打蛋,ge'cu'da'dan
圪蹿,ge'cuan
圪垯,ge'da
疙瘩,ge'da
圪耽,ge'dan
疙蛋,ge'dan
疙蛋凹腰,ge'dan'wa'yao
圪捣,ge'dao
圪等,ge'deng
圪赌,ge'du
圪对,ge'dui
圪翻,ge'fan
圪伏,ge'fu
圪拐,ge'guai
圪哄,ge'hong
圪晃,ge'huang
圪挤,ge'ji
疙叽疙嗒,ge'ji'ge'da
圪叽咬蛋,ge'ji'yao'dan
圪夹,ge'jia
圪搅,ge'jiao
圪蹴,ge'jiu
圪卷,ge'juan
圪撅,ge'jue
圪抗,ge'kang
圪榄,ge'lan
圪楞,ge'leng
圪梁,ge'liang
圪料,ge'liao
圪挒,ge'lie
圪溜,ge'liu
圪溜把弯,ge'liu'ba'wan
圪溜扁担,ge'liu'bian'dan
圪抹,ge'ma
圪眯,ge'mi
圪囔,ge'nang
圪孬,ge'nao
圪撵,ge'nian
圪拧,ge'ning
圪努,ge'nu
圪泡,ge'pao
圪疲,ge'pi
圪蜷,ge'quan
圪嚷,ge'rang
圪绕,ge'rao
圪糝,ge'san
隔三差五,ge'san'cha'wu
圪潲,ge'shao
圪渗,ge'shen
圪瘆,ge'shen
圪涮,ge'shuan
圪譶,ge'ta
圪台,ge'tai
圪躺,ge'tang
圪腥烂气,ge'xing'lan'qi
圪瘾麻挠,ge'yin'ma'nao
圪噪,ge'zao
圪躁,ge'zao
圪渣,ge'zha
圪针,ge'zhen
圪吱,ge'zhi
圪滋,ge'zi
寡汤淡水,gua'tang'dan'shui
拐七连八,guai'qi'lian'ba
棺材瓤,guan'cai'rang
光不溜秋,guang'bu'liu'qiu
鬼搐溜皮,gui'chu'liu'pi
鬼三咧四,gui'san'lie'si
海溜不猜,hai'liu'bu'cai
海娜,hai'na
汗爬流水,han'pa'liu'shui
汗湿幺溻,han'shi'yao'ta
嚎声哇嗓,hao'sheng'wa'sang
黑洞洞,hei'dong'dong
横七竖八,heng'qi'shu'ba
红日三竿,hong'ri'san'gan
后儿,hou'er
忽拉马爬,hu'la'ma'pa
虎头囟脑,hu'tou'xin'nao
豁沟打牙,hua'gou'da'ya
灰茬儿,hui'cha'er
灰溜不腾,hui'liu'bu'teng
灰塌二乎,hui'ta'er'hu
和,huo
和面,huo'mian
和平,huo'ping
和尚,huo'shang
及,ji
及蹦蹦,ji'beng'beng
急慌连马,ji'huang'lian'ma
急撩急乱,ji'liao'ji'luan
急溜箭杆,ji'liu'jian'gan
挤脓踏水,ji'nong'ta'shui
及起,ji'qi
夹疯楞正,jia'feng'leng'zheng
夹耍带笑,jia'shua'dai'xiao
尖嘴猴舌,jian'zui'hou'she
犟头不缯,jiang'tou'bu'zeng
搅和,jiao'huo
今儿,jin'er
精说白道,jing'shuo'bai'dao
卷包担瓜,juan'bao'dan'gua
蹶厾挠勺,jue'du'nao'shao
砍七楞八,kan'qi'leng'ba
苦哇哇,ku'wa'wa
拉嗒,la'da
拉啩,la'gua
辣外外,la'wai'wai
蓝茵茵,lan'yin'yin
躴躿,lang'kang
老外后儿,lao'wai'hou'er
姥爷,lao'ye
冷哇哇,leng'wa'wa
哩,li
哩啊,li'a
里头,li'tou
撂,liao
麻屄烦,ma'bi'fan
抹擦,ma'ca
麻球烦,ma'qiu'fan
摱,man
忙慌拾乱,mang'huang'shi'luan
眊矂,mei'sao
明儿,ming'er
儾,nang
儾家,nang'jia
挠睾货,nao'gao'huo
恼介,nao'jie
挠球货,nao'qiu'huo
闹挣,nao'zheng
伱家,ni'jia
年省,nian'sheng
鸟,niao
鸟你,niao'ni
趴场货,pa'chang'huo
碰拙,peng'zhuo
谝嗒,pian'da
七抽八扯,qi'chou'ba'che
七腥八味,qi'xing'ba'wei
