啊达,a'da
耍狗,shua'gou
摔死老,shuai'si'lao
四夸哈,si'kua'ha
死面叶叶,si'mian'ye'ye
死羊儿捻定佬,si'yang'er'nian'ding'lao
酸菜,suan'cai
酸菜饼饼,suan'cai'bing'bing
酸刺,suan'ci
酸啾啾,suan'jiu'jiu
酸潘汤,suan'pan'tang
酸枣子,suan'zao'zi
岁拇嘎嘎,sui'mu'ga'ga
填炕,tian'kang
甜汤,tian'tang
透堂,tou'tang
偷偷摸摸子,tou'tou'mo'mo'zi
推耙子,tui'pa'zi
腿腕子,tui'wan'zi
腿猪娃子,tui'zhu'wa'zi
完劲,wan'jin
万日坟,wan'ri'fen
完松,wan'song
窝陀,wo'tuo
雾达,wu'da
稀米或,xi'mi'huo
细香,xi'xiang
戏域,xi'yu
下井,xia'jing
瞎瞎,xia'xia
先买面根根,xian'mai'mian'gen'gen
小蒜,xiao'suan
心疼,xin'teng
杏活饼,xing'huo'bing
血面,xue'mian
芫荽,yan'sui
烟筒捻,yan'tong'nian
杨版,yang'ban
洋炉子,yang'lu'zi
羊肉泡馍,yang'rou'pao'mo
洋柿子,yang'shi'zi
洋芋根根,yang'yu'gen'gen
野个子,ye'ge'zi
夜来,ye'lai
野累个,ye'lei'ge
野条子,ye'tiao'zi
耶耶奶头子,ye'ye'nai'tou'zi
一达,yi'da
一个吃,yi'ge'chi
一光光,yi'guang'guang
一锅饭,yi'guo'fan
一哈哈,yi'ha'ha
一美美,yi'mei'mei
一浅,yi'qian
一醒儿,yi'xing'er
一叶馍馍,yi'ye'mo'mo
油酥馍,you'su'mo
玉皇子,yu'huang'zi
咋恰,za'qia
砸周归家撒,za'zhou'gui'jia'sa
攒劲,zan'jin
乍柴,zha'chai
炸起来,zha'qi'lai
扎式,zha'shi
招祸,zhao'huo
者一哈,zhe'yi'ha
真格,zhen'ge
蒸馍,zheng'mo
之隔,zhi'ge
中匀儿,zhong'yun'er
洲达,zhou'da
住欠,zhu'qian
抓鬼鬼,zhua'gui'gui
抓五子,zhua'wu'zi
装务,zhuang'wu
装装子,zhuang'zhuang'zi
捉打官贼,zhuo'da'guan'zei
资背,zi'bei
字根,zi'gen
邹邹,zou'zou
阻燃老,zu'ran'lao
